date_obj,Rune%20shield%20(h2) price
2015-03-26,34499
2015-03-27,34499
2015-03-28,34491
2015-03-29,33715
2015-03-30,33854
2015-03-31,33818
2015-04-01,33818
2015-04-02,32453
2015-04-03,32453
2015-04-04,31194
2015-04-05,31866
2015-04-06,32792
2015-04-07,33141
2015-04-08,33141
2015-04-09,34451
2015-04-10,34734
2015-04-11,34201
2015-04-12,34201
2015-04-13,34092
2015-04-14,35269
2015-04-15,35607
2015-04-16,36100
2015-04-17,36100
2015-04-18,34982
2015-04-19,34795
2015-04-20,34795
2015-04-21,33642
2015-04-22,33642
2015-04-23,33175
2015-04-24,33175
2015-04-25,32551
2015-04-26,32551
2015-04-27,32380
2015-04-28,32769
2015-04-29,32769
2015-04-30,32916
2015-05-01,34278
2015-05-02,34866
2015-05-03,34866
2015-05-04,34612
2015-05-05,34612
2015-05-06,33960
2015-05-07,33953
2015-05-08,33987
2015-05-09,34244
2015-05-10,33973
2015-05-11,33973
2015-05-12,34239
2015-05-13,34303
2015-05-14,33507
2015-05-15,34060
2015-05-16,34962
2015-05-17,34758
2015-05-18,34140
2015-05-19,34140
2015-05-20,33156
2015-05-21,33156
2015-05-22,32898
2015-05-23,32898
2015-05-24,31691
2015-05-25,31724
2015-05-26,32511
2015-05-27,33596
2015-05-28,33588
2015-05-29,34443
2015-05-30,33545
2015-05-31,33545
2015-06-01,32869
2015-06-02,32869
2015-06-03,33251
2015-06-04,33251
2015-06-05,32741
2015-06-06,32979
2015-06-07,32979
2015-06-08,32528
2015-06-09,32528
2015-06-10,32145
2015-06-11,32145
2015-06-12,33045
2015-06-13,33045
2015-06-14,32588
2015-06-15,32588
2015-06-16,32518
2015-06-17,32518
2015-06-18,32311
2015-06-19,32311
2015-06-20,32465
2015-06-21,32465
2015-06-22,32103
2015-06-23,32103
2015-06-24,32208
2015-06-25,32208
2015-06-26,32174
2015-06-27,32174
2015-06-28,31641
2015-06-29,31641
2015-06-30,31511
2015-07-01,31935
2015-07-02,31935
2015-07-03,32225
2015-07-04,32225
2015-07-05,32732
2015-07-06,32732
2015-07-07,33877
2015-07-08,33877
2015-07-09,34178
2015-07-10,35372
2015-07-11,35372
2015-07-12,35792
2015-07-13,36540
2015-07-14,36863
2015-07-15,36759
2015-07-16,36759
2015-07-17,35637
2015-07-18,35637
2015-07-19,35106
2015-07-20,34187
2015-07-21,34187
2015-07-22,33239
2015-07-23,33239
2015-07-24,33685
2015-07-25,33685
2015-07-26,33005
2015-07-27,33005
2015-07-28,31903
2015-07-29,31882
2015-07-30,31882
2015-07-31,31819
2015-08-01,31819
2015-08-02,30885
2015-08-03,30885
2015-08-04,31845
2015-08-05,31845
2015-08-06,31946
2015-08-07,31946
2015-08-08,31759
2015-08-09,31759
2015-08-10,31890
2015-08-11,31890
2015-08-12,32335
2015-08-13,32335
2015-08-14,32132
2015-08-15,32132
2015-08-16,32813
2015-08-17,33281
2015-08-18,33281
2015-08-19,34381
