date_obj,Marble%20block price
2015-03-26,347500
2015-03-27,347500
2015-03-28,347500
2015-03-29,340285
2015-03-30,340285
2015-03-31,340285
2015-04-01,340285
2015-04-02,340285
2015-04-03,340285
2015-04-04,340285
2015-04-05,340285
2015-04-06,340285
2015-04-07,340285
2015-04-08,340285
2015-04-09,340285
2015-04-10,340285
2015-04-11,340285
2015-04-12,340285
2015-04-13,340285
2015-04-14,340285
2015-04-15,340285
2015-04-16,340285
2015-04-17,340285
2015-04-18,340285
2015-04-19,340285
2015-04-20,340285
2015-04-21,340285
2015-04-22,340285
2015-04-23,340285
2015-04-24,340285
2015-04-25,340285
2015-04-26,340285
2015-04-27,340285
2015-04-28,340285
2015-04-29,340285
2015-04-30,340285
2015-05-01,336080
2015-05-02,336080
2015-05-03,336080
2015-05-04,336080
2015-05-05,336080
2015-05-06,336080
2015-05-07,336080
2015-05-08,336080
2015-05-09,336080
2015-05-10,336080
2015-05-11,336080
2015-05-12,336080
2015-05-13,336080
2015-05-14,336080
2015-05-15,336080
2015-05-16,336080
2015-05-17,336080
2015-05-18,336080
2015-05-19,336080
2015-05-20,336080
2015-05-21,336080
2015-05-22,336080
2015-05-23,336080
2015-05-24,336080
2015-05-25,336080
2015-05-26,336080
2015-05-27,336080
2015-05-28,332000
2015-05-29,332000
2015-05-30,332000
2015-05-31,332000
2015-06-01,332000
2015-06-02,332000
2015-06-03,332000
2015-06-04,332000
2015-06-05,332000
2015-06-06,332000
2015-06-07,332000
2015-06-08,332000
2015-06-09,332000
2015-06-10,332000
2015-06-11,332000
2015-06-12,332000
2015-06-13,332000
2015-06-14,332000
2015-06-15,332000
2015-06-16,332000
2015-06-17,332000
2015-06-18,332000
2015-06-19,332000
2015-06-20,332000
2015-06-21,332000
2015-06-22,332000
2015-06-23,330570
2015-06-24,330570
2015-06-25,330570
2015-06-26,330570
2015-06-27,330570
2015-06-28,330570
2015-06-29,330570
2015-06-30,330570
2015-07-01,330570
2015-07-02,330570
2015-07-03,330570
2015-07-04,330570
2015-07-05,330570
2015-07-06,330570
2015-07-07,330570
2015-07-08,330570
2015-07-09,330570
2015-07-10,330570
2015-07-11,330570
2015-07-12,330570
2015-07-13,330570
2015-07-14,330570
2015-07-15,330570
2015-07-16,330570
2015-07-17,330570
2015-07-18,330570
2015-07-19,329569
2015-07-20,329569
2015-07-21,329569
2015-07-22,329569
2015-07-23,329569
2015-07-24,329569
2015-07-25,329569
2015-07-26,329569
2015-07-27,329569
2015-07-28,329569
2015-07-29,329569
2015-07-30,329569
2015-07-31,329569
2015-08-01,329569
2015-08-02,329569
2015-08-03,329569
2015-08-04,329569
2015-08-05,329569
2015-08-06,329569
2015-08-07,329569
2015-08-08,329569
2015-08-09,329569
2015-08-10,329569
2015-08-11,328426
2015-08-12,328426
2015-08-13,328426
2015-08-14,328426
2015-08-15,328426
2015-08-16,328426
2015-08-17,328426
2015-08-18,328426
2015-08-19,328426
2015-08-20,328426
2015-08-21,328426
2015-08-22,328426
2015-08-23,328426
2015-08-24,328426
2015-08-25,328426
2015-08-26,328426
2015-08-27,328426
2015-08-28,328426
2015-08-29,328426
2015-08-30,328426
2015-08-31,328426
2015-09-01,328426
2015-09-02,328426
2015-09-03,328426
2015-09-04,328426
2015-09-05,328426
2015-09-06,328426
2015-09-07,328426
2015-09-08,328426
2015-09-09,328426
2015-09-10,328426
2015-09-11,328426
2015-09-12,328426
2015-09-13,328426
2015-09-14,335260
2015-09-15,335260
2015-09-16,335260
2015-09-17,335260
2015-09-18,335260
2015-09-19,335260
2015-09-20,335260
2015-09-21,335260
2015-09-22,335260
2015-09-23,335260
2015-09-24,335260
2015-09-25,335260
2015-09-27,335260
2015-09-28,335260
2015-09-29,335260
2015-09-30,335260
2015-10-05,335260
2015-10-06,335260
2015-10-07,335260
2015-10-08,335260
2015-10-09,335260
2015-10-10,335260
