date_obj,Blue%20wizard%20hat%20(g) price
2015-03-26,185816
2015-03-27,185816
2015-03-28,181254
2015-03-29,176937
2015-03-30,172320
2015-03-31,166536
2015-04-01,160914
2015-04-02,155814
2015-04-03,148363
2015-04-04,143655
2015-04-05,140615
2015-04-06,135991
2015-04-07,130514
2015-04-08,125667
2015-04-09,121154
2015-04-10,118432
2015-04-11,116205
2015-04-12,113002
2015-04-13,111981
2015-04-14,111283
2015-04-15,110014
2015-04-16,108695
2015-04-17,108368
2015-04-18,106101
2015-04-19,104343
2015-04-20,103283
2015-04-21,101403
2015-04-22,101525
2015-04-23,103986
2015-04-24,107150
2015-04-25,111625
2015-04-26,114533
2015-04-27,116384
2015-04-28,116755
2015-04-29,118099
2015-04-30,119080
2015-05-01,121358
2015-05-02,123113
2015-05-03,118345
2015-05-04,112798
2015-05-05,107452
2015-05-06,103452
2015-05-07,98983
2015-05-08,96861
2015-05-09,94790
2015-05-10,92427
2015-05-11,92133
2015-05-12,92111
2015-05-13,91561
2015-05-14,92040
2015-05-15,92598
2015-05-16,94069
2015-05-17,94415
2015-05-18,97003
2015-05-19,100639
2015-05-20,101414
2015-05-21,104591
2015-05-22,107236
2015-05-23,108270
2015-05-24,109003
2015-05-25,109739
2015-05-26,109109
2015-05-27,109907
2015-05-28,111048
2015-05-29,113509
2015-05-30,114811
2015-05-31,116849
2015-06-01,117877
2015-06-02,117877
2015-06-03,119825
2015-06-04,122132
2015-06-05,124646
2015-06-06,125727
2015-06-07,126165
2015-06-08,128280
2015-06-09,128896
2015-06-10,129270
2015-06-11,127148
2015-06-12,128252
2015-06-13,129328
2015-06-14,129069
2015-06-15,128574
2015-06-16,130060
2015-06-17,130136
2015-06-18,130174
2015-06-19,130865
2015-06-20,131872
2015-06-21,131264
2015-06-22,132341
2015-06-23,130831
2015-06-24,131857
2015-06-25,131526
2015-06-26,131228
2015-06-27,131228
2015-06-28,129990
2015-06-29,131157
2015-06-30,132256
2015-07-01,130753
2015-07-02,130753
2015-07-03,131875
2015-07-04,133763
2015-07-05,137181
2015-07-06,139519
2015-07-07,141720
2015-07-08,144235
2015-07-09,145089
2015-07-10,147560
2015-07-11,152688
2015-07-12,153276
2015-07-13,157902
2015-07-14,164340
2015-07-15,169512
2015-07-16,173071
2015-07-17,177485
2015-07-18,178573
2015-07-19,183256
2015-07-20,186647
2015-07-21,189930
2015-07-22,189223
2015-07-23,189223
2015-07-24,186532
2015-07-25,188822
2015-07-26,185246
2015-07-27,181471
2015-07-28,179386
2015-07-29,180566
2015-07-30,183113
2015-07-31,185864
2015-08-01,185414
2015-08-02,183322
2015-08-03,178449
2015-08-04,175730
2015-08-05,174706
2015-08-06,173392
2015-08-07,170700
2015-08-08,166063
2015-08-09,166320
2015-08-10,165514
2015-08-11,164600
2015-08-12,164665
2015-08-13,162679
2015-08-14,161910
2015-08-15,163577
2015-08-16,164335
2015-08-17,165205
2015-08-18,166217
2015-08-19,165590
2015-08-20,168374
2015-08-21,170242
2015-08-22,171601
2015-08-23,175012
2015-08-24,174856
2015-08-25,174856
2015-08-26,176071
2015-08-27,179883
2015-08-28,180940
2015-08-29,183333
2015-08-30,182293
2015-08-31,183195
2015-09-01,185482
2015-09-02,191159
2015-09-03,197281
2015-09-04,196986
2015-09-05,201306
2015-09-06,201498
2015-09-07,202546
2015-09-08,203400
2015-09-09,205083
2015-09-10,207871
2015-09-11,209399
2015-09-12,204970
2015-09-13,204031
2015-09-14,204662
2015-09-15,205095
2015-09-16,207489
2015-09-17,209712
2015-09-18,209602
2015-09-19,211202
2015-09-20,215764
2015-09-21,218091
2015-09-22,219206
2015-09-23,221032
2015-09-24,221032
2015-09-25,223014
2015-09-27,218803
2015-09-28,215069
2015-09-29,213686
2015-09-30,213729
2015-10-05,195506
2015-10-06,192079
2015-10-07,187466
2015-10-08,186861
2015-10-09,188938
2015-10-10,188938
2015-10-11,188579
2015-10-12,195102
2015-10-13,195102
2015-10-14,196166
2015-10-15,194368
2015-10-16,193538
2015-10-17,193538
2015-10-18,192696
2015-10-19,189212
2015-10-20,186447
2015-10-22,187751
2015-10-23,186904
2015-10-24,189787
2015-10-25,189312
2015-10-26,187208
2015-10-27,189754
2015-10-29,189511
2015-10-30,192173
2015-10-31,192220
2015-11-01,192220
2015-11-02,194750
2015-11-03,195898
2015-11-04,199835
2015-11-05,204607
2015-11-07,220191
2015-11-08,228678
2015-11-09,236549
2015-11-10,234359
2015-11-11,232934
2015-11-12,233643
2015-11-13,235872
2015-11-14,237215
2015-11-15,236876
2015-11-16,237832
2015-11-17,236184
2015-11-18,237737
2015-11-19,238130
2015-11-20,239506
2015-11-21,239506
2015-11-22,240796
2015-11-23,240796
2015-11-24,241863
2015-11-25,244850
2015-11-26,244850
2015-11-27,244665
2015-11-28,246991
2015-11-29,246664
2015-11-30,246723
2015-12-01,247409
2015-12-02,249606
2015-12-03,249973
2015-12-04,249955
2015-12-05,251470
2015-12-06,253362
2015-12-07,255323
2015-12-08,254199
2015-12-09,252478
2015-12-10,253477
2015-12-11,253782
2015-12-12,252610
2015-12-13,251200
2015-12-14,251200
2015-12-15,248482
2015-12-16,241793
2015-12-17,234876
2015-12-18,230029
2015-12-19,225742
2015-12-20,223889
2015-12-21,217637
2015-12-22,216636
2015-12-23,216149
2015-12-24,213402
2015-12-25,210907
2015-12-26,209263
2015-12-27,207232
2015-12-28,206571
2015-12-29,203616
2015-12-30,200601
2015-12-31,195437
2016-01-01,193659
2016-01-02,190811
2016-01-03,189492
2016-01-04,192147
2016-01-05,195037
2016-01-06,195982
2016-01-07,199651
2016-01-08,200690
2016-01-09,200154
2016-01-10,203467
2016-01-11,202815
2016-01-12,204963
2016-01-13,205218
2016-01-14,205353
2016-01-15,204873
2016-01-16,206390
2016-01-17,210557
2016-01-18,215049
2016-01-19,215532
2016-01-20,216068
2016-01-21,213790
2016-01-22,209303
2016-01-23,206862
2016-01-24,202953
2016-01-25,202990
2016-01-26,201565
2016-01-27,198808
2016-01-28,198808
2016-01-29,195961
2016-01-30,196208
2016-01-31,198205
2016-02-01,198679
2016-02-02,201050
2016-02-03,204538
2016-02-04,209081
2016-02-05,211985
2016-02-06,216381
2016-02-07,217319
2016-02-08,220423
2016-02-09,221151
2016-02-10,220475
2016-02-11,225210
2016-02-12,224356
2016-02-13,222771
2016-02-14,222681
2016-02-15,224065
2016-02-16,222197
2016-02-17,221644
2016-02-18,217605
2016-02-19,217264
2016-02-20,216693
2016-02-21,214894
2016-02-22,216325
2016-02-23,215720
2016-02-24,215901
2016-02-25,216826
2016-02-26,220611
2016-02-27,223812
2016-02-28,230780
2016-02-29,232436
2016-03-01,231846
2016-03-02,235096
2016-03-03,234136
2016-03-04,235094
2016-03-05,234300
2016-03-06,237939
2016-03-07,238084
2016-03-08,240637
2016-03-09,244426
2016-03-10,248284
2016-03-11,250481
2016-03-12,255165
2016-03-13,258733
2016-03-14,258479
2016-03-15,260987
2016-03-16,259587
2016-03-17,259275
2016-03-18,259427
2016-03-19,259924
2016-03-20,263337
2016-03-21,268176
2016-03-22,276084
2016-03-23,285968
2016-03-24,294261
2016-03-25,302296
2016-03-26,299189
2016-03-27,291795
2016-03-28,283049
2016-03-29,276412
2016-03-30,277290
2016-03-31,274095
2016-04-01,272669
2016-04-02,270357
2016-04-03,271311
2016-04-04,271737
2016-04-05,270693
2016-04-06,270965
2016-04-07,269669
2016-04-08,274273
2016-04-09,274570
2016-04-10,278865
2016-04-11,278865
2016-04-12,279389
2016-04-13,279937
2016-04-14,278052
2016-04-15,276705
2016-04-16,274589
2016-04-17,269287
2016-04-18,265113
2016-04-19,262329
2016-04-20,261527
2016-04-21,258417
2016-04-22,255924
2016-04-23,252685
2016-04-24,246369
2016-04-25,243056
2016-04-26,237705
2016-04-27,235450
2016-04-28,233916
2016-04-29,238073
2016-04-30,245220
2016-05-01,247854
2016-05-02,245234
2016-05-03,243914
2016-05-04,242556
2016-05-05,244153
2016-05-06,244153
2016-05-07,240949
2016-05-08,236887
2016-05-09,231174
2016-05-10,230330
2016-05-11,228087
2016-05-12,226379
2016-05-13,225137
2016-05-14,231046
2016-05-15,228173
2016-05-16,226372
2016-05-17,229079
2016-05-18,227379
2016-05-19,229820
2016-05-22,233588
2016-05-23,229534
2016-05-24,232138
2016-05-25,232495
2016-05-26,233816
2016-05-27,232035
2016-05-28,232035
2016-05-29,227730
2016-05-30,225510
2016-05-31,227254
2016-06-01,228471
2016-06-02,227890
2016-06-03,223310
2016-06-04,223130
2016-06-05,218282
2016-06-06,223151
2016-06-07,226007
2016-06-08,227016
2016-06-09,224436
2016-06-10,218193
2016-06-11,216121
2016-06-12,218302
2016-06-13,217382
2016-06-14,216368
2016-06-15,215959
2016-06-16,215041
2016-06-17,214269
2016-06-18,215595
2016-06-19,214988
2016-06-20,213539
2016-06-21,215116
2016-06-22,215195
2016-06-23,213550
2016-06-24,214068
2016-06-25,215475
2016-06-26,213149
2016-06-27,211311
2016-06-28,214171
2016-06-29,215667
2016-06-30,218191
2016-07-01,221598
2016-07-02,223897
2016-07-03,227049
2016-07-04,232902
2016-07-05,235448
2016-07-06,235184
2016-07-07,228015
2016-07-08,217303
2016-07-09,210701
2016-07-10,202537
2016-07-11,192987
2016-07-12,183337
2016-07-13,174255
2016-07-14,168490
2016-07-15,162070
2016-07-16,158435
2016-07-17,152949
2016-07-18,147351
2016-07-23,142531
2016-07-24,143105
2016-07-25,144053
2016-07-26,142224
2016-07-27,143320
2016-07-28,144849
2016-07-29,147996
2016-07-30,151703
2016-07-31,153205
2016-08-01,153706
2016-08-02,155326
2016-08-03,160418
2016-08-04,163913
2016-08-05,163511
2016-08-06,161489
2016-08-07,163024
2016-08-08,165144
2016-08-09,166766
2016-08-10,168158
2016-08-11,170052
2016-08-12,167705
2016-08-13,168794
2016-08-14,166280
2016-08-15,166068
2016-08-16,165919
2016-08-17,165974
2016-08-18,164892
2016-08-19,164625
2016-08-20,162976
2016-08-21,163683
2016-08-22,164758
2016-08-23,163364
2016-08-24,158601
2016-08-25,157900
2016-08-26,157900
2016-08-28,161354
2016-08-31,164522
2016-09-01,163860
2016-09-02,163860
2016-09-03,167248
2016-09-04,166676
2016-09-05,166490
2016-09-06,168191
2016-09-07,168579
2016-09-08,167106
2016-09-09,166926
2016-09-10,166925
2016-09-11,165916
2016-09-12,165746
2016-09-13,166702
2016-09-14,167245
2016-09-15,167372
2016-09-16,168131
2016-09-17,171654
2016-09-18,175341
2016-09-19,178199
2016-09-20,181328
2016-09-21,184749
2016-09-22,188504
2016-09-23,191781
2016-09-24,191781
2016-09-25,192584
2016-09-26,193087
2016-09-27,194335
2016-09-28,194405
2016-09-29,191626
2016-09-30,197540
2016-10-01,206321
2016-10-02,208555
2016-10-03,214074
2016-10-04,211858
2016-10-05,215779
2016-10-06,218092
2016-10-07,222186
2016-10-08,228555
2016-10-09,235112
2016-10-10,240227
2016-10-11,242247
2016-10-12,244972
2016-10-13,241261
2016-10-14,237181
2016-10-15,235519
2016-10-16,230700
2016-10-17,226516
2016-10-18,222341
2016-10-19,217077
2016-10-20,212409
2016-10-21,207885
2016-10-22,204040
2016-10-23,197944
2016-10-24,192713
2016-10-25,189896
2016-10-26,190292
2016-10-27,188261
2016-10-28,186128
2016-10-29,187765
2016-10-30,186554
2016-10-31,185389
2016-11-01,185698
2016-11-02,187872
2016-11-03,187751
2016-11-04,188779
2016-11-05,185431
2016-11-06,184961
2016-11-07,184635
2016-11-08,186154
2016-11-09,183754
2016-11-10,185262
2016-11-11,186144
2016-11-12,184259
2016-11-13,183437
2016-11-14,181150
2016-11-15,180789
2016-12-07,203844
2016-12-08,205477
2016-12-09,206491
2016-12-10,209875
2016-12-11,207330
2016-12-12,205032
2016-12-13,200886
2016-12-14,197866
2016-12-15,197866
2016-12-16,195690
2016-12-17,194827
2016-12-18,196113
2016-12-19,193532
2016-12-20,187925
2016-12-21,183281
2016-12-22,178502
2016-12-23,176244
2016-12-24,178345
2016-12-25,179662
2016-12-26,179080
2016-12-27,178917
2016-12-28,176123
2016-12-29,174792
2016-12-30,172775
2016-12-31,170079
2017-01-01,169318
2017-01-02,166487
2017-01-03,161455
2017-01-04,159997
2017-01-05,162714
2017-01-06,165022
2017-01-07,166356
2017-01-08,165850
2017-01-09,165180
2017-01-10,168771
2017-01-11,170049
2017-01-12,172022
2017-01-13,173358
2017-01-14,174066
2017-01-15,169592
2017-01-16,169900
2017-01-17,169019
2017-01-18,171956
2017-01-19,171082
2017-01-20,172760
2017-01-21,174181
2017-01-22,174184
2017-01-23,177070
2017-01-27,173199
2017-01-28,176141
2017-01-29,179427
2017-01-30,178196
2017-01-31,175354
2017-02-01,175443
2017-02-02,178582
2017-02-03,179815
2017-02-04,178063
2017-02-05,180513
2017-02-06,181302
2017-02-07,182245
2017-02-08,184246
2017-02-09,185064
2017-02-10,183912
2017-02-11,184464
2017-02-12,186265
2017-02-13,186006
2017-02-14,187194
2017-02-15,188844
2017-02-16,189031
