date_obj,Barley%20malt price
2015-03-26,9
2015-03-27,9
2015-03-28,10
2015-03-29,10
2015-03-30,10
2015-03-31,10
2015-04-01,10
2015-04-02,10
2015-04-03,11
2015-04-04,11
2015-04-05,11
2015-04-06,11
2015-04-07,11
2015-04-08,12
2015-04-09,12
2015-04-10,12
2015-04-11,12
2015-04-12,12
2015-04-13,12
2015-04-14,13
2015-04-15,13
2015-04-16,13
2015-04-17,13
2015-04-18,13
2015-04-19,14
2015-04-20,14
2015-04-21,14
2015-04-22,14
2015-04-23,14
2015-04-24,14
2015-04-25,15
2015-04-26,15
2015-04-27,15
2015-04-28,15
2015-04-29,15
2015-04-30,15
2015-05-01,16
2015-05-02,16
2015-05-03,16
2015-05-04,16
2015-05-05,16
2015-05-06,16
2015-05-07,17
2015-05-08,17
2015-05-09,17
2015-05-10,17
2015-05-11,17
2015-05-12,18
2015-05-13,18
2015-05-14,18
2015-05-15,18
2015-05-16,18
2015-05-17,18
2015-05-18,19
2015-05-19,19
2015-05-20,19
2015-05-21,19
2015-05-22,19
2015-05-23,19
2015-05-24,19
2015-05-25,20
2015-05-26,20
2015-05-27,20
2015-05-28,20
2015-05-29,21
2015-05-30,21
2015-05-31,21
2015-06-01,23
2015-06-02,23
2015-06-03,23
2015-06-04,23
2015-06-05,23
2015-06-06,25
2015-06-07,25
2015-06-08,25
2015-06-09,25
2015-06-10,27
2015-06-11,27
2015-06-12,27
2015-06-13,27
2015-06-14,27
2015-06-15,29
2015-06-16,29
2015-06-17,29
2015-06-18,29
2015-06-19,29
2015-06-20,31
2015-06-21,31
2015-06-22,31
2015-06-23,31
2015-06-24,33
2015-06-25,33
2015-06-26,33
2015-06-27,33
2015-06-28,35
2015-06-29,35
2015-06-30,35
2015-07-01,35
2015-07-02,35
2015-07-03,37
2015-07-04,37
2015-07-05,37
2015-07-06,37
2015-07-07,37
2015-07-08,39
2015-07-09,39
2015-07-10,39
2015-07-11,39
2015-07-12,39
2015-07-13,41
2015-07-14,41
2015-07-15,41
2015-07-16,41
2015-07-17,44
2015-07-18,44
2015-07-19,44
2015-07-20,44
2015-07-21,44
2015-07-22,47
2015-07-23,47
2015-07-24,47
2015-07-25,47
2015-07-26,47
2015-07-27,50
2015-07-28,50
2015-07-29,50
2015-07-30,50
2015-07-31,53
2015-08-01,53
2015-08-02,53
2015-08-03,53
2015-08-04,56
2015-08-05,56
2015-08-06,56
2015-08-07,56
2015-08-08,59
2015-08-09,59
2015-08-10,59
2015-08-11,59
2015-08-12,61
2015-08-13,61
2015-08-14,61
2015-08-15,61
2015-08-16,61
2015-08-17,65
2015-08-18,65
2015-08-19,65
2015-08-20,65
2015-08-21,65
2015-08-22,69
2015-08-23,69
2015-08-24,69
2015-08-25,69
2015-08-26,69
2015-08-27,73
2015-08-28,73
2015-08-29,73
2015-08-30,73
