date_obj,Guthix%20armour%20set%20(lg) price
2015-03-26,300079
2015-03-27,300079
2015-03-28,300079
2015-03-29,300079
2015-03-30,285884
2015-03-31,285884
2015-04-01,285884
2015-04-02,285884
2015-04-03,272199
2015-04-04,272199
2015-04-05,272199
2015-04-06,259487
2015-04-07,259487
2015-04-08,259487
2015-04-09,259487
2015-04-10,247101
2015-04-11,247101
2015-04-12,247101
2015-04-13,247101
2015-04-14,235949
2015-04-15,235949
2015-04-16,235949
2015-04-17,235949
2015-04-18,224677
2015-04-19,224677
2015-04-20,224677
2015-04-21,224677
2015-04-22,215254
2015-04-23,215254
2015-04-24,215254
2015-04-25,215254
2015-04-26,206956
2015-04-27,206956
2015-04-28,206956
2015-04-29,206956
2015-04-30,199307
2015-05-01,199307
2015-05-02,199307
2015-05-03,199307
2015-05-04,194896
2015-05-05,194896
2015-05-06,194896
2015-05-07,194896
2015-05-08,192107
2015-05-09,192107
2015-05-10,192107
2015-05-11,192107
2015-05-12,191496
2015-05-13,191496
2015-05-14,191496
2015-05-15,191496
2015-05-16,191496
2015-05-17,188705
2015-05-18,188705
2015-05-19,188705
2015-05-20,188705
2015-05-21,188705
2015-05-22,184732
2015-05-23,184732
2015-05-24,184732
2015-05-25,184732
2015-05-26,183968
2015-05-27,183968
2015-05-28,183968
2015-05-29,180408
2015-05-30,180408
2015-05-31,178740
2015-06-01,178740
2015-06-02,178740
2015-06-03,176844
2015-06-04,176844
2015-06-05,179360
2015-06-06,179360
2015-06-07,181166
2015-06-08,181166
2015-06-09,181166
2015-06-10,181029
2015-06-11,181029
2015-06-12,181029
2015-06-13,180904
2015-06-14,180904
2015-06-15,180904
2015-06-16,178664
2015-06-17,178664
2015-06-18,180891
2015-06-19,180891
2015-06-20,180891
2015-06-21,186295
2015-06-22,186295
2015-06-23,186295
2015-06-24,189769
2015-06-25,189769
2015-06-26,189769
2015-06-27,189769
2015-06-28,192195
2015-06-29,192195
2015-06-30,192195
2015-07-01,191297
2015-07-02,191297
2015-07-03,191297
2015-07-04,192018
2015-07-05,192018
2015-07-06,192018
2015-07-07,190896
2015-07-08,190896
2015-07-09,190896
2015-07-10,190976
2015-07-11,190976
2015-07-12,190976
2015-07-13,191411
2015-07-14,191411
2015-07-15,191411
2015-07-16,189765
2015-07-17,189765
2015-07-18,189765
2015-07-19,189248
2015-07-20,189248
2015-07-21,189248
2015-07-22,189855
2015-07-23,189855
2015-07-24,189855
2015-07-25,191173
2015-07-26,191173
2015-07-27,191173
2015-07-28,188148
2015-07-29,188148
2015-07-30,187595
2015-07-31,187595
2015-08-01,187595
2015-08-02,188727
2015-08-03,188727
2015-08-04,188727
2015-08-05,190493
2015-08-06,190493
2015-08-07,190493
2015-08-08,191636
2015-08-09,191636
2015-08-10,193399
2015-08-11,193399
2015-08-12,193399
2015-08-13,194335
2015-08-14,194335
2015-08-15,194335
2015-08-16,194302
2015-08-17,194302
2015-08-18,197464
2015-08-19,197464
2015-08-20,197464
2015-08-21,193969
2015-08-22,193969
2015-08-23,193969
2015-08-24,190680
