date_obj,Ancient%20full%20helm price
2015-03-26,25023
2015-03-27,25023
2015-03-28,24494
2015-03-29,24534
2015-03-30,25064
2015-03-31,25174
2015-04-01,25174
2015-04-02,24761
2015-04-03,23867
2015-04-04,23491
2015-04-05,23491
2015-04-06,23043
2015-04-07,23214
2015-04-08,23214
2015-04-09,22335
2015-04-10,22057
2015-04-11,21856
2015-04-12,21490
2015-04-13,21208
2015-04-14,21208
2015-04-15,20916
2015-04-16,20916
2015-04-17,20993
2015-04-18,21392
2015-04-19,21624
2015-04-20,21624
2015-04-21,21617
2015-04-22,21617
2015-04-23,21147
2015-04-24,20614
2015-04-25,21089
2015-04-26,21412
2015-04-27,21610
2015-04-28,21955
2015-04-29,21955
2015-04-30,22334
2015-05-01,22593
2015-05-02,22218
2015-05-03,22218
2015-05-04,21951
2015-05-05,21759
2015-05-06,22109
2015-05-07,22149
2015-05-08,22149
2015-05-09,22243
2015-05-10,22479
2015-05-11,22479
2015-05-12,22170
2015-05-13,22170
2015-05-14,22167
2015-05-15,22167
2015-05-16,22253
2015-05-17,21975
2015-05-18,22170
2015-05-19,21512
2015-05-20,21512
2015-05-21,21215
2015-05-22,21209
2015-05-23,21209
2015-05-24,21151
2015-05-25,21040
2015-05-26,21040
2015-05-27,20927
2015-05-28,21181
2015-05-29,21341
2015-05-30,21233
2015-05-31,21233
2015-06-01,20866
2015-06-02,20866
2015-06-03,21009
2015-06-04,21009
2015-06-05,21019
2015-06-06,21451
2015-06-07,21599
2015-06-08,21599
2015-06-09,21491
2015-06-10,21182
2015-06-11,21182
2015-06-12,21057
2015-06-13,21300
2015-06-14,21430
2015-06-15,21430
2015-06-16,21258
2015-06-17,21258
2015-06-18,21041
2015-06-19,21041
2015-06-20,20955
2015-06-21,20955
2015-06-22,21033
2015-06-23,21033
2015-06-24,20928
2015-06-25,20928
2015-06-26,20918
2015-06-27,20918
2015-06-28,20689
2015-06-29,20689
2015-06-30,20662
2015-07-01,20974
2015-07-02,20974
2015-07-03,21068
2015-07-04,21068
2015-07-05,21423
2015-07-06,21423
2015-07-07,21136
2015-07-08,20378
2015-07-09,20378
2015-07-10,20349
2015-07-11,20349
2015-07-12,20501
2015-07-13,20501
2015-07-14,20580
2015-07-15,20580
2015-07-16,21184
2015-07-17,21704
2015-07-18,21704
2015-07-19,22250
2015-07-20,22995
