date_obj,Bagged%20magic%20tree price
2015-03-26,52000
2015-03-27,52000
2015-03-28,52000
2015-03-29,52000
2015-03-30,52000
2015-03-31,52000
2015-04-01,52000
2015-04-02,52000
2015-04-03,52000
2015-04-04,52000
2015-04-05,52000
2015-04-06,52000
2015-04-07,52000
2015-04-08,52000
2015-04-09,52000
2015-04-10,52000
2015-04-11,52000
2015-04-12,52000
2015-04-13,52000
2015-04-14,52000
2015-04-15,52000
2015-04-16,52000
2015-04-17,52000
2015-04-18,52000
2015-04-19,52000
2015-04-20,52000
2015-04-21,52000
2015-04-22,52000
2015-04-23,52000
2015-04-24,52000
2015-04-25,52000
2015-04-26,52000
2015-04-27,52000
2015-04-28,52000
2015-04-29,52000
2015-04-30,52000
2015-05-01,52000
2015-05-02,52000
2015-05-03,52000
2015-05-04,52000
2015-05-05,52000
2015-05-06,52000
2015-05-07,52000
2015-05-08,52000
2015-05-09,52000
2015-05-10,52000
2015-05-11,52000
2015-05-12,52000
2015-05-13,52000
2015-05-14,52000
2015-05-15,52000
2015-05-16,52000
2015-05-17,52000
2015-05-18,52000
2015-05-19,52000
2015-05-20,52000
2015-05-21,52000
2015-05-22,52000
2015-05-23,52000
2015-05-24,52000
2015-05-25,52000
2015-05-26,52000
2015-05-27,52000
2015-05-28,52000
2015-05-29,52000
2015-05-30,52000
2015-05-31,52000
2015-06-01,52000
2015-06-02,52000
2015-06-03,52000
2015-06-04,52000
2015-06-05,52000
2015-06-06,52000
2015-06-07,51378
2015-06-08,51378
2015-06-09,51378
2015-06-10,51378
2015-06-11,51378
2015-06-12,51378
2015-06-13,51378
2015-06-14,51378
2015-06-15,51378
2015-06-16,51378
2015-06-17,51378
2015-06-18,51378
2015-06-19,51378
2015-06-20,51378
2015-06-21,51378
2015-06-22,51378
2015-06-23,51378
2015-06-24,51378
2015-06-25,51378
2015-06-26,51378
2015-06-27,51378
2015-06-28,51378
2015-06-29,51378
2015-06-30,51378
2015-07-01,51378
2015-07-02,51378
2015-07-03,51378
2015-07-04,51378
2015-07-05,51378
2015-07-06,51378
2015-07-07,51378
2015-07-08,51378
2015-07-09,51378
2015-07-10,51378
2015-07-11,51378
2015-07-12,51378
2015-07-13,51378
2015-07-14,51378
2015-07-15,51378
2015-07-16,51378
2015-07-17,51378
2015-07-18,51378
2015-07-19,51378
2015-07-20,51378
2015-07-21,51378
2015-07-22,51378
2015-07-23,51378
2015-07-24,51378
2015-07-25,51378
2015-07-26,51378
2015-07-27,51378
2015-07-28,51378
2015-07-29,51378
2015-07-30,51378
2015-07-31,51378
2015-08-01,51378
2015-08-02,51378
