date_obj,Amulet%20of%20fury price
2015-03-26,2841672
2015-03-27,2873364
2015-03-28,2914956
2015-03-29,2926505
2015-03-30,2990867
2015-03-31,3050740
2015-04-01,3099713
2015-04-02,3148804
2015-04-03,3177224
2015-04-04,3181770
2015-04-05,3181447
2015-04-06,3154513
2015-04-07,3093622
2015-04-08,3033332
2015-04-09,3003990
2015-04-10,2982829
2015-04-11,2981652
2015-04-12,2965947
2015-04-13,2960897
2015-04-14,2968386
2015-04-15,2971516
2015-04-16,2977307
2015-04-17,2992986
2015-04-18,3022880
2015-04-19,3030584
2015-04-20,3001511
2015-04-21,2987053
2015-04-22,2979629
2015-04-23,2994921
2015-04-24,3006952
2015-04-25,3063551
2015-04-26,3075033
2015-04-27,3061099
2015-04-28,3034649
2015-04-29,3031087
2015-04-30,3043452
2015-05-01,3029434
2015-05-02,3023641
2015-05-03,3004126
2015-05-04,2989411
2015-05-05,2981869
2015-05-06,2963943
2015-05-07,2957759
2015-05-08,2963066
2015-05-09,2975198
2015-05-10,2985794
2015-05-11,2979400
2015-05-12,2988740
2015-05-13,2992561
2015-05-14,2990542
2015-05-15,3024364
2015-05-16,3048029
2015-05-17,3041902
2015-05-18,3026517
2015-05-19,3023475
2015-05-20,3017658
2015-05-21,3008712
2015-05-22,3013612
2015-05-23,3012978
2015-05-24,3005147
2015-05-25,3027626
2015-05-26,3034105
2015-05-27,3051712
2015-05-28,3039711
2015-05-29,3036305
2015-05-30,3043387
2015-05-31,3045398
2015-06-01,3054702
2015-06-02,3066257
2015-06-03,3079789
2015-06-04,3117065
2015-06-05,3139520
2015-06-06,3144102
2015-06-07,3187007
2015-06-08,3173481
2015-06-09,3156456
2015-06-10,3134721
2015-06-11,3094291
2015-06-12,3082624
2015-06-13,3094685
2015-06-14,3085316
2015-06-15,3063384
2015-06-16,3052904
2015-06-17,3041665
2015-06-18,3020848
2015-06-19,3012838
2015-06-20,3008791
2015-06-21,3006664
2015-06-22,2995924
2015-06-23,2989781
2015-06-24,2989094
2015-06-25,2992533
2015-06-26,3013683
2015-06-27,3020590
2015-06-28,3029510
2015-06-29,3028199
2015-06-30,3012276
2015-07-01,2998802
2015-07-02,2987386
2015-07-03,3000878
2015-07-04,3002040
2015-07-05,3013795
2015-07-06,3008209
2015-07-07,3009390
2015-07-08,3021500
2015-07-09,3017316
2015-07-10,3013976
2015-07-11,3026508
2015-07-12,3031490
2015-07-13,3027422
2015-07-14,3024432
2015-07-15,3028601
2015-07-16,3023955
2015-07-17,3015959
2015-07-18,3005881
2015-07-19,3003281
2015-07-20,2991419
2015-07-21,2986939
2015-07-22,2987453
2015-07-23,2988627
2015-07-24,2997884
2015-07-25,3015096
2015-07-26,3042819
2015-07-27,3049205
2015-07-28,3072421
2015-07-29,3075213
2015-07-30,3078864
2015-07-31,3089587
2015-08-01,3121753
2015-08-02,3164082
2015-08-03,3148331
2015-08-04,3123149
2015-08-05,3097826
2015-08-06,3077412
2015-08-07,3076527
2015-08-08,3085920
2015-08-09,3084812
2015-08-10,3058328
2015-08-11,3041649
2015-08-12,3034872
2015-08-13,3024734
2015-08-14,3033921
2015-08-15,3057145
2015-08-16,3055904
2015-08-17,3047175
2015-08-18,3031584
2015-08-19,2998449
2015-08-20,2979308
2015-08-21,2983527
2015-08-22,3002206
2015-08-23,3013425
2015-08-24,3023093
2015-08-25,3019800
2015-08-26,3023017
2015-08-27,3011911
2015-08-28,3009247
2015-08-29,3012610
2015-08-30,2984322
2015-08-31,2973244
2015-09-01,2971794
2015-09-02,2970064
2015-09-03,2954386
2015-09-04,2955079
2015-09-05,2958952
2015-09-06,2966938
2015-09-07,2965957
2015-09-08,2971420
2015-09-09,2975434
2015-09-10,2957387
2015-09-11,2935709
2015-09-12,2896296
2015-09-13,2875347
2015-09-14,2870703
2015-09-15,2855241
2015-09-16,2824153
2015-09-17,2814986
2015-09-18,2818561
2015-09-19,2831692
2015-09-20,2862529
2015-09-21,2891208
2015-09-22,2873029
2015-09-23,2824209
2015-09-24,2782535
2015-09-25,2772281
2015-09-27,2770740
2015-09-28,2796080
2015-09-29,2805498
2015-09-30,2814428
2015-10-05,2827738
2015-10-06,2824289
2015-10-07,2806979
2015-10-08,2799751
2015-10-09,2818572
2015-10-10,2798509
2015-10-11,2788751
2015-10-12,2771699
2015-10-13,2780784
2015-10-14,2786119
2015-10-15,2797271
2015-10-16,2800461
2015-10-17,2848313
2015-10-18,2875711
2015-10-19,2875636
2015-10-20,2863996
2015-10-22,2861983
2015-10-23,2904928
2015-10-24,2971889
2015-10-25,2977882
2015-10-26,2951195
2015-10-27,2954275
2015-10-28,2960071
2015-10-29,2947505
2015-10-30,2945042
2015-10-31,2964546
2015-11-01,2957315
2015-11-02,2953635
2015-11-03,2909905
2015-11-04,2903462
2015-11-05,2900924
2015-11-06,2918177
2015-11-07,2953769
2015-11-08,2955817
2015-11-09,2948256
2015-11-10,2932817
2015-11-11,2923897
2015-11-12,2925927
2015-11-13,2919080
2015-11-14,2939802
2015-11-15,2970231
2015-11-16,2971893
2015-11-17,3013992
2015-11-18,3021524
2015-11-19,3074063
2015-11-20,3118721
2015-11-21,3137207
2015-11-22,3128166
2015-11-23,3119692
2015-11-24,3102873
2015-11-25,3102759
2015-11-26,3117999
2015-11-27,3166060
2015-11-28,3267863
2015-11-29,3323696
2015-11-30,3328862
2015-12-01,3335842
2015-12-02,3352407
2015-12-03,3353939
2015-12-04,3331482
2015-12-05,3303336
2015-12-06,3270935
2015-12-07,3212055
2015-12-08,3172230
2015-12-09,3139238
2015-12-10,3109827
2015-12-11,3130611
2015-12-12,3131848
2015-12-13,3122183
2015-12-14,3106658
2015-12-15,3123942
2015-12-16,3148142
2015-12-17,3151095
2015-12-18,3182036
2015-12-19,3194870
2015-12-20,3243004
2015-12-21,3253939
2015-12-22,3251904
2015-12-23,3253671
2015-12-24,3230461
2015-12-25,3211981
2015-12-26,3197900
2015-12-27,3149395
2015-12-28,3076177
2015-12-29,2970732
2015-12-30,3017541
2015-12-31,3052496
2016-01-01,3060392
2016-01-02,3073368
2016-01-03,3052461
2016-01-04,3054688
2016-01-05,3049102
2016-01-06,3037261
2016-01-07,3019270
2016-01-08,2992019
2016-01-09,2990788
2016-01-10,2958419
2016-01-11,2953216
2016-01-12,2971077
2016-01-13,2983080
2016-01-14,2993825
2016-01-15,3011574
2016-01-16,3039603
2016-01-17,3064161
2016-01-18,3077519
2016-01-19,3074560
2016-01-20,3062419
2016-01-21,3049732
2016-01-22,3049144
2016-01-23,3070271
2016-01-24,3089025
2016-01-25,3116508
2016-01-26,3108181
2016-01-27,3089553
2016-01-28,3068383
2016-01-29,3046210
2016-01-30,3033929
2016-01-31,3047542
2016-02-01,3059870
2016-02-02,3054072
2016-02-03,3060518
2016-02-04,3061746
2016-02-05,3080054
2016-02-06,3100885
2016-02-07,3080075
2016-02-08,3070918
2016-02-09,3049638
2016-02-10,3039526
2016-02-11,3039836
2016-02-12,3043078
2016-02-13,3054463
2016-02-14,3054937
2016-02-15,3041013
2016-02-16,3032368
2016-02-17,3023060
2016-02-18,3013283
2016-02-19,3009413
2016-02-20,2999841
2016-02-21,2985831
2016-02-22,2982630
2016-02-23,2985055
2016-02-24,3015219
2016-02-25,3046381
2016-02-26,3037470
2016-02-27,3028015
2016-02-28,3014809
2016-02-29,3027483
2016-03-01,3066732
2016-03-02,3164860
2016-03-03,3213252
2016-03-04,3189483
2016-03-05,3159940
2016-03-06,3078459
2016-03-07,3070878
2016-03-08,3054278
2016-03-09,3042885
2016-03-10,3033737
2016-03-11,3032530
2016-03-12,3032396
2016-03-13,3026610
2016-03-14,3038142
2016-03-15,3054845
2016-03-16,3031537
2016-03-17,3037692
2016-03-18,3038129
2016-03-19,3053511
2016-03-20,3050124
2016-03-21,3041133
2016-03-22,3036876
2016-03-23,3037403
2016-03-24,3061476
2016-03-25,3059747
2016-03-26,3043150
2016-03-27,3033504
2016-03-28,3024701
2016-03-29,3025387
2016-03-30,3020864
2016-03-31,3012558
2016-04-01,3015326
2016-04-02,3020692
2016-04-03,3048734
