date_obj,Wizard's%20mind%20bomb price
2015-03-26,118
2015-03-27,118
2015-03-28,121
2015-03-29,126
2015-03-30,133
2015-03-31,135
2015-04-01,134
2015-04-02,139
2015-04-03,143
2015-04-04,148
2015-04-05,150
2015-04-06,152
2015-04-07,144
2015-04-08,137
2015-04-09,130
2015-04-10,125
2015-04-11,129
2015-04-12,128
2015-04-13,126
2015-04-14,125
2015-04-15,122
2015-04-16,121
2015-04-17,121
2015-04-18,122
2015-04-19,119
2015-04-20,119
2015-04-21,122
2015-04-22,125
2015-04-23,132
2015-04-24,139
2015-04-25,146
2015-04-26,154
2015-04-27,154
2015-04-28,146
2015-04-29,146
2015-04-30,138
2015-05-01,131
2015-05-02,124
2015-05-03,124
2015-05-04,117
2015-05-05,111
2015-05-06,105
2015-05-07,99
2015-05-08,94
2015-05-09,91
2015-05-10,87
2015-05-11,87
2015-05-12,86
2015-05-13,83
2015-05-14,80
2015-05-15,77
2015-05-16,78
2015-05-17,76
2015-05-18,75
2015-05-19,72
2015-05-20,72
2015-05-21,71
2015-05-22,71
2015-05-23,71
2015-05-24,70
2015-05-25,67
2015-05-26,66
2015-05-27,65
2015-05-28,63
2015-05-29,64
2015-05-30,64
2015-05-31,64
2015-06-01,62
2015-06-02,60
2015-06-03,62
2015-06-04,62
2015-06-05,61
2015-06-06,61
2015-06-07,62
2015-06-08,62
2015-06-09,61
2015-06-10,59
2015-06-11,59
2015-06-12,62
2015-06-13,62
2015-06-14,63
2015-06-15,62
2015-06-16,59
2015-06-17,57
2015-06-18,57
2015-06-19,59
2015-06-20,58
2015-06-21,58
2015-06-22,61
2015-06-23,65
2015-06-24,63
2015-06-25,59
2015-06-26,59
2015-06-27,58
2015-06-28,60
2015-06-29,61
2015-06-30,60
2015-07-01,61
2015-07-02,61
2015-07-03,58
2015-07-04,55
2015-07-05,52
2015-07-06,49
2015-07-07,46
2015-07-08,43
2015-07-09,40
2015-07-10,38
2015-07-11,36
2015-07-12,34
2015-07-13,32
2015-07-14,30
2015-07-15,28
2015-07-16,26
2015-07-17,25
2015-07-18,23
2015-07-19,23
2015-07-20,24
2015-07-21,24
2015-07-22,24
2015-07-23,24
2015-07-24,24
2015-07-25,22
2015-07-26,23
2015-07-27,25
2015-07-28,24
2015-07-29,25
2015-07-30,23
2015-07-31,23
2015-08-01,23
2015-08-02,24
2015-08-03,25
2015-08-04,26
2015-08-05,27
2015-08-06,29
2015-08-07,31
2015-08-08,32
2015-08-09,33
2015-08-10,34
2015-08-11,36
2015-08-12,37
2015-08-13,37
2015-08-14,37
2015-08-15,38
2015-08-16,40
2015-08-17,42
2015-08-18,45
2015-08-19,48
2015-08-20,51
2015-08-21,54
2015-08-22,57
2015-08-23,60
2015-08-24,63
2015-08-25,63
2015-08-26,67
2015-08-27,69
2015-08-28,67
2015-08-29,65
2015-08-30,62
2015-08-31,58
2015-09-01,60
2015-09-02,60
2015-09-03,62
2015-09-04,63
2015-09-05,64
2015-09-06,62
2015-09-07,58
2015-09-08,60
2015-09-09,60
2015-09-10,58
2015-09-11,55
2015-09-12,52
2015-09-13,49
2015-09-14,47
2015-09-15,46
2015-09-16,46
2015-09-17,44
2015-09-18,45
2015-09-19,46
2015-09-20,45
2015-09-21,43
2015-09-22,44
2015-09-23,45
2015-09-24,45
2015-09-25,48
2015-09-27,54
2015-09-28,57
2015-09-29,60
2015-09-30,63
2015-10-05,72
2015-10-06,74
2015-10-07,73
2015-10-08,74
2015-10-09,74
2015-10-10,74
2015-10-11,74
2015-10-12,74
2015-10-13,74
2015-10-14,75
2015-10-15,78
2015-10-16,82
2015-10-17,82
2015-10-18,82
2015-10-19,87
2015-10-20,89
2015-10-22,87
2015-10-23,82
2015-10-24,81
2015-10-25,80
2015-10-26,79
2015-10-27,82
2015-10-29,82
2015-10-30,81
2015-10-31,79
2015-11-01,79
2015-11-02,75
2015-11-03,71
2015-11-05,63
2015-11-06,59
2015-11-07,56
2015-11-08,53
2015-11-09,51
2015-11-10,51
2015-11-11,49
2015-11-12,48
2015-11-13,48
2015-11-14,49
2015-11-15,50
2015-11-16,52
2015-11-17,55
2015-11-18,56
2015-11-19,57
2015-11-20,60
2015-11-21,60
2015-11-22,62
2015-11-23,62
2015-11-24,61
2015-11-25,63
2015-11-26,63
2015-11-27,65
2015-11-28,68
2015-11-29,68
