date_obj,Ahrim's%20hood price
2015-03-26,35342
2015-03-27,35342
2015-03-28,33636
2015-03-29,32218
2015-03-30,32218
2015-03-31,30888
2015-04-01,30888
2015-04-02,29819
2015-04-03,29819
2015-04-04,29532
2015-04-05,29532
2015-04-06,29356
2015-04-07,29356
2015-04-08,28880
2015-04-09,28880
2015-04-10,27587
2015-04-11,26726
2015-04-12,26726
2015-04-13,26345
2015-04-14,26345
2015-04-15,26589
2015-04-16,26589
2015-04-17,27459
2015-04-18,27459
2015-04-19,28805
2015-04-20,28805
2015-04-21,30115
2015-04-22,30115
2015-04-23,31381
2015-04-24,31381
2015-04-25,32856
2015-04-26,32856
2015-04-27,34441
2015-04-28,35683
2015-04-29,35683
2015-04-30,36450
2015-05-01,37126
2015-05-02,37126
2015-05-03,36616
2015-05-04,36616
2015-05-05,36284
2015-05-06,35697
2015-05-07,35697
2015-05-08,35338
2015-05-09,35338
2015-05-10,35951
2015-05-11,35951
2015-05-12,37112
2015-05-13,37112
2015-05-14,38480
2015-05-15,38480
2015-05-16,39458
2015-05-17,39171
2015-05-18,39171
2015-05-19,39873
2015-05-20,39873
2015-05-21,39873
2015-05-22,40697
2015-05-23,40697
2015-05-24,41524
2015-05-25,41524
2015-05-26,43450
2015-05-27,43450
2015-05-28,44712
2015-05-29,45588
2015-05-30,44511
2015-05-31,43186
2015-06-01,41515
2015-06-02,41515
2015-06-03,40625
2015-06-04,40827
2015-06-05,41118
2015-06-06,40826
2015-06-07,40055
2015-06-08,39589
2015-06-09,39076
2015-06-10,38753
2015-06-11,38753
2015-06-12,38334
2015-06-13,39070
2015-06-14,39953
2015-06-15,40216
2015-06-16,40628
2015-06-17,41076
2015-06-18,40657
2015-06-19,40263
2015-06-20,40456
2015-06-21,40516
2015-06-22,40095
2015-06-23,39969
2015-06-24,40319
2015-06-25,40319
2015-06-26,40459
2015-06-27,40459
2015-06-28,39932
2015-06-29,39806
2015-06-30,39121
2015-07-01,40007
2015-07-02,40007
2015-07-03,40771
2015-07-04,40389
2015-07-05,39736
2015-07-06,39217
2015-07-07,38382
2015-07-08,37229
2015-07-09,37229
2015-07-10,36885
2015-07-11,37318
2015-07-12,38994
2015-07-13,40924
2015-07-14,42510
2015-07-15,42587
2015-07-16,42770
2015-07-17,43789
2015-07-18,43789
2015-07-19,43300
2015-07-20,43979
2015-07-21,43979
2015-07-22,44423
2015-07-23,44423
2015-07-24,43882
2015-07-25,43882
2015-07-26,44274
2015-07-27,44767
2015-07-28,44039
2015-07-29,44383
2015-07-30,43923
2015-07-31,43923
2015-08-01,44785
2015-08-02,45278
2015-08-03,45991
2015-08-04,46820
2015-08-05,47189
2015-08-06,48013
2015-08-07,46616
2015-08-08,45137
2015-08-09,43939
2015-08-10,42726
2015-08-11,42416
2015-08-12,42416
2015-08-13,41455
2015-08-14,40904
2015-08-15,40904
2015-08-16,41027
2015-08-17,40672
2015-08-18,40379
2015-08-19,40051
2015-08-20,38892
2015-08-21,39125
2015-08-22,40929
2015-08-23,40929
2015-08-24,40831
2015-08-25,40831
2015-08-26,39593
2015-08-27,38929
2015-08-28,37321
2015-08-29,36113
2015-08-30,36113
2015-08-31,35257
2015-09-01,34900
2015-09-02,34900
2015-09-03,33884
2015-09-04,32925
2015-09-05,32925
2015-09-06,32008
2015-09-07,31129
2015-09-08,31540
2015-09-09,32929
2015-09-10,34123
2015-09-11,35260
2015-09-12,36533
2015-09-13,38179
2015-09-14,38679
2015-09-15,38110
2015-09-16,38110
2015-09-17,37169
2015-09-18,37169
2015-09-19,36906
2015-09-20,36906
2015-09-21,37269
