date_obj,Arcane%20spirit%20shield price
2015-03-26,78463955
2015-03-27,78463955
2015-03-28,82387153
2015-03-29,83962120
2015-03-30,83986050
2015-03-31,83986050
2015-04-01,84214611
2015-04-02,84781392
2015-04-03,85352485
2015-04-04,87441655
2015-04-05,87441655
2015-04-06,88760560
2015-04-07,89530921
2015-04-08,89530921
2015-04-09,91041375
2015-04-10,94247511
2015-04-11,92039280
2015-04-12,87437316
2015-04-13,83071794
2015-04-14,83071794
2015-04-15,83367475
2015-04-16,84696108
2015-04-17,86583366
2015-04-18,87158298
2015-04-19,87519361
2015-04-20,87519361
2015-04-21,88131498
2015-04-22,88131498
2015-04-23,88825748
2015-04-24,88825748
2015-04-25,88587531
2015-04-26,86797633
2015-04-27,83764359
2015-04-28,82285256
2015-04-29,82285256
2015-04-30,84192496
2015-05-01,85770995
2015-05-02,87736288
2015-05-03,87736288
2015-05-04,89232568
2015-05-05,89232568
2015-05-06,89997612
2015-05-07,89997612
2015-05-08,89203023
2015-05-09,89032544
2015-05-10,89032544
2015-05-11,88467270
2015-05-12,88795825
2015-05-13,88795825
2015-05-14,89084448
2015-05-15,89084448
2015-05-16,89359528
2015-05-17,89485343
2015-05-18,89587878
2015-05-19,89587878
2015-05-20,89755607
2015-05-21,89755607
2015-05-22,90800134
2015-05-23,90800134
2015-05-24,90738613
2015-05-25,90351669
2015-05-26,90351669
2015-05-27,89827502
2015-05-28,89827502
2015-05-29,89384996
2015-05-30,90660801
2015-05-31,91311268
2015-06-01,90925103
2015-06-02,90925103
2015-06-03,93662448
2015-06-04,93662448
2015-06-05,92660193
2015-06-06,92251321
2015-06-07,92857605
2015-06-08,92857605
2015-06-09,92271449
2015-06-10,92357148
2015-06-11,92357148
2015-06-12,92877629
2015-06-13,92528012
2015-06-14,90928601
2015-06-15,87617294
2015-06-16,83877451
2015-06-17,81426252
2015-06-18,82934707
2015-06-19,78889991
2015-06-20,76237237
2015-06-21,76625865
2015-06-22,78385538
2015-06-23,81475519
2015-06-24,82207117
2015-06-25,82207117
2015-06-26,82761636
2015-06-27,82761636
2015-06-28,83357963
2015-06-29,84006755
2015-06-30,85549357
2015-07-01,86233761
2015-07-02,86233761
2015-07-03,86074007
2015-07-04,85933292
2015-07-05,86155718
2015-07-06,86155718
2015-07-07,86235290
2015-07-08,86283725
2015-07-09,86283725
2015-07-10,87375443
2015-07-11,87901925
2015-07-12,88104392
2015-07-13,88416343
2015-07-14,89158921
2015-07-15,88538772
2015-07-16,87414327
2015-07-17,84391445
2015-07-18,82229857
2015-07-19,81666156
2015-07-20,82195478
2015-07-21,82165781
2015-07-22,83007051
2015-07-23,83007051
2015-07-24,83907091
2015-07-25,83744776
2015-07-26,83454116
2015-07-27,83280545
2015-07-28,82756647
2015-07-29,82582683
2015-07-30,82236933
2015-07-31,81726681
2015-08-01,81527388
2015-08-02,81479148
2015-08-03,81108180
2015-08-04,80955347
2015-08-05,80917377
2015-08-06,80565774
2015-08-07,79982548
2015-08-08,78302518
2015-08-09,76765825
2015-08-10,76734411
2015-08-11,76373983
2015-08-12,77141560
2015-08-13,78631758
2015-08-14,79553979
2015-08-15,79974104
2015-08-16,80746044
2015-08-17,81040006
2015-08-18,81929310
2015-08-19,82105342
2015-08-20,81762377
2015-08-21,80123857
2015-08-22,78661288
2015-08-23,78292249
2015-08-24,78930234
2015-08-25,78930234
2015-08-26,78448453
2015-08-27,76563583
2015-08-28,76627009
2015-08-29,77588526
2015-08-30,77522795
2015-08-31,77623675
2015-09-01,77673148
2015-09-02,77673148
2015-09-03,77627994
2015-09-04,77669922
2015-09-05,77471051
2015-09-06,77570074
2015-09-07,76983971
2015-09-08,77230942
2015-09-09,77615077
2015-09-10,77581955
2015-09-11,77320526
2015-09-12,78693229
2015-09-13,78360875
2015-09-14,78603173
2015-09-15,77961312
2015-09-16,77502966
2015-09-17,76366349
2015-09-18,76488655
2015-09-19,76891113
2015-09-20,77378791
2015-09-21,76895612
2015-09-22,76525420
2015-09-23,76286787
2015-09-24,76597574
2015-09-25,75977175
2015-09-27,76526809
2015-09-28,77129475
2015-09-29,79501067
2015-09-30,80514088
2015-10-05,78973050
2015-10-06,78683023
2015-10-07,78689039
2015-10-08,79345236
2015-10-09,80698236
2015-10-10,80698236
2015-10-11,81012500
2015-10-12,80992869
