date_obj,Rune%20kiteshield price
2016-02-14,35360
2016-02-15,35243
2016-02-16,34962
2016-02-17,35305
2016-02-18,35294
2016-02-19,35510
2016-02-20,35638
2016-02-21,35580
2016-02-22,35908
2016-02-23,36090
2016-02-24,36139
2016-02-25,36161
2016-02-26,36450
2016-02-27,36467
2016-02-28,36545
2016-02-29,36036
2016-03-01,35836
2016-03-02,35176
2016-03-03,35374
2016-03-04,35703
2016-03-05,35742
2016-03-06,35647
2016-03-07,35682
2016-03-08,35342
2016-03-09,35497
2016-03-10,35757
2016-03-11,35861
2016-03-12,36188
2016-03-13,36224
2016-03-14,36448
2016-03-15,36579
2016-03-16,36270
2016-03-17,36020
2016-03-18,35517
2016-03-19,35739
2016-03-20,36126
2016-03-21,36277
2016-03-22,36241
2016-03-23,36368
2016-03-24,36253
2016-03-25,36090
2016-03-26,35790
2016-03-27,35701
2016-03-28,35652
2016-03-29,35785
2016-03-30,35527
2016-03-31,35895
2016-04-01,35629
2016-04-02,35748
2016-04-03,36021
2016-04-04,35867
2016-04-05,35970
2016-04-06,35883
2016-04-07,36139
2016-04-08,36070
2016-04-09,36173
2016-04-10,36323
2016-04-11,36169
2016-04-12,36120
2016-04-13,35999
2016-04-14,36237
2016-04-15,36303
2016-04-16,36259
2016-04-17,35688
2016-04-18,36009
2016-04-19,36175
2016-04-20,36336
2016-04-21,36310
2016-04-22,35947
2016-04-23,35508
2016-04-24,35487
2016-04-25,35635
2016-04-26,35710
2016-04-27,36070
2016-04-28,36182
2016-04-29,36048
2016-04-30,36037
2016-05-01,35709
2016-05-02,35577
2016-05-03,35468
2016-05-04,35190
2016-05-05,35202
2016-05-06,35265
2016-05-07,35168
2016-05-08,35006
2016-05-09,35290
2016-05-10,35317
2016-05-11,35318
2016-05-12,35228
2016-05-13,35494
2016-05-14,35648
2016-05-15,35914
2016-05-16,36064
2016-05-17,36233
2016-05-18,36384
2016-05-19,36081
2016-05-22,35153
2016-05-23,35517
2016-05-24,35702
2016-05-25,35822
2016-05-26,36045
2016-05-27,36086
2016-05-28,36049
2016-05-29,36195
2016-05-30,36393
2016-05-31,36606
2016-06-01,36574
2016-06-02,36672
2016-06-03,36654
2016-06-04,36567
2016-06-05,36350
2016-06-06,36569
2016-06-07,36449
2016-06-08,36431
2016-06-09,36329
2016-06-10,36330
2016-06-11,36096
2016-06-12,35919
2016-06-13,35838
2016-06-14,36014
2016-06-15,36289
2016-06-16,36197
2016-06-17,36231
2016-06-18,35922
2016-06-19,35675
2016-06-20,35543
2016-06-21,35555
2016-06-22,35641
2016-06-23,35577
2016-06-24,35696
2016-06-25,35817
2016-06-26,35690
2016-06-27,35436
2016-06-28,35425
2016-06-29,35903
2016-06-30,35908
2016-07-01,36052
2016-07-02,35898
2016-07-03,35889
2016-07-04,35905
2016-07-05,35927
2016-07-06,35957
2016-07-07,35855
2016-07-08,35876
2016-07-09,36029
2016-07-10,35533
2016-07-11,35315
2016-07-12,34989
