date_obj,White%20magic%20staff price
2015-03-26,523
2015-03-27,523
2015-03-28,523
2015-03-29,523
2015-03-30,523
2015-03-31,523
2015-04-01,523
2015-04-02,530
2015-04-03,530
2015-04-04,530
2015-04-05,530
2015-04-06,530
2015-04-07,530
2015-04-08,530
2015-04-09,530
2015-04-10,530
2015-04-11,530
2015-04-12,530
2015-04-13,530
2015-04-14,530
2015-04-15,530
2015-04-16,551
2015-04-17,551
2015-04-18,551
2015-04-19,551
2015-04-20,551
2015-04-21,551
2015-04-22,551
2015-04-23,551
2015-04-24,551
2015-04-25,551
2015-04-26,551
2015-04-27,551
2015-04-28,551
2015-04-29,551
2015-04-30,551
2015-05-01,575
2015-05-02,575
2015-05-03,575
2015-05-04,575
2015-05-05,575
2015-05-06,575
2015-05-07,575
2015-05-08,575
2015-05-09,575
2015-05-10,575
2015-05-11,575
2015-05-12,575
2015-05-13,575
2015-05-14,575
2015-05-15,575
2015-05-16,575
2015-05-17,584
2015-05-18,584
2015-05-19,584
2015-05-20,584
2015-05-21,584
2015-05-22,584
2015-05-23,584
2015-05-24,584
2015-05-25,584
2015-05-26,584
2015-05-27,584
2015-05-28,584
2015-05-29,579
2015-05-30,579
2015-05-31,579
2015-06-01,579
2015-06-02,579
2015-06-03,579
2015-06-04,579
2015-06-05,579
2015-06-06,579
2015-06-07,579
2015-06-08,579
2015-06-09,586
2015-06-10,586
2015-06-11,586
2015-06-12,586
2015-06-13,586
2015-06-14,586
2015-06-15,586
2015-06-16,586
2015-06-17,586
2015-06-18,586
2015-06-19,586
2015-06-20,586
2015-06-21,588
2015-06-22,588
2015-06-23,588
2015-06-24,588
2015-06-25,588
2015-06-26,588
2015-06-27,588
2015-06-28,588
2015-06-29,588
2015-06-30,588
2015-07-01,588
2015-07-02,588
2015-07-03,606
2015-07-04,606
2015-07-05,606
2015-07-06,606
2015-07-07,606
2015-07-08,606
2015-07-09,606
2015-07-10,606
2015-07-11,606
2015-07-12,606
2015-07-13,606
2015-07-14,606
2015-07-15,629
2015-07-16,629
2015-07-17,629
2015-07-18,629
2015-07-19,629
2015-07-20,629
2015-07-21,629
2015-07-22,629
2015-07-23,629
2015-07-24,629
2015-07-25,629
2015-07-26,629
2015-07-27,638
2015-07-28,638
2015-07-29,638
2015-07-30,638
2015-07-31,638
2015-08-01,638
