date_obj,Jar%20of%20eyes price
2020-05-03,532717
2020-05-04,532717
2020-05-05,508040
2020-05-06,508040
2020-05-07,508040
2020-05-08,508040
2020-05-09,508040
2020-05-10,486048
2020-05-11,486048
2020-05-12,486048
2020-05-13,486048
