date_obj,3rd%20age%20wand price
2015-03-26,76332910
2015-03-27,76332910
2015-03-28,79273901
2015-03-29,79273901
2015-03-30,79273901
2015-03-31,79273901
2015-04-01,79273901
2015-04-02,79273901
2015-04-03,79273901
2015-04-04,79273901
2015-04-05,79273901
2015-04-06,79273901
2015-04-07,79273901
2015-04-08,79273901
2015-04-09,79273901
2015-04-10,79273901
2015-04-11,79273901
2015-04-12,79273901
2015-04-13,79273901
2015-04-14,82242748
2015-04-15,82242748
2015-04-16,82242748
2015-04-17,82242748
2015-04-18,82242748
2015-04-19,82242748
2015-04-20,82242748
2015-04-21,82242748
2015-04-22,82242748
2015-04-23,82242748
2015-04-24,82242748
2015-04-25,82242748
2015-04-26,82242748
2015-04-27,82242748
2015-04-28,82242748
2015-04-29,82242748
2015-04-30,85550210
2015-05-01,85550210
2015-05-02,85550210
2015-05-03,85550210
2015-05-04,85550210
2015-05-05,85550210
2015-05-06,85550210
2015-05-07,85550210
2015-05-08,85550210
2015-05-09,85550210
2015-05-10,85550210
2015-05-11,85550210
2015-05-12,85550210
2015-05-13,85550210
2015-05-14,85550210
2015-05-15,85550210
2015-05-16,85550210
2015-05-17,85550210
2015-05-18,85550210
2015-05-19,89291837
2015-05-20,89291837
2015-05-21,89291837
2015-05-22,89291837
2015-05-23,198000000
2015-05-24,198000000
2015-05-25,198000000
2015-05-26,198000000
2015-05-27,198000000
2015-05-28,198000000
2015-05-29,198000000
2015-05-30,198000000
2015-05-31,198000000
2015-06-01,198000000
2015-06-02,198000000
2015-06-03,198000000
2015-06-04,198000000
2015-06-05,198000000
2015-06-06,198000000
2015-06-07,198000000
2015-06-08,198000000
2015-06-09,198000000
2015-06-10,198000000
2015-06-11,198000000
2015-06-12,198000000
2015-06-13,198000000
2015-06-14,198000000
2015-06-15,198000000
2015-06-16,198000000
2015-06-17,198000000
2015-06-18,198000000
2015-06-19,198000000
2015-06-20,198000000
2015-06-21,198000000
2015-06-22,198000000
2015-06-23,198000000
2015-06-24,199000645
2015-06-25,199000645
2015-06-26,199000645
2015-06-27,199000645
2015-06-28,199000645
2015-06-29,199000645
2015-06-30,199000645
2015-07-01,199000645
2015-07-02,199000645
2015-07-03,199000645
2015-07-04,199000645
2015-07-05,199000645
2015-07-06,199000645
2015-07-07,199000645
2015-07-08,199000645
2015-07-09,199000645
2015-07-10,199000645
2015-07-11,199000645
2015-07-12,199000645
2015-07-13,199000645
2015-07-14,199000645
2015-07-15,199000645
2015-07-16,199000645
2015-07-17,199000645
2015-07-18,199000645
2015-07-19,199000645
2015-07-20,207297092
2015-07-21,207297092
2015-07-22,207297092
2015-07-23,207297092
2015-07-24,207297092
2015-07-25,207297092
2015-07-26,207297092
2015-07-27,207297092
2015-07-28,207297092
2015-07-29,207297092
2015-07-30,207297092
2015-07-31,207297092
2015-08-01,207297092
2015-08-02,207297092
2015-08-03,207297092
2015-08-04,207297092
2015-08-05,207297092
2015-08-06,207297092
2015-08-07,207297092
2015-08-08,207297092
2015-08-09,207297092
2015-08-10,216798361
