date_obj,Grey%20hat price
2015-03-04,2000
2015-03-05,2000
2015-03-06,2000
2015-03-07,2029
2015-03-08,2029
2015-03-09,2029
2015-03-10,2029
2015-03-11,2029
2015-03-12,2029
2015-03-13,2029
2015-03-14,2029
2015-03-15,2029
2015-03-16,2029
2015-03-17,2029
2015-03-18,2029
2015-03-19,2018
2015-03-20,2018
2015-03-21,2018
2015-03-22,2018
2015-03-23,2018
2015-03-24,2018
2015-03-25,2018
2015-03-26,2018
2015-03-27,2018
2015-03-28,2018
2015-03-29,2018
2015-03-30,2001
2015-03-31,2001
2015-04-01,2001
2015-04-02,2001
2015-04-03,2001
2015-04-04,2001
2015-04-05,2001
2015-04-06,2001
2015-04-07,2001
2015-04-08,2001
2015-04-09,2001
2015-04-10,1989
2015-04-11,1989
2015-04-12,1989
2015-04-13,1989
2015-04-14,1989
2015-04-15,1989
2015-04-16,1989
2015-04-17,1989
2015-04-18,1989
2015-04-19,1989
2015-04-20,1989
2015-04-21,1961
2015-04-22,1961
2015-04-23,1961
2015-04-24,1961
2015-04-25,1961
2015-04-26,1961
2015-04-27,1961
2015-04-28,1961
2015-04-29,1961
2015-04-30,1961
2015-05-01,1961
2015-05-02,1910
2015-05-03,1910
2015-05-04,1910
2015-05-05,1910
2015-05-06,1910
2015-05-07,1910
2015-05-08,1910
2015-05-09,1910
2015-05-10,1910
2015-05-11,1910
2015-05-12,1910
2015-05-13,1910
2015-05-14,1855
2015-05-15,1855
2015-05-16,1855
2015-05-17,1855
2015-05-18,1855
2015-05-19,1855
2015-05-20,1855
2015-05-21,1855
2015-05-22,1855
2015-05-23,1855
2015-05-24,1855
2015-05-25,1855
2015-05-26,1850
2015-05-27,1850
2015-05-28,1850
2015-05-29,1850
2015-05-30,1850
2015-05-31,1850
2015-06-01,1850
2015-06-02,1850
2015-06-03,1792
2015-06-04,1792
2015-06-05,1792
2015-06-06,1792
2015-06-07,1792
2015-06-08,1792
2015-06-09,1792
2015-06-10,1792
2015-06-11,1792
2015-06-12,1792
2015-06-13,1745
2015-06-14,1745
2015-06-15,1745
2015-06-16,1745
2015-06-17,1745
2015-06-18,1745
2015-06-19,1745
2015-06-20,1745
2015-06-21,1794
2015-06-22,1794
2015-06-23,1794
2015-06-24,1794
2015-06-25,1794
2015-06-26,1794
2015-06-27,1794
2015-06-28,1794
2015-06-29,1770
2015-06-30,1770
2015-07-01,1770
2015-07-02,1770
2015-07-03,1770
2015-07-04,1770
2015-07-05,1770
2015-07-06,1770
2015-07-07,1770
2015-07-08,1746
2015-07-09,1746
2015-07-10,1746
2015-07-11,1746
2015-07-12,1746
2015-07-13,1746
2015-07-14,1746
2015-07-15,1746
2015-07-16,1746
2015-07-17,1705
2015-07-18,1705
2015-07-19,1705
2015-07-20,1705
2015-07-21,1705
2015-07-22,1705
2015-07-23,1705
2015-07-24,1705
2015-07-25,1639
2015-07-26,1639
2015-07-27,1639
2015-07-28,1639
2015-07-29,1639
2015-07-30,1639
2015-07-31,1639
2015-08-01,1558
2015-08-02,1558
2015-08-03,1558
2015-08-04,1558
2015-08-05,1558
2015-08-06,1558
2015-08-07,1558
2015-08-08,1485
2015-08-09,1485
2015-08-10,1485
2015-08-11,1485
2015-08-12,1485
2015-08-13,1485
2015-08-14,1485
2015-08-15,1424
2015-08-16,1424
2015-08-17,1424
2015-08-18,1424
2015-08-19,1424
2015-08-20,1424
2015-08-21,1353
2015-08-22,1353
2015-08-23,1353
2015-08-24,1353
2015-08-25,1353
2015-08-26,1353
2015-08-27,1353
2015-08-28,1288
2015-08-29,1288
2015-08-30,1288
2015-08-31,1288
2015-09-02,1288
2015-09-07,1226
2015-09-08,1226
2015-09-10,1226
2015-09-14,1195
2015-09-16,1195
2015-09-22,1227
2015-09-23,1227
2015-09-24,1227
2015-09-25,1227
2015-09-27,1232
2015-09-28,1232
2015-09-29,1232
2015-09-30,1232
2015-10-05,1232
2015-10-06,1253
2015-10-07,1253
2015-10-08,1253
2015-10-09,1253
2015-10-10,1253
2015-10-11,1253
2015-10-12,1253
2015-10-13,1253
2015-10-14,1246
2015-10-15,1246
2015-10-16,1246
2015-10-17,1246
2015-10-18,1246
2015-10-19,1246
2015-10-20,1246
2015-10-22,1184
2015-10-23,1184
2015-10-24,1184
2015-10-25,1184
2015-10-26,1184
2015-10-27,1184
2015-10-29,1162
2015-10-30,1162
2015-10-31,1162
2015-11-01,1162
2015-11-02,1162
2015-11-03,1162
2015-11-04,1162
2015-11-05,1162
2015-11-06,1162
2015-11-07,1162
2015-11-08,1157
2015-11-09,1157
2015-11-10,1157
2015-11-11,1157
2015-11-12,1157
2015-11-13,1157
2015-11-14,1157
2015-11-15,1157
2015-11-16,1157
2015-11-17,1204
2015-11-18,1204
2015-11-19,1204
2015-11-20,1204
2015-11-21,1204
2015-11-22,1204
2015-11-23,1204
2015-11-24,1223
2015-11-25,1223
2015-11-26,1223
2015-11-27,1223
2015-11-28,1223
2015-11-29,1223
2015-11-30,1223
2015-12-01,1221
2015-12-02,1221
2015-12-03,1221
2015-12-04,1221
2015-12-05,1221
2015-12-06,1221
2015-12-07,1221
2015-12-08,1221
2015-12-09,1221
2015-12-10,1221
2015-12-11,1221
2015-12-12,1221
2015-12-13,1221
2015-12-14,1221
2015-12-15,1221
2015-12-16,1221
2015-12-17,1221
2015-12-18,1224
2015-12-19,1224
2015-12-20,1224
2015-12-21,1224
2015-12-22,1224
2015-12-23,1224
2015-12-24,1224
2015-12-25,1224
2015-12-26,1224
2015-12-27,1209
2015-12-28,1209
2015-12-29,1209
2015-12-30,1209
2015-12-31,1209
2016-01-01,1209
2016-01-02,1209
2016-01-03,1209
2016-01-04,1201
2016-01-05,1201
2016-01-06,1201
2016-01-07,1201
2016-01-08,1201
2016-01-09,1201
2016-01-10,1201
2016-01-11,1204
2016-01-12,1204
2016-01-13,1204
2016-01-14,1204
2016-01-15,1204
2016-01-16,1204
2016-01-17,1231
2016-01-18,1231
2016-01-19,1231
2016-01-20,1231
2016-01-21,1231
2016-01-22,1231
2016-01-23,1231
2016-01-24,1254
2016-01-25,1254
2016-01-26,1254
2016-01-27,1254
2016-01-28,1254
2016-01-29,1254
2016-01-30,1254
2016-01-31,1273
2016-02-01,1273
2016-02-02,1273
2016-02-03,1273
2016-02-04,1273
2016-02-05,1273
2016-02-06,1273
2016-02-07,1273
2016-02-08,1312
2016-02-09,1312
2016-02-10,1312
2016-02-11,1312
2016-02-12,1312
2016-02-13,1312
2016-02-14,1312
2016-02-15,1312
2016-02-16,1333
2016-02-17,1333
2016-02-18,1333
2016-02-19,1333
2016-02-20,1333
2016-02-21,1333
2016-02-22,1333
2016-02-23,1333
2016-02-24,1361
2016-02-25,1361
2016-02-26,1361
2016-02-27,1361
2016-02-28,1361
2016-02-29,1361
2016-03-01,1361
2016-03-02,1394
2016-03-03,1394
2016-03-04,1394
2016-03-05,1394
2016-03-06,1394
2016-03-07,1394
2016-03-08,1394
2016-03-09,1387
2016-03-10,1387
2016-03-11,1387
2016-03-12,1387
2016-03-13,1387
2016-03-14,1387
2016-03-15,1387
2016-03-16,1384
2016-03-17,1384
2016-03-18,1384
2016-03-19,1384
2016-03-20,1384
2016-03-21,1384
2016-03-22,1335
2016-03-23,1335
2016-03-24,1335
2016-03-25,1335
2016-03-26,1335
2016-03-27,1335
2016-03-28,1284
2016-03-29,1284
2016-03-30,1284
2016-03-31,1284
2016-04-01,1284
2016-04-02,1284
2016-04-03,1229
2016-04-04,1229
2016-04-05,1229
2016-04-06,1229
2016-04-07,1229
2016-04-08,1229
2016-04-09,1229
2016-04-10,1175
2016-04-11,1175
2016-04-12,1175
2016-04-13,1175
2016-04-14,1175
2016-04-15,1175
2016-04-16,1121
2016-04-17,1121
2016-04-18,1121
2016-04-19,1121
2016-04-20,1121
2016-04-21,1135
2016-04-22,1135
2016-04-23,1135
2016-04-24,1135
2016-04-25,1135
2016-04-26,1135
