date_obj,Magic%20comp%20bow price
2015-03-26,3684
2015-03-27,3515
2015-03-28,3339
2015-03-29,3172
2015-03-30,3013
2015-03-31,2862
2015-04-01,2726
2015-04-02,2589
2015-04-03,2459
2015-04-04,2336
2015-04-05,2219
2015-04-06,2108
2015-04-07,2002
2015-04-08,1901
2015-04-09,1805
2015-04-10,1716
2015-04-11,1633
2015-04-12,1568
2015-04-13,1511
2015-04-14,1460
2015-04-15,1444
2015-04-16,1435
2015-04-17,1409
2015-04-18,1390
2015-04-19,1352
2015-04-20,1307
2015-04-21,1295
2015-04-22,1261
2015-04-23,1258
2015-04-24,1247
2015-04-25,1238
2015-04-26,1222
2015-04-27,1230
2015-04-28,1238
2015-04-29,1238
2015-04-30,1253
2015-05-01,1240
2015-05-02,1267
2015-05-03,1293
2015-05-04,1294
2015-05-05,1308
2015-05-06,1329
2015-05-07,1327
2015-05-08,1342
2015-05-09,1344
2015-05-10,1360
2015-05-11,1363
2015-05-12,1379
2015-05-13,1365
2015-05-14,1365
2015-05-15,1349
2015-05-16,1336
2015-05-17,1323
2015-05-18,1333
2015-05-19,1356
2015-05-20,1356
2015-05-21,1371
2015-05-22,1364
2015-05-23,1342
2015-05-24,1308
2015-05-25,1287
2015-05-26,1274
2015-05-27,1297
2015-05-28,1319
2015-05-29,1345
2015-05-30,1354
2015-05-31,1372
2015-06-01,1392
2015-06-02,1392
2015-06-03,1418
2015-06-04,1461
2015-06-05,1489
2015-06-06,1522
2015-06-07,1490
2015-06-08,1459
2015-06-09,1422
2015-06-10,1447
2015-06-11,1447
2015-06-12,1463
2015-06-13,1409
2015-06-14,1345
2015-06-15,1311
2015-06-16,1312
2015-06-17,1286
2015-06-18,1279
2015-06-19,1282
2015-06-20,1275
2015-06-21,1275
2015-06-22,1289
2015-06-23,1263
2015-06-24,1281
2015-06-25,1281
2015-06-26,1278
2015-06-27,1278
2015-06-28,1262
2015-06-29,1260
2015-06-30,1267
2015-07-01,1265
2015-07-02,1265
2015-07-03,1272
2015-07-04,1305
2015-07-05,1308
2015-07-06,1293
2015-07-07,1272
2015-07-08,1276
2015-07-09,1276
2015-07-10,1268
2015-07-11,1268
2015-07-12,1238
2015-07-13,1250
2015-07-14,1257
2015-07-15,1242
2015-07-16,1232
2015-07-17,1237
2015-07-18,1237
2015-07-19,1261
2015-07-20,1292
2015-07-21,1283
2015-07-22,1281
2015-07-23,1281
2015-07-24,1277
2015-07-25,1293
2015-07-26,1317
2015-07-27,1332
2015-07-28,1329
2015-07-29,1309
2015-07-30,1294
2015-07-31,1277
2015-08-01,1273
2015-08-02,1256
2015-08-03,1257
2015-08-04,1241
2015-08-05,1245
2015-08-06,1258
2015-08-07,1263
2015-08-08,1271
2015-08-09,1280
2015-08-10,1288
2015-08-11,1296
2015-08-12,1296
2015-08-13,1321
2015-08-14,1318
2015-08-15,1318
2015-08-16,1304
2015-08-17,1302
2015-08-18,1275
2015-08-19,1262
2015-08-20,1273
2015-08-21,1287
2015-08-22,1309
2015-08-23,1359
2015-08-24,1426
2015-08-25,1426
2015-08-26,1492
2015-08-27,1505
2015-08-28,1497
2015-08-29,1499
2015-08-30,1499
2015-08-31,1506
2015-09-01,1497
2015-09-02,1497
2015-09-03,1520
2015-09-04,1505
2015-09-05,1505
2015-09-06,1508
2015-09-07,1535
2015-09-08,1581
2015-09-09,1631
2015-09-10,1707
2015-09-11,1714
2015-09-12,1737
2015-09-13,1752
2015-09-14,1703
2015-09-15,1706
2015-09-16,1706
2015-09-17,1732
2015-09-18,1769
2015-09-19,1744
2015-09-20,1657
2015-09-21,1619
2015-09-22,1644
2015-09-23,1648
2015-09-24,1648
2015-09-25,1664
2015-09-27,1634
2015-09-28,1619
2015-09-29,1607
2015-09-30,1620
2015-10-05,1551
2015-10-06,1532
2015-10-07,1541
2015-10-08,1527
2015-10-09,1488
2015-10-10,1488
2015-10-11,1472
2015-10-12,1431
2015-10-13,1431
2015-10-14,1378
2015-10-15,1328
2015-10-16,1297
2015-10-17,1297
2015-10-18,1316
2015-10-19,1355
2015-10-20,1383
2015-10-22,1436
2015-10-23,1391
2015-10-24,1400
2015-10-25,1406
2015-10-26,1445
2015-10-27,1445
2015-10-29,1440
2015-10-30,1491
2015-10-31,1528
2015-11-01,1528
2015-11-02,1539
2015-11-03,1539
2015-11-04,1495
2015-11-05,1512
2015-11-06,1512
2015-11-07,1509
2015-11-08,1509
2015-11-09,1505
2015-11-10,1471
2015-11-11,1479
2015-11-12,1512
2015-11-13,1512
2015-11-14,1566
2015-11-15,1585
2015-11-16,1559
2015-11-17,1553
2015-11-18,1574
2015-11-19,1515
2015-11-20,1451
2015-11-21,1451
2015-11-22,1408
2015-11-23,1408
2015-11-24,1424
2015-11-25,1452
2015-11-26,1452
2015-11-27,1487
2015-11-28,1529
2015-11-29,1579
2015-11-30,1556
2015-12-01,1543
2015-12-02,1526
2015-12-03,1542
2015-12-04,1542
2015-12-05,1537
2015-12-06,1485
2015-12-07,1445
2015-12-08,1423
2015-12-09,1402
2015-12-10,1425
2015-12-11,1421
2015-12-12,1407
2015-12-13,1372
2015-12-14,1372
2015-12-15,1322
2015-12-16,1329
2015-12-17,1316
2015-12-18,1312
2015-12-19,1325
2015-12-20,1322
2015-12-21,1298
2015-12-22,1294
2015-12-23,1269
2015-12-24,1298
2015-12-25,1301
2015-12-26,1286
2015-12-27,1292
2015-12-28,1279
2015-12-29,1292
2015-12-30,1295
2015-12-31,1301
2016-01-01,1293
2016-01-02,1280
2016-01-03,1272
2016-01-04,1276
2016-01-05,1258
2016-01-06,1286
2016-01-07,1261
2016-01-08,1256
2016-01-09,1245
2016-01-10,1277
2016-01-11,1271
2016-01-12,1282
2016-01-13,1288
2016-01-14,1280
2016-01-15,1287
2016-01-16,1271
2016-01-17,1288
2016-01-18,1283
2016-01-19,1276
2016-01-20,1300
2016-01-21,1305
2016-01-22,1326
2016-01-23,1335
2016-01-24,1315
2016-01-25,1322
2016-01-26,1312
2016-01-27,1300
2016-01-28,1300
2016-01-29,1313
2016-01-30,1305
2016-01-31,1338
2016-02-01,1365
2016-02-02,1351
2016-02-03,1364
2016-02-04,1387
2016-02-05,1405
2016-02-06,1377
2016-02-07,1337
2016-02-08,1285
2016-02-09,1278
2016-02-10,1307
2016-02-11,1335
2016-02-12,1341
2016-02-13,1337
2016-02-14,1313
2016-02-15,1291
2016-02-16,1281
2016-02-17,1302
2016-02-18,1328
2016-02-19,1300
2016-02-20,1302
2016-02-21,1300
2016-02-22,1261
2016-02-23,1268
2016-02-24,1275
2016-02-25,1283
2016-02-26,1283
2016-02-27,1295
2016-02-28,1329
2016-02-29,1352
2016-03-01,1349
2016-03-02,1352
2016-03-03,1346
2016-03-04,1326
2016-03-05,1308
2016-03-06,1301
2016-03-07,1329
2016-03-08,1345
2016-03-09,1342
2016-03-10,1327
2016-03-11,1339
2016-03-12,1349
2016-03-13,1337
2016-03-14,1358
2016-03-15,1375
2016-03-16,1399
2016-03-17,1420
2016-03-18,1430
2016-03-19,1421
2016-03-20,1392
2016-03-21,1374
2016-03-22,1411
2016-03-23,1430
2016-03-24,1443
2016-03-25,1458
2016-03-26,1440
2016-03-27,1430
2016-03-28,1445
2016-03-29,1426
2016-03-30,1426
2016-03-31,1422
2016-04-01,1393
2016-04-02,1382
2016-04-03,1389
2016-04-04,1395
2016-04-05,1379
2016-04-06,1401
2016-04-07,1418
2016-04-08,1439
2016-04-09,1413
2016-04-10,1394
2016-04-11,1394
2016-04-12,1380
2016-04-13,1378
2016-04-14,1383
2016-04-15,1395
2016-04-16,1405
2016-04-17,1404
2016-04-18,1432
2016-04-19,1415
2016-04-20,1395
2016-04-21,1422
2016-04-22,1433
2016-04-23,1435
2016-04-24,1412
2016-04-25,1405
2016-04-26,1450
2016-04-27,1484
2016-04-28,1442
2016-04-29,1410
2016-04-30,1396
2016-05-01,1393
2016-05-02,1363
2016-05-03,1355
2016-05-04,1360
2016-05-05,1376
2016-05-06,1376
2016-05-07,1362
2016-05-08,1338
2016-05-09,1374
2016-05-10,1388
2016-05-11,1396
2016-05-12,1430
2016-05-13,1436
2016-05-14,1424
2016-05-15,1417
2016-05-16,1392
2016-05-17,1389
2016-05-18,1421
2016-05-19,1411
2016-05-22,1375
2016-05-23,1354
