date_obj,Black%20d'hide%20shield price
2018-01-31,14700
2018-02-01,15435
2018-02-02,16207
2018-02-03,17018
2018-02-04,17859
2018-02-05,18752
2018-02-06,19524
2018-02-07,19876
2018-02-08,19616
2018-02-09,19592
2018-02-10,20293
2018-02-11,20490
2018-02-12,21354
2018-02-13,20961
2018-02-14,20200
2018-02-15,19190
2018-02-16,18480
2018-02-17,18110
2018-02-18,17782
2018-02-19,17548
2018-02-20,16978
2018-02-21,17077
2018-02-22,17287
2018-02-23,17663
2018-02-24,17734
2018-02-25,17930
2018-02-26,17786
2018-02-27,17950
2018-02-28,18121
2018-03-01,18113
2018-03-02,18387
2018-03-03,18473
2018-03-04,18644
2018-03-05,19151
2018-03-06,19993
2018-03-07,20232
2018-03-08,19398
2018-03-09,19109
2018-03-10,18890
2018-03-11,18646
2018-03-12,18562
2018-03-13,18466
2018-03-14,18159
2018-03-15,17879
2018-03-16,18383
2018-03-17,19069
2018-03-18,20004
2018-03-20,21075
2018-03-21,20660
2018-03-22,20314
2018-03-23,20201
2018-03-24,20184
2018-03-25,20110
2018-03-26,19888
2018-03-27,19496
2018-03-28,19344
2018-03-29,18424
2018-03-30,18108
2018-03-31,17779
2018-04-01,17507
2018-04-02,17176
2018-04-03,16969
2018-04-04,17167
2018-04-05,17306
2018-04-06,17109
2018-04-07,17531
2018-04-08,17469
2018-04-09,17372
2018-04-10,17559
2018-04-11,17330
2018-04-12,17416
2018-04-13,17114
2018-04-14,17348
2018-04-15,17542
2018-04-16,17503
2018-04-17,17577
2018-04-18,18219
2018-04-19,18815
2018-04-20,19452
2018-04-21,19725
2018-04-22,20075
2018-04-23,20109
2018-04-24,19877
2018-04-25,20101
2018-04-26,20039
2018-04-27,19834
2018-04-28,20075
2018-04-29,20317
2018-04-30,20320
2018-05-01,20268
2018-05-02,20226
2018-05-03,20287
2018-05-04,20551
2018-05-05,20751
2018-05-06,20027
2018-05-07,19653
2018-05-08,19937
2018-05-09,19900
2018-05-10,19735
2018-05-11,19049
2018-05-12,18601
2018-05-13,18181
2018-05-14,17891
2018-05-15,17645
2018-05-16,17046
2018-05-17,17287
2018-05-18,17605
2018-05-19,18090
2018-05-20,18713
2018-05-21,19261
2018-05-22,19677
2018-05-23,19740
2018-05-24,19291
2018-05-25,19500
2018-05-26,19264
2018-05-27,20159
2018-05-28,21108
2018-05-29,21242
2018-05-30,20382
2018-05-31,20202
2018-06-01,19729
2018-06-02,19338
2018-06-03,19662
2018-06-04,20404
2018-06-05,21007
2018-06-06,21226
2018-06-07,20771
2018-06-08,20543
2018-06-09,19608
2018-06-10,18837
2018-06-11,18109
2018-06-12,17693
