date_obj,Cadantine%20seed price
2015-03-05,1472
2015-03-06,1398
2015-03-07,1331
2015-03-08,1267
2015-03-09,1267
2015-03-10,1203
2015-03-11,1203
2015-03-12,1145
2015-03-13,1090
2015-03-14,1038
2015-03-15,990
2015-03-16,943
2015-03-17,897
2015-03-18,897
2015-03-19,856
2015-03-20,817
2015-03-21,817
2015-03-22,776
2015-03-23,776
2015-03-24,739
2015-03-25,739
2015-03-26,704
2015-03-27,704
2015-03-28,669
2015-03-29,637
2015-03-30,606
2015-03-31,606
2015-04-01,577
2015-04-02,577
2015-04-03,550
2015-04-04,523
2015-04-05,523
2015-04-06,498
2015-04-07,475
2015-04-08,475
2015-04-09,453
2015-04-10,433
2015-04-11,433
2015-04-12,412
2015-04-13,394
2015-04-14,394
2015-04-15,375
2015-04-16,375
2015-04-17,358
2015-04-18,358
2015-04-19,342
2015-04-20,342
2015-04-21,325
2015-04-22,325
2015-04-23,309
2015-04-24,309
2015-04-25,298
2015-04-26,298
2015-04-27,290
2015-04-28,290
2015-04-29,282
2015-04-30,282
2015-05-01,280
2015-05-02,280
2015-05-03,280
2015-05-04,269
2015-05-05,269
2015-05-06,260
2015-05-07,260
2015-05-08,252
2015-05-09,252
2015-05-10,241
2015-05-11,241
2015-05-12,230
2015-05-13,230
2015-05-14,221
2015-05-15,221
2015-05-16,221
2015-05-17,221
2015-05-18,221
2015-05-19,232
2015-05-20,232
2015-05-21,232
2015-05-22,244
2015-05-23,244
2015-05-24,244
2015-05-25,250
2015-05-26,250
2015-05-27,250
2015-05-28,254
2015-05-29,254
2015-05-30,244
2015-05-31,244
2015-06-01,257
2015-06-02,257
2015-06-03,265
2015-06-04,265
2015-06-05,267
2015-06-06,267
2015-06-07,270
2015-06-08,270
2015-06-09,267
2015-06-10,267
2015-06-11,266
2015-06-12,266
2015-06-13,280
2015-06-14,280
2015-06-15,280
2015-06-16,280
2015-06-17,278
2015-06-18,278
2015-06-19,285
2015-06-20,285
2015-06-21,283
2015-06-22,283
2015-06-23,295
2015-06-24,302
2015-06-25,302
2015-06-26,306
2015-06-27,306
2015-06-28,317
2015-06-29,317
2015-06-30,322
2015-07-01,322
2015-07-02,309
2015-07-03,322
2015-07-04,322
2015-07-05,332
2015-07-06,332
2015-07-07,320
2015-07-08,327
2015-07-09,327
2015-07-10,338
2015-07-11,338
2015-07-12,351
2015-07-13,351
2015-07-14,357
2015-07-15,357
2015-07-16,373
2015-07-17,373
2015-07-18,383
2015-07-19,383
2015-07-20,376
2015-07-21,376
2015-07-22,368
2015-07-23,368
