date_obj,Zamorak%20page%202 price
2015-03-26,957463
2015-03-27,957463
2015-03-28,921856
2015-03-29,921856
2015-03-30,922770
2015-03-31,922770
2015-04-01,952381
2015-04-02,952381
2015-04-03,960637
2015-04-04,954549
2015-04-05,954549
2015-04-06,927476
2015-04-07,927476
2015-04-08,921947
2015-04-09,921947
2015-04-10,940055
2015-04-11,940055
2015-04-12,935217
2015-04-13,935217
2015-04-14,904030
2015-04-15,904030
2015-04-16,880890
2015-04-17,880890
2015-04-18,867875
2015-04-19,867875
2015-04-20,853917
2015-04-21,853917
2015-04-22,856629
2015-04-23,856629
2015-04-24,856716
2015-04-25,856716
2015-04-26,853775
2015-04-27,853775
2015-04-28,862612
2015-04-29,862612
2015-04-30,856670
2015-05-01,853476
2015-05-02,824935
2015-05-03,824935
2015-05-04,793456
2015-05-05,793456
2015-05-06,762767
2015-05-07,762767
2015-05-08,726930
2015-05-09,726930
2015-05-10,696541
2015-05-11,696541
2015-05-12,681784
2015-05-13,681784
2015-05-14,687003
2015-05-15,687003
2015-05-16,706680
2015-05-17,741707
2015-05-18,741707
2015-05-19,777773
2015-05-20,777773
2015-05-21,777773
2015-05-22,799507
2015-05-23,799507
2015-05-24,777630
2015-05-25,763661
2015-05-26,763661
2015-05-27,753565
2015-05-28,739269
2015-05-29,723694
2015-05-30,723642
2015-05-31,723642
2015-06-01,746873
2015-06-02,746873
2015-06-03,765172
2015-06-04,765172
2015-06-05,797685
2015-06-06,828620
2015-06-07,828620
2015-06-08,855426
2015-06-09,881872
2015-06-10,903811
2015-06-11,903811
2015-06-12,914239
2015-06-13,908215
2015-06-14,908215
2015-06-15,886468
2015-06-16,883709
2015-06-17,883709
2015-06-18,904633
2015-06-19,904633
2015-06-20,946356
2015-06-21,946356
2015-06-22,981962
2015-06-23,981962
2015-06-24,964862
2015-06-25,964862
2015-06-26,939932
2015-06-27,939932
2015-06-28,949529
2015-06-29,949529
2015-06-30,995154
2015-07-01,1038057
2015-07-02,1038057
2015-07-03,1089960
2015-07-04,1140258
2015-07-05,1140258
2015-07-06,1183467
2015-07-07,1220461
2015-07-08,1245580
2015-07-09,1245580
2015-07-10,1224183
2015-07-11,1224183
2015-07-12,1249406
2015-07-13,1297022
2015-07-14,1297022
2015-07-15,1334639
2015-07-16,1334639
2015-07-17,1369548
2015-07-18,1369548
2015-07-19,1405884
2015-07-20,1386270
2015-07-21,1386270
2015-07-22,1357752
2015-07-23,1357752
2015-07-24,1315223
2015-07-25,1315223
2015-07-26,1315745
2015-07-27,1315745
2015-07-28,1365840
2015-07-29,1343310
2015-07-30,1343310
2015-07-31,1346497
2015-08-01,1346497
2015-08-02,1366684
2015-08-03,1366684
2015-08-04,1373059
2015-08-05,1402921
2015-08-06,1402921
2015-08-07,1401769
2015-08-08,1354703
2015-08-09,1354703
2015-08-10,1344888
2015-08-11,1328290
2015-08-12,1328290
2015-08-13,1312656
2015-08-14,1334013
2015-08-15,1334013
2015-08-16,1373905
2015-08-17,1407046
2015-08-18,1407046
2015-08-19,1446956
2015-08-20,1446956
2015-08-21,1465965
2015-08-22,1464957
2015-08-23,1464957
2015-08-24,1454667
2015-08-25,1454667
2015-08-26,1455343
2015-08-27,1422583
2015-08-28,1422583
2015-08-29,1417131
2015-08-30,1417131
2015-08-31,1372253
2015-09-01,1372253
2015-09-02,1369903
2015-09-03,1369903
2015-09-04,1356987
2015-09-05,1356987
2015-09-06,1356620
2015-09-07,1356620
2015-09-08,1384848
2015-09-09,1384848
2015-09-10,1392715
2015-09-11,1331860
