date_obj,Monk's%20robe%20(t) price
2019-04-11,200000
2019-04-11,210000
2019-04-12,220500
2019-04-13,231525
2019-04-14,241475
2019-04-15,230000
2019-04-16,230000
2019-04-17,221779
2019-04-18,211191
2019-04-19,200631
2019-04-20,190599
2019-04-21,181069
2019-04-22,172015
2019-04-23,163414
2019-04-24,155243
2019-04-25,147480
2019-04-26,140106
2019-04-27,133100
2019-04-28,126445
2019-04-29,120122
2019-04-30,114115
2019-05-01,108409
2019-05-02,102988
2019-05-03,97838
2019-05-04,92946
2019-05-05,88298
2019-05-06,83883
2019-05-07,79688
2019-05-08,75703
2019-05-09,71917
2019-05-10,68440
2019-05-11,65463
2019-05-12,62663
2019-05-13,59918
2019-05-14,57179
2019-05-15,54320
2019-05-16,51684
2019-05-17,49615
2019-05-18,47134
2019-05-19,45548
2019-05-20,44379
2019-05-21,43665
2019-05-22,43128
2019-05-23,42152
2019-05-24,42133
2019-05-25,41611
2019-05-26,40586
2019-05-27,40666
2019-05-28,40443
2019-05-29,40235
2019-05-30,40540
2019-05-31,41071
2019-06-01,40483
2019-06-02,40914
2019-06-03,40484
2019-06-04,41775
2019-06-05,43811
2019-06-06,43426
2019-06-07,43572
2019-06-08,43390
2019-06-09,42657
2019-06-10,42657
2019-06-11,42958
2019-06-12,42601
2019-06-13,42695
2019-06-14,42491
2019-06-15,42503
2019-06-16,41765
2019-06-17,40656
2019-06-18,38816
2019-06-19,37585
2019-06-20,36247
2019-06-21,36230
2019-06-22,35567
2019-06-23,35189
2019-06-24,36373
2019-06-25,37439
2019-06-26,38098
2019-06-27,38380
2019-06-28,38366
2019-06-29,38680
2019-06-30,38950
2019-07-01,38956
2019-07-02,39036
2019-07-03,39674
2019-07-04,39757
2019-07-05,38748
2019-07-06,38359
2019-07-07,37564
2019-07-08,37816
2019-07-09,38165
2019-07-10,37466
2019-07-11,37582
2019-07-12,37670
2019-07-13,38494
2019-07-14,38804
2019-07-15,38804
2019-07-16,37933
2019-07-17,37826
2019-07-18,37744
2019-07-19,38340
2019-07-20,38733
2019-07-21,39825
2019-07-22,40248
2019-07-23,41558
2019-07-24,41921
2019-07-25,40543
2019-07-26,39943
2019-07-27,38811
2019-07-28,37775
2019-07-29,37429
2019-07-30,36119
2019-07-31,35288
2019-08-01,34956
2019-08-02,35249
2019-08-03,35680
2019-08-04,35602
2019-08-05,34847
2019-08-06,34308
2019-08-07,34692
2019-08-08,34692
2019-08-09,34401
2019-08-10,33967
2019-08-11,33065
2019-08-12,31651
2019-08-13,30097
2019-08-14,29282
2019-08-15,28832
2019-08-16,27932
2019-08-17,27932
2019-08-18,27516
2019-08-19,27020
2019-08-20,26788
2019-08-21,25839
2019-08-22,24579
2019-08-23,24046
2019-08-24,23290
2019-08-24,23290
2019-08-25,23870
2019-08-25,23870
2019-08-26,23640
2019-08-26,23640
2019-08-27,24002
2019-08-27,24002
2019-08-28,24265
2019-08-29,24141
2019-08-30,24482
2019-08-31,24406
