date_obj,Insect%20repellent price
2015-03-04,5
2015-03-05,5
2015-03-06,5
2015-03-07,5
2015-03-08,5
2015-03-09,5
2015-03-10,5
2015-03-11,5
2015-03-12,5
2015-03-13,5
2015-03-14,5
2015-03-15,5
2015-03-16,5
2015-03-17,5
2015-03-18,5
2015-03-19,5
2015-03-20,5
2015-03-21,5
2015-03-22,5
2015-03-23,5
2015-03-24,5
2015-03-25,5
2015-03-26,5
2015-03-27,5
2015-03-28,5
2015-03-29,5
2015-03-30,5
2015-03-31,5
2015-04-01,5
2015-04-02,5
2015-04-03,5
2015-04-04,5
2015-04-05,5
2015-04-06,5
2015-04-07,5
2015-04-08,5
2015-04-09,5
2015-04-10,5
2015-04-11,5
2015-04-12,5
2015-04-13,5
2015-04-14,5
2015-04-15,5
2015-04-16,5
2015-04-17,5
2015-04-18,5
2015-04-19,5
2015-04-20,5
2015-04-21,5
2015-04-22,5
2015-04-23,5
2015-04-24,5
2015-04-25,5
2015-04-26,5
2015-04-27,5
2015-04-28,5
2015-04-29,5
2015-04-30,5
2015-05-01,5
2015-05-02,5
2015-05-03,5
2015-05-04,5
2015-05-05,5
2015-05-06,5
2015-05-07,5
2015-05-08,5
2015-05-09,5
2015-05-10,5
2015-05-11,6
2015-05-12,6
2015-05-13,6
2015-05-14,6
2015-05-15,6
2015-05-16,6
2015-05-17,6
2015-05-18,6
2015-05-19,6
2015-05-20,6
2015-05-21,6
2015-05-22,6
2015-05-23,6
2015-05-24,6
2015-05-25,7
2015-05-26,7
2015-05-27,7
2015-05-28,7
2015-05-29,7
2015-05-30,7
2015-05-31,7
2015-06-01,7
2015-06-02,7
2015-06-03,7
2015-06-04,7
2015-06-05,7
2015-06-06,8
2015-06-07,8
2015-06-08,8
2015-06-09,8
2015-06-10,8
2015-06-11,8
2015-06-12,8
2015-06-13,8
2015-06-14,8
2015-06-15,8
2015-06-16,8
2015-06-17,8
2015-06-18,8
2015-06-19,8
2015-06-20,8
2015-06-21,8
2015-06-22,8
2015-06-23,8
2015-06-24,8
2015-06-25,8
2015-06-26,8
2015-06-27,8
2015-06-28,8
2015-06-29,8
2015-06-30,8
2015-07-01,8
2015-07-02,8
2015-07-03,8
2015-07-04,8
2015-07-05,8
2015-07-06,8
2015-07-07,8
2015-07-08,8
2015-07-09,8
2015-07-10,8
2015-07-11,8
2015-07-12,8
2015-07-13,8
2015-07-14,8
2015-07-15,8
2015-07-16,8
2015-07-17,8
2015-07-18,8
2015-07-19,8
2015-07-20,8
2015-07-21,8
2015-07-22,8
2015-07-23,8
2015-07-24,8
2015-07-25,8
2015-07-26,8
2015-07-27,8
2015-07-28,8
2015-07-29,8
2015-07-30,8
2015-07-31,8
2015-08-01,8
2015-08-02,8
2015-08-03,8
2015-08-04,8
2015-08-05,8
2015-08-06,8
2015-08-07,8
2015-08-08,8
2015-08-09,8
2015-08-10,8
