date_obj,Blood%20rune price
2015-03-26,300
2015-03-27,312
2015-03-28,316
2015-03-29,312
2015-03-30,306
2015-03-31,296
2015-04-01,295
2015-04-02,288
2015-04-03,281
2015-04-04,273
2015-04-05,263
2015-04-06,256
2015-04-07,264
2015-04-08,277
2015-04-09,286
2015-04-10,295
2015-04-11,302
2015-04-12,306
2015-04-13,305
2015-04-14,309
2015-04-15,311
2015-04-16,301
2015-04-17,297
2015-04-18,297
2015-04-19,300
2015-04-20,309
2015-04-21,315
2015-04-22,320
2015-04-23,320
2015-04-24,318
2015-04-25,317
2015-04-26,316
2015-04-27,307
2015-04-28,298
2015-04-29,294
2015-04-30,299
2015-05-01,304
2015-05-02,313
2015-05-03,317
2015-05-04,328
2015-05-05,342
2015-05-06,345
2015-05-07,343
2015-05-08,336
2015-05-09,328
2015-05-10,312
2015-05-11,300
2015-05-12,297
2015-05-13,294
2015-05-14,297
2015-05-15,301
2015-05-16,301
2015-05-17,300
2015-05-18,297
2015-05-19,295
2015-05-20,291
2015-05-21,296
2015-05-22,293
2015-05-23,291
2015-05-24,291
2015-05-25,301
2015-05-26,309
2015-05-27,311
2015-05-28,315
2015-05-29,322
2015-05-30,324
2015-05-31,325
2015-06-01,336
2015-06-02,330
2015-06-03,334
2015-06-04,330
2015-06-05,327
2015-06-06,329
2015-06-07,325
2015-06-08,320
2015-06-09,324
2015-06-10,323
2015-06-11,322
2015-06-12,323
2015-06-13,324
2015-06-14,335
2015-06-15,330
2015-06-16,331
2015-06-17,333
2015-06-18,331
2015-06-19,329
2015-06-20,322
2015-06-21,324
2015-06-22,331
2015-06-23,332
2015-06-24,343
2015-06-25,348
2015-06-26,359
2015-06-27,371
2015-06-28,365
2015-06-29,360
2015-06-30,361
2015-07-01,354
2015-07-02,357
2015-07-03,361
2015-07-04,376
2015-07-05,378
2015-07-06,376
2015-07-07,375
2015-07-08,373
2015-07-09,369
2015-07-10,359
2015-07-11,350
2015-07-12,337
2015-07-13,334
2015-07-14,338
2015-07-15,338
2015-07-16,339
2015-07-17,350
2015-07-18,357
2015-07-19,369
2015-07-20,378
2015-07-21,372
2015-07-22,364
2015-07-23,354
2015-07-24,354
2015-07-25,350
2015-07-26,345
2015-07-27,348
2015-07-28,354
2015-07-29,361
2015-07-30,367
2015-07-31,377
2015-08-01,376
2015-08-02,371
2015-08-03,367
2015-08-04,372
2015-08-05,386
2015-08-06,390
2015-08-07,381
2015-08-08,384
2015-08-09,382
2015-08-10,381
2015-08-11,385
2015-08-12,384
2015-08-13,389
2015-08-14,379
2015-08-15,363
2015-08-16,348
2015-08-17,348
2015-08-18,353
2015-08-19,358
2015-08-20,363
2015-08-21,374
2015-08-22,378
2015-08-23,374
2015-08-24,375
2015-08-25,367
2015-08-26,364
2015-08-27,360
2015-08-28,366
2015-08-29,374
2015-08-30,379
2015-08-31,374
2015-09-01,369
2015-09-02,362
2015-09-03,364
2015-09-04,365
2015-09-05,351
2015-09-06,337
2015-09-07,343
2015-09-08,353
2015-09-09,360
2015-09-10,346
2015-09-11,328
2015-09-12,312
2015-09-13,301
2015-09-14,298
2015-09-15,295
2015-09-16,287
2015-09-17,280
2015-09-18,274
2015-09-19,266
2015-09-20,259
2015-09-21,252
2015-09-22,256
2015-09-23,259
2015-09-24,251
2015-09-25,251
2015-09-27,256
2015-09-28,253
2015-09-29,243
2015-09-30,243
2015-10-05,296
2015-10-06,301
2015-10-07,295
2015-10-08,306
2015-10-09,311
2015-10-10,310
2015-10-11,306
2015-10-12,300
2015-10-13,291
2015-10-14,296
2015-10-15,301
2015-10-16,309
2015-10-17,309
2015-10-18,308
2015-10-19,303
2015-10-20,312
2015-10-22,306
2015-10-23,307
2015-10-24,311
2015-10-25,312
2015-10-26,303
2015-10-27,297
2015-10-29,298
2015-10-30,302
2015-10-31,303
2015-11-01,308
2015-11-02,311
2015-11-03,303
2015-11-04,292
2015-11-05,289
2015-11-06,289
2015-11-07,293
2015-11-08,293
2015-11-09,293
2015-11-10,296
2015-11-11,294
