date_obj,Cream%20robe%20bottoms price
2015-03-04,4300
2015-03-05,4300
2015-03-06,4300
2015-03-07,4300
2015-03-08,4300
2015-03-09,4300
2015-03-10,4300
2015-03-11,4300
2015-03-12,4300
2015-03-13,4300
2015-03-14,4300
2015-03-15,4300
2015-03-16,4300
2015-03-17,4300
2015-03-18,4300
2015-03-19,4300
2015-03-20,4300
2015-03-21,4300
2015-03-22,4100
2015-03-23,4100
2015-03-24,4100
2015-03-25,4100
2015-03-26,4100
2015-03-27,4100
2015-03-28,4100
2015-03-29,4100
2015-03-30,4100
2015-03-31,4100
2015-04-01,4100
2015-04-02,4100
2015-04-03,4100
2015-04-04,4100
2015-04-05,4100
2015-04-06,4100
2015-04-07,4100
2015-04-08,4100
2015-04-09,4100
2015-04-10,4100
2015-04-11,4100
2015-04-12,4100
2015-04-13,4100
2015-04-14,4100
2015-04-15,4100
2015-04-16,4100
2015-04-17,4100
2015-04-18,3903
2015-04-19,3903
2015-04-20,3903
2015-04-21,3903
2015-04-22,3903
2015-04-23,3903
2015-04-24,3903
2015-04-25,3903
2015-04-26,3903
2015-04-27,3903
2015-04-28,3903
2015-04-29,3903
2015-04-30,3903
2015-05-01,3903
2015-05-02,3903
2015-05-03,3903
2015-05-04,3903
2015-05-05,3903
2015-05-06,3903
2015-05-07,3903
2015-05-08,3903
2015-05-09,3903
2015-05-10,3903
2015-05-11,3903
2015-05-12,3903
2015-05-13,3903
2015-05-14,3711
2015-05-15,3711
2015-05-16,3711
2015-05-17,3711
2015-05-18,3711
2015-05-19,3711
2015-05-20,3711
2015-05-21,3711
2015-05-22,3711
2015-05-23,3711
2015-05-24,3711
2015-05-25,3711
2015-05-26,3711
2015-05-27,3711
2015-05-28,3711
2015-05-29,3711
2015-05-30,3711
2015-05-31,3711
2015-06-01,3711
2015-06-02,3711
2015-06-03,3529
2015-06-04,3529
2015-06-05,3529
2015-06-06,3529
2015-06-07,3529
2015-06-08,3529
2015-06-09,3529
2015-06-10,3529
2015-06-11,3529
2015-06-12,3529
2015-06-13,3529
2015-06-14,3529
2015-06-15,3529
2015-06-16,3529
2015-06-17,3529
2015-06-18,3529
2015-06-19,3529
2015-06-20,3529
2015-06-21,3529
2015-06-22,3529
2015-06-23,3529
2015-06-24,3437
2015-06-25,3437
2015-06-26,3437
2015-06-27,3437
2015-06-28,3437
2015-06-29,3437
2015-06-30,3437
2015-07-01,3437
2015-07-02,3437
2015-07-03,3437
2015-07-04,3437
2015-07-05,3437
2015-07-06,3437
2015-07-07,3437
2015-07-08,3437
2015-07-09,3437
2015-07-10,3437
2015-07-11,3437
2015-07-12,3437
2015-07-13,3437
2015-07-14,3437
2015-07-15,3437
2015-07-16,3437
2015-07-17,3437
2015-07-18,3289
2015-07-19,3289
2015-07-20,3289
2015-07-21,3289
2015-07-22,3289
2015-07-23,3289
2015-07-24,3289
2015-07-25,3289
2015-07-26,3289
2015-07-27,3289
2015-07-28,3289
2015-07-29,3289
2015-07-30,3289
2015-07-31,3289
2015-08-01,3289
2015-08-02,3289
2015-08-03,3289
2015-08-04,3289
2015-08-05,3208
2015-08-06,3208
2015-08-07,3208
2015-08-08,3208
2015-08-09,3208
2015-08-10,3208
2015-08-11,3208
2015-08-12,3208
2015-08-13,3208
2015-08-14,3208
2015-08-15,3208
2015-08-16,3208
2015-08-17,3208
2015-08-18,3208
2015-08-19,3208
2015-08-20,3208
2015-08-21,3208
2015-08-22,3208
2015-08-23,3208
2015-08-24,3208
2015-08-25,3057
2015-08-26,3057
2015-08-27,3057
2015-08-28,3057
2015-08-29,3057
2015-08-30,3057
2015-08-31,3057
2015-09-01,400
2015-09-02,3057
2015-09-07,3057
2015-09-08,3057
2015-09-10,3057
2015-09-14,3057
2015-09-16,2968
2015-09-22,2968
2015-09-23,2968
2015-09-24,2968
2015-09-25,2968
2015-09-27,2968
2015-09-28,2968
2015-09-29,2968
2015-09-30,2968
2015-10-05,2968
2015-10-06,2968
2015-10-07,2968
2015-10-08,2968
2015-10-09,2968
2015-10-10,2968
2015-10-11,2968
2015-10-12,2968
2015-10-13,2968
2015-10-14,2968
2015-10-15,2824
2015-10-16,2824
2015-10-17,2824
2015-10-18,2824
2015-10-19,2824
2015-10-20,2824
2015-10-22,2824
2015-10-23,2824
2015-10-24,2824
2015-10-25,2824
2015-10-26,2824
2015-10-27,2824
2015-10-29,2824
2015-10-30,2824
2015-10-31,2824
2015-11-01,2824
2015-11-02,2824
2015-11-03,2824
2015-11-04,2824
2015-11-05,2824
2015-11-06,2824
2015-11-07,2824
2015-11-08,2824
2015-11-09,2824
2015-11-10,2824
2015-11-11,2824
2015-11-12,2696
2015-11-13,2696
2015-11-14,2696
2015-11-15,2696
2015-11-16,2696
2015-11-17,2696
2015-11-18,2696
2015-11-19,2696
2015-11-20,2696
2015-11-21,2696
2015-11-22,2696
2015-11-23,2696
2015-11-24,2696
2015-11-25,2696
2015-11-26,2696
2015-11-27,2696
2015-11-28,2696
2015-11-29,2696
2015-11-30,2696
2015-12-01,2696
2015-12-02,2696
2015-12-03,2696
2015-12-04,2696
2015-12-05,2696
2015-12-06,2696
2015-12-07,2696
2015-12-08,2696
2015-12-09,2566
2015-12-10,2566
2015-12-11,2566
