date_obj,Grimy%20torstol price
2015-03-26,5456
2015-03-27,5456
2015-03-28,5456
2015-03-29,5669
2015-03-30,5669
2015-03-31,5669
2015-04-01,5669
2015-04-02,5669
2015-04-03,5669
2015-04-04,5669
2015-04-05,5669
2015-04-06,5669
2015-04-07,5536
2015-04-08,5536
2015-04-09,5536
2015-04-10,5536
2015-04-11,5536
2015-04-12,5536
2015-04-13,5536
2015-04-14,5536
2015-04-15,5536
2015-04-16,5536
2015-04-17,5326
2015-04-18,5326
2015-04-19,5326
2015-04-20,5326
2015-04-21,5326
2015-04-22,5326
2015-04-23,5326
2015-04-24,5326
2015-04-25,5326
2015-04-26,5066
2015-04-27,5066
2015-04-28,5066
2015-04-29,5066
2015-04-30,5066
2015-05-01,5066
2015-05-02,5066
2015-05-03,5066
2015-05-04,5066
2015-05-05,5114
2015-05-06,5114
2015-05-07,5114
2015-05-08,5114
2015-05-09,5114
2015-05-10,5114
2015-05-11,5114
2015-05-12,5114
2015-05-13,5114
2015-05-14,5288
2015-05-15,5288
2015-05-16,5288
2015-05-17,5288
2015-05-18,5288
2015-05-19,5288
2015-05-20,5288
2015-05-21,5288
2015-05-22,5288
2015-05-23,5288
2015-05-24,5288
2015-05-25,5444
2015-05-26,5444
2015-05-27,5444
2015-05-28,5444
2015-05-29,5444
2015-05-30,5444
2015-05-31,5444
2015-06-01,5656
2015-06-02,5656
2015-06-03,5656
2015-06-04,5656
2015-06-05,5656
2015-06-06,5656
2015-06-07,5656
2015-06-08,5656
2015-06-09,5924
2015-06-10,5924
2015-06-11,5924
2015-06-12,5924
2015-06-13,5924
2015-06-14,5924
2015-06-15,5924
2015-06-16,5924
2015-06-17,5924
2015-06-18,6199
2015-06-19,6199
2015-06-20,6199
2015-06-21,6199
2015-06-22,6199
2015-06-23,6199
2015-06-24,6199
2015-06-25,6199
2015-06-26,6496
2015-06-27,6496
2015-06-28,6496
2015-06-29,6496
2015-06-30,6496
2015-07-01,6496
2015-07-02,6496
2015-07-03,6496
2015-07-04,6753
2015-07-05,6753
2015-07-06,6753
2015-07-07,6753
2015-07-08,6753
