date_obj,Crystal%20key price
2015-03-26,27266
2015-03-27,27266
2015-03-28,27512
2015-03-29,27656
2015-03-30,27285
2015-03-31,26667
2015-04-01,26153
2015-04-02,26293
2015-04-03,26575
2015-04-04,26705
2015-04-05,26459
2015-04-06,26736
2015-04-07,26891
2015-04-08,27117
2015-04-09,27034
2015-04-10,26580
2015-04-11,25696
2015-04-12,24985
2015-04-13,24465
2015-04-14,24246
2015-04-15,24632
2015-04-16,24226
2015-04-17,24304
2015-04-18,24039
2015-04-19,24086
2015-04-20,24409
2015-04-21,24318
2015-04-22,24552
2015-04-23,24479
2015-04-24,24136
2015-04-25,23873
2015-04-26,23921
2015-04-27,24045
2015-04-28,25218
2015-04-29,25218
2015-04-30,26479
2015-05-01,27711
2015-05-02,29097
2015-05-03,29097
2015-05-04,30378
2015-05-05,31108
2015-05-06,31159
2015-05-07,30451
2015-05-08,29840
2015-05-09,29956
2015-05-10,30340
2015-05-11,30340
2015-05-12,30248
2015-05-13,30248
2015-05-14,30909
2015-05-15,30909
2015-05-16,30944
2015-05-17,30871
2015-05-18,30933
2015-05-19,30933
2015-05-20,29652
2015-05-21,29652
2015-05-22,29784
2015-05-23,29784
2015-05-24,29159
2015-05-25,29428
2015-05-26,29428
2015-05-27,29651
2015-05-28,30300
2015-05-29,29801
2015-05-30,29439
2015-05-31,29439
2015-06-01,29604
2015-06-02,29604
2015-06-03,30300
2015-06-04,30300
2015-06-05,29943
2015-06-06,29406
2015-06-07,29285
2015-06-08,29285
2015-06-09,29198
2015-06-10,28960
2015-06-11,28960
2015-06-12,28786
2015-06-13,28636
2015-06-14,28445
2015-06-15,28951
2015-06-16,28533
2015-06-17,28533
2015-06-18,28456
2015-06-19,28447
2015-06-20,29351
2015-06-21,29351
2015-06-22,28662
2015-06-23,28662
2015-06-24,28525
2015-06-25,28525
2015-06-26,28718
2015-06-27,28718
2015-06-28,28444
2015-06-29,28444
2015-06-30,28211
2015-07-01,28564
2015-07-02,28564
2015-07-03,28639
2015-07-04,28012
2015-07-05,28165
2015-07-06,28165
2015-07-07,29060
2015-07-08,29209
2015-07-09,29209
2015-07-10,29843
2015-07-11,29843
2015-07-12,30283
2015-07-13,30060
2015-07-14,30400
2015-07-15,30197
2015-07-16,30197
2015-07-17,30508
2015-07-18,30508
2015-07-19,30522
2015-07-20,30387
2015-07-21,30387
2015-07-22,30539
2015-07-23,30539
2015-07-24,30658
2015-07-25,30658
2015-07-26,31359
2015-07-27,31658
2015-07-28,31930
2015-07-29,31495
2015-07-30,31495
2015-07-31,31936
2015-08-01,31922
2015-08-02,32719
2015-08-03,32719
2015-08-04,33387
2015-08-05,33397
2015-08-06,33966
2015-08-07,33966
2015-08-08,34653
2015-08-09,34978
2015-08-10,35210
2015-08-11,35013
2015-08-12,35013
2015-08-13,34877
2015-08-14,34591
2015-08-15,34591
2015-08-16,34458
2015-08-17,34458
2015-08-18,35232
2015-08-19,35232
2015-08-20,35753
2015-08-21,35686
2015-08-22,35686
2015-08-23,35398
2015-08-24,35779
