date_obj,Cadantine%20potion%20(unf) price
2015-03-26,1168
2015-03-27,1168
2015-03-28,1168
2015-03-29,1168
2015-03-30,1168
2015-03-31,1168
2015-04-01,1119
2015-04-02,1119
2015-04-03,1119
2015-04-04,1119
2015-04-05,1119
2015-04-06,1119
2015-04-07,1119
2015-04-08,1119
2015-04-09,1119
2015-04-10,1119
2015-04-11,1119
2015-04-12,1119
2015-04-13,1063
2015-04-14,1063
2015-04-15,1063
2015-04-16,1063
2015-04-17,1063
2015-04-18,1063
2015-04-19,1063
2015-04-20,1063
2015-04-21,1063
2015-04-22,1063
2015-04-23,1063
2015-04-24,1063
2015-04-25,1009
2015-04-26,1009
2015-04-27,1009
2015-04-28,1009
2015-04-29,1009
2015-04-30,1009
2015-05-01,1009
2015-05-02,1009
2015-05-03,1009
2015-05-04,962
2015-05-05,962
2015-05-06,962
2015-05-07,962
2015-05-08,962
2015-05-09,962
2015-05-10,965
2015-05-11,965
2015-05-12,965
2015-05-13,965
2015-05-14,965
2015-05-15,965
2015-05-16,965
2015-05-17,1011
2015-05-18,1011
2015-05-19,1011
2015-05-20,1011
2015-05-21,1011
2015-05-22,1011
2015-05-23,1011
2015-05-24,1060
2015-05-25,1060
2015-05-26,1060
2015-05-27,1060
2015-05-28,1111
2015-05-29,1111
2015-05-30,1111
2015-05-31,1111
2015-06-01,1166
2015-06-02,1166
2015-06-03,1166
2015-06-04,1166
2015-06-05,1166
2015-06-06,1166
2015-06-07,1223
2015-06-08,1223
2015-06-09,1223
2015-06-10,1223
2015-06-11,1223
2015-06-12,1223
2015-06-13,1283
2015-06-14,1283
2015-06-15,1283
2015-06-16,1283
2015-06-17,1283
2015-06-18,1283
2015-06-19,1345
2015-06-20,1345
2015-06-21,1345
2015-06-22,1345
2015-06-23,1345
2015-06-24,1345
2015-06-25,1410
2015-06-26,1410
2015-06-27,1410
2015-06-28,1410
2015-06-29,1410
2015-06-30,1410
2015-07-01,1478
2015-07-02,1478
2015-07-03,1478
2015-07-04,1478
2015-07-05,1478
2015-07-06,1478
2015-07-07,1478
2015-07-08,1545
2015-07-09,1545
2015-07-10,1545
2015-07-11,1545
2015-07-12,1545
2015-07-13,1545
2015-07-14,1617
2015-07-15,1617
2015-07-16,1617
2015-07-17,1617
2015-07-18,1617
2015-07-19,1617
2015-07-20,1617
2015-07-21,1694
2015-07-22,1694
2015-07-23,1694
2015-07-24,1694
2015-07-25,1694
2015-07-26,1694
2015-07-27,1776
2015-07-28,1776
2015-07-29,1776
2015-07-30,1776
2015-07-31,1776
2015-08-01,1776
2015-08-02,1857
2015-08-03,1857
2015-08-04,1857
2015-08-05,1857
2015-08-06,1857
2015-08-07,1857
2015-08-08,1947
2015-08-09,1947
2015-08-10,1947
2015-08-11,1947
2015-08-12,1947
2015-08-13,1947
2015-08-14,2042
2015-08-15,2042
2015-08-16,2042
2015-08-17,2042
2015-08-18,2042
2015-08-19,2042
2015-08-20,2142
2015-08-21,2142
2015-08-22,2142
2015-08-23,2142
2015-08-24,2142
2015-08-25,2237
2015-08-26,2237
2015-08-27,2237
2015-08-28,2237
2015-08-29,2341
2015-08-30,2341
2015-08-31,2341
2015-09-01,2341
2015-09-02,2341
2015-09-03,2447
2015-09-04,2447
2015-09-05,2447
2015-09-06,2447
2015-09-07,2447
2015-09-08,2564
2015-09-09,2564
2015-09-10,2564
2015-09-11,2564
2015-09-12,2564
2015-09-13,2679
2015-09-14,2679
2015-09-15,2679
2015-09-16,2679
2015-09-17,2679
2015-09-18,2785
2015-09-19,2785
2015-09-20,2785
2015-09-21,2785
2015-09-22,2785
2015-09-23,2731
2015-09-24,2731
2015-09-25,2731
2015-09-27,2731
2015-09-28,2731
2015-09-29,2649
2015-09-30,2649
2015-10-05,2705
2015-10-06,2705
2015-10-07,2705
2015-10-08,2705
2015-10-09,2705
2015-10-10,2705
2015-10-11,2833
2015-10-12,2833
2015-10-13,2833
2015-10-14,2833
2015-10-15,2833
2015-10-16,2833
2015-10-17,2867
2015-10-18,2867
2015-10-19,2867
2015-10-20,2867
2015-10-22,2943
2015-10-23,2943
2015-10-24,2943
2015-10-25,2943
2015-10-26,2943
2015-10-27,2929
2015-10-29,2929
2015-10-30,2929
2015-10-31,2929
2015-11-01,2929
2015-11-02,2910
2015-11-03,2910
2015-11-04,2910
2015-11-05,2910
2015-11-06,2910
2015-11-07,2910
2015-11-08,2910
2015-11-09,2902
2015-11-10,2902
2015-11-11,2902
2015-11-12,2902
2015-11-13,2902
2015-11-14,2902
2015-11-15,2902
