date_obj,Red%20boater price
2015-03-26,33941
2015-03-27,33941
2015-03-28,33941
2015-03-29,33941
2015-03-30,33941
2015-03-31,33941
2015-04-01,33941
2015-04-02,32309
2015-04-03,32309
2015-04-04,32309
2015-04-05,32309
2015-04-06,32309
2015-04-07,32309
2015-04-08,32309
2015-04-09,32309
2015-04-10,30790
2015-04-11,30790
2015-04-12,30790
2015-04-13,30790
2015-04-14,30790
2015-04-15,30790
2015-04-16,30790
2015-04-17,30790
2015-04-18,29356
2015-04-19,29356
2015-04-20,29356
2015-04-21,29356
2015-04-22,29356
2015-04-23,29356
2015-04-24,29356
2015-04-25,29356
2015-04-26,29356
2015-04-27,28017
2015-04-28,28017
2015-04-29,28017
2015-04-30,28017
2015-05-01,28017
2015-05-02,28017
2015-05-03,28017
2015-05-04,28017
2015-05-05,26710
2015-05-06,26710
2015-05-07,26710
2015-05-08,26710
2015-05-09,26710
2015-05-10,26710
2015-05-11,26710
2015-05-12,25434
2015-05-13,25434
2015-05-14,25434
2015-05-15,25434
2015-05-16,25434
2015-05-17,25434
2015-05-18,25434
2015-05-19,24241
2015-05-20,24241
2015-05-21,24241
2015-05-22,24241
2015-05-23,24241
2015-05-24,24241
2015-05-25,24241
2015-05-26,23103
2015-05-27,23103
2015-05-28,23103
2015-05-29,23103
2015-05-30,22001
2015-05-31,22001
2015-06-01,22001
2015-06-02,22001
2015-06-03,22001
2015-06-04,20965
2015-06-05,20965
2015-06-06,20965
2015-06-07,20965
2015-06-08,20965
2015-06-09,19997
2015-06-10,19997
2015-06-11,19997
2015-06-12,19997
2015-06-13,19997
2015-06-14,19997
2015-06-15,19100
2015-06-16,19100
2015-06-17,19100
2015-06-18,19100
2015-06-19,19100
2015-06-20,18459
2015-06-21,18459
2015-06-22,18459
2015-06-23,18459
2015-06-24,18459
2015-06-25,18459
2015-06-26,18459
2015-06-27,17599
2015-06-28,17599
2015-06-29,17599
2015-06-30,17599
2015-07-01,17599
2015-07-02,17599
2015-07-03,17599
2015-07-04,16778
2015-07-05,16778
2015-07-06,16778
2015-07-07,16778
2015-07-08,16778
2015-07-09,16778
2015-07-10,16778
2015-07-11,16173
2015-07-12,16173
