date_obj,Zamorak%20plateskirt price
2015-03-26,59242
2015-03-27,59242
2015-03-28,59242
2015-03-29,59242
2015-03-30,56395
2015-03-31,56395
2015-04-01,56395
2015-04-02,56395
2015-04-03,53763
2015-04-04,53763
2015-04-05,53763
2015-04-06,51218
2015-04-07,51218
2015-04-08,51218
2015-04-09,48848
2015-04-10,48848
2015-04-11,46917
2015-04-12,46917
2015-04-13,46917
2015-04-14,45002
2015-04-15,45002
2015-04-16,45002
2015-04-17,43266
2015-04-18,43266
2015-04-19,43266
2015-04-20,42528
2015-04-21,42528
2015-04-22,42528
2015-04-23,42202
2015-04-24,42202
2015-04-25,42202
2015-04-26,42202
2015-04-27,42011
2015-04-28,42011
2015-04-29,42011
2015-04-30,42011
2015-05-01,42449
2015-05-02,42449
2015-05-03,42449
2015-05-04,42449
2015-05-05,42346
2015-05-06,42346
2015-05-07,42346
2015-05-08,41545
2015-05-09,41545
2015-05-10,41545
2015-05-11,41545
2015-05-12,40344
2015-05-13,40344
2015-05-14,40344
2015-05-15,40344
2015-05-16,40623
2015-05-17,40623
2015-05-18,40623
2015-05-19,41141
2015-05-20,41141
2015-05-21,41141
2015-05-22,41141
2015-05-23,41141
2015-05-24,41551
2015-05-25,41551
2015-05-26,41551
2015-05-27,42647
2015-05-28,42647
2015-05-29,42520
2015-05-30,42520
2015-05-31,42286
2015-06-01,42286
2015-06-02,42286
2015-06-03,43121
2015-06-04,43121
2015-06-05,43121
2015-06-06,43200
2015-06-07,43200
2015-06-08,43200
2015-06-09,42226
2015-06-10,42226
2015-06-11,42069
2015-06-12,42069
2015-06-13,42069
2015-06-14,41310
2015-06-15,41310
2015-06-16,41310
2015-06-17,40723
2015-06-18,40723
2015-06-19,40268
2015-06-20,40268
2015-06-21,39780
2015-06-22,39780
2015-06-23,40195
2015-06-24,40195
2015-06-25,40195
2015-06-26,40378
2015-06-27,40378
2015-06-28,40378
2015-06-29,41202
2015-06-30,41202
2015-07-01,41845
2015-07-02,41845
2015-07-03,41845
2015-07-04,41718
2015-07-05,41718
2015-07-06,41718
2015-07-07,41287
2015-07-08,41287
2015-07-09,41287
2015-07-10,41409
2015-07-11,41409
2015-07-12,41409
2015-07-13,42430
2015-07-14,42430
2015-07-15,42430
2015-07-16,42470
2015-07-17,42470
2015-07-18,42470
2015-07-19,42580
2015-07-20,42580
2015-07-21,42580
2015-07-22,42375
2015-07-23,42375
2015-07-24,42375
2015-07-25,43460
2015-07-26,43460
2015-07-27,43460
2015-07-28,42425
2015-07-29,42425
2015-07-30,42425
2015-07-31,43004
2015-08-01,43004
2015-08-02,43570
2015-08-03,43570
2015-08-04,43570
2015-08-05,43620
2015-08-06,43620
2015-08-07,43620
2015-08-08,42788
2015-08-09,42788
2015-08-10,42322
2015-08-11,42322
2015-08-12,42322
2015-08-13,41905
2015-08-14,41905
2015-08-15,41905
2015-08-16,41425
2015-08-17,41425
2015-08-18,41618
2015-08-19,41618
2015-08-20,41618
2015-08-21,42011
2015-08-22,42011
2015-08-23,42011
2015-08-24,42653
2015-08-25,42653
2015-08-26,42653
2015-08-27,42727
2015-08-28,42727
2015-08-29,42727
2015-08-30,42502
2015-08-31,42502
2015-09-01,42502
2015-09-02,41236
2015-09-03,41236
2015-09-04,41236
2015-09-05,40930
2015-09-06,40930
2015-09-07,40930
2015-09-08,39911
2015-09-09,39911
2015-09-10,39794
2015-09-11,39794
2015-09-12,39824
2015-09-13,39824
2015-09-14,40402
2015-09-15,40402
2015-09-16,40402
2015-09-17,40581
2015-09-18,40581
2015-09-19,40581
2015-09-20,40246
2015-09-21,40246
2015-09-22,40246
2015-09-23,41039
2015-09-24,41039
2015-09-25,41039
2015-09-27,41423
2015-09-28,41423
2015-09-29,42086
2015-09-30,42086
2015-10-05,42408
2015-10-06,42408
2015-10-07,42361
2015-10-08,42361
2015-10-09,41861
2015-10-10,41861
2015-10-11,41861
2015-10-12,41656
2015-10-13,41656
2015-10-14,41656
2015-10-15,41542
2015-10-16,41542
2015-10-17,41542
2015-10-18,42334
2015-10-19,42334
2015-10-20,42334
2015-10-22,42282
2015-10-23,42282
2015-10-24,42947
2015-10-25,42947
2015-10-26,43373
2015-10-27,43373
2015-10-29,42611
2015-10-30,42611
2015-10-31,42611
2015-11-01,43259
2015-11-02,43259
2015-11-03,43259
2015-11-05,42629
2015-11-06,42629
2015-11-07,41709
2015-11-08,41709
2015-11-09,41709
2015-11-10,41709
2015-11-11,41737
2015-11-12,41737
2015-11-13,41737
2015-11-14,41125
2015-11-15,41125
2015-11-16,41125
2015-11-17,41091
2015-11-18,41091
2015-11-19,41091
2015-11-20,41513
2015-11-21,41513
2015-11-22,41359
2015-11-23,41359
2015-11-24,41359
2015-11-25,41502
2015-11-26,41502
2015-11-27,41502
2015-11-28,41468
2015-11-29,41468
2015-11-30,41696
2015-12-01,41696
2015-12-02,41696
2015-12-03,42084
2015-12-04,42084
2015-12-05,42084
2015-12-06,41522
2015-12-07,41522
2015-12-08,41522
2015-12-09,41382
2015-12-10,41382
2015-12-11,41382
2015-12-13,41055
2015-12-14,41055
2015-12-15,40854
2015-12-16,40854
2015-12-17,40854
2015-12-18,40863
2015-12-19,40863
2015-12-20,40765
2015-12-21,40765
2015-12-22,40765
2015-12-23,41031
2015-12-24,41031
2015-12-25,41031
2015-12-26,41619
2015-12-27,41619
2015-12-28,41580
2015-12-29,41580
2015-12-30,41313
2015-12-31,41313
2016-01-01,41313
2016-01-02,40957
2016-01-03,40957
2016-01-04,41313
2016-01-05,41313
2016-01-06,41041
2016-01-07,41041
2016-01-08,41562
2016-01-09,41562
2016-01-10,41562
2016-01-11,41756
2016-01-12,41756
2016-01-13,42193
2016-01-14,42193
2016-01-15,42444
2016-01-16,42444
2016-01-17,42444
2016-01-18,41791
2016-01-19,41791
2016-01-20,42010
2016-01-21,42010
2016-01-22,42010
2016-01-23,41838
2016-01-24,41838
2016-01-25,41364
2016-01-26,41364
2016-01-27,40710
2016-01-28,40710
2016-01-29,40858
2016-01-30,40858
2016-01-31,41437
2016-02-01,41437
2016-02-02,42530
2016-02-03,42530
2016-02-04,42530
2016-02-05,41792
2016-02-06,41792
2016-02-07,42042
2016-02-08,42042
2016-02-09,42042
2016-02-10,42413
2016-02-11,42413
2016-02-12,42413
2016-02-13,43453
2016-02-14,43453
2016-02-15,43453
2016-02-16,42364
2016-02-17,42364
2016-02-18,42364
2016-02-19,41649
2016-02-20,41649
2016-02-21,41434
2016-02-22,41434
2016-02-23,41434
2016-02-24,41052
2016-02-25,41052
2016-02-26,40762
2016-02-27,40762
2016-02-28,41094
2016-02-29,41094
2016-03-01,40427
2016-03-02,40427
2016-03-03,40427
2016-03-04,40402
2016-03-05,40402
2016-03-06,41285
2016-03-07,41285
2016-03-08,41285
2016-03-09,41755
2016-03-10,41755
2016-03-11,41755
2016-03-12,41502
2016-03-13,41502
2016-03-14,41502
2016-03-15,40747
2016-03-16,40747
2016-03-17,40958
2016-03-18,40958
2016-03-19,41408
2016-03-20,41408
2016-03-21,41031
2016-03-22,41031
2016-03-23,40944
2016-03-24,40944
2016-03-25,41850
2016-03-26,41850
2016-03-27,41850
2016-03-28,41504
2016-03-29,41504
2016-03-30,41504
2016-03-31,40913
2016-04-01,40913
2016-04-02,40913
2016-04-03,40309
2016-04-04,40309
2016-04-05,40309
2016-04-06,41164
2016-04-07,41164
2016-04-08,41164
2016-04-09,41522
2016-04-10,41522
2016-04-11,41522
2016-04-12,41422
2016-04-13,41422
2016-04-14,41422
2016-04-15,42005
2016-04-16,42005
2016-04-17,41916
2016-04-18,41916
2016-04-19,42020
2016-04-20,42020
2016-04-21,42020
2016-04-22,42635
2016-04-23,42635
2016-04-24,42902
2016-04-25,42902
2016-04-26,42000
2016-04-27,42000
2016-04-28,42169
2016-04-29,42169
2016-04-30,42796
2016-05-01,42796
2016-05-02,42329
2016-05-03,42329
2016-05-04,42588
2016-05-05,42588
2016-05-06,42588
2016-05-07,42343
2016-05-08,42343
2016-05-09,42343
2016-05-10,42050
2016-05-11,42050
2016-05-12,42050
2016-05-13,41782
2016-05-14,41782
2016-05-15,42181
2016-05-16,42181
2016-05-17,42181
2016-05-18,41635
2016-05-19,41635
2016-05-22,41850
2016-05-23,41566
2016-05-24,41566
2016-05-25,41566
2016-05-26,41316
2016-05-27,41316
2016-05-28,41774
2016-05-29,41774
2016-05-30,42578
2016-05-31,42578
2016-06-01,41673
2016-06-02,41673
2016-06-03,41673
2016-06-04,39907
2016-06-05,39907
2016-06-06,39573
2016-06-07,39573
2016-06-08,39573
2016-06-09,39386
2016-06-10,39386
2016-06-11,39386
2016-06-12,39411
2016-06-13,39411
2016-06-14,39565
2016-06-15,39565
2016-06-16,39565
2016-06-17,40135
2016-06-18,40135
2016-06-19,40135
2016-06-20,41400
2016-06-21,41400
2016-06-22,41587
2016-06-23,41587
2016-06-24,41587
2016-06-25,41691
2016-06-26,41691
2016-06-27,41691
2016-06-28,41887
2016-06-29,41887
2016-06-30,41887
2016-07-01,41594
2016-07-02,41594
2016-07-03,41594
2016-07-04,41686
2016-07-05,41686
2016-07-06,40663
2016-07-07,40663
2016-07-08,40512
2016-07-09,40512
2016-07-10,40361
2016-07-11,40361
2016-07-12,39984
2016-07-13,39984
2016-07-14,39984
2016-07-15,40287
2016-07-16,40287
2016-07-17,40287
2016-07-18,40581
2016-07-24,41303
2016-07-25,41303
2016-07-26,41303
2016-07-27,40775
2016-07-28,40775
