date_obj,Ape%20atoll%20teleport%20(tablet) price
2016-05-12,2500
2016-05-13,2625
2016-05-14,2625
2016-05-15,2625
2016-05-16,2747
2016-05-17,2747
2016-05-18,2747
2016-05-19,2747
2016-05-22,2882
2016-05-23,2882
2016-05-24,3025
2016-05-25,3025
2016-05-26,3025
2016-05-27,3025
2016-05-28,3162
2016-05-29,3162
2016-05-30,3162
2016-05-31,3162
2016-06-01,3315
2016-06-02,3315
2016-06-03,3315
2016-06-04,3315
2016-06-05,3315
2016-06-06,3471
2016-06-07,3471
2016-06-08,3471
2016-06-09,3471
2016-06-10,3471
2016-06-11,3613
2016-06-12,3613
2016-06-13,3613
2016-06-14,3613
2016-06-15,3613
2016-06-16,3613
2016-06-17,3794
2016-06-18,3794
2016-06-19,3794
2016-06-20,3794
2016-06-21,3794
2016-06-22,3976
2016-06-23,3976
2016-06-24,3976
2016-06-25,3976
2016-06-26,3976
2016-06-27,4154
2016-06-28,4154
2016-06-29,4154
2016-06-30,4154
2016-07-01,4306
2016-07-02,4306
2016-07-03,4306
2016-07-04,4306
2016-07-05,4306
2016-07-06,4506
2016-07-07,4506
2016-07-08,4506
2016-07-09,4506
2016-07-10,4732
2016-07-11,4732
2016-07-12,4732
2016-07-13,4732
2016-07-14,4969
2016-07-15,4969
2016-07-16,4969
2016-07-17,4969
2016-07-18,5190
2016-07-23,5268
2016-07-24,5268
2016-07-25,5268
2016-07-26,5268
2016-07-27,5268
2016-07-28,5190
2016-07-29,5190
2016-07-30,5190
2016-07-31,5190
2016-08-01,5190
2016-08-02,5332
2016-08-03,5332
2016-08-04,5332
2016-08-05,5332
2016-08-06,5332
2016-08-07,5346
2016-08-08,5346
2016-08-09,5346
2016-08-10,5346
2016-08-11,5346
2016-08-12,5136
2016-08-13,5136
2016-08-14,5136
2016-08-15,5136
2016-08-16,5136
2016-08-17,5036
2016-08-18,5036
2016-08-19,5036
2016-08-20,5036
2016-08-21,5036
2016-08-22,4850
2016-08-23,4850
2016-08-24,4850
2016-08-25,4850
2016-08-26,4850
2016-08-28,4821
2016-08-31,4821
2016-09-01,4857
2016-09-02,4857
2016-09-03,4857
2016-09-04,4857
2016-09-05,4857
2016-09-06,4918
2016-09-07,4918
2016-09-08,4918
2016-09-09,4918
2016-09-10,4918
2016-09-11,4918
2016-09-12,5101
2016-09-13,5101
2016-09-14,5101
2016-09-15,5101
2016-09-16,5101
2016-09-17,5134
2016-09-18,5134
2016-09-19,5134
2016-09-20,5134
2016-09-21,5134
2016-09-22,5026
2016-09-23,5026
2016-09-24,5026
2016-09-25,5026
2016-09-26,5026
2016-09-27,5026
2016-09-28,4926
2016-09-29,4926
2016-09-30,4926
2016-10-01,4926
2016-10-02,4926
2016-10-03,4926
2016-10-04,4758
2016-10-05,4758
2016-10-06,4758
2016-10-07,4758
2016-10-08,4758
2016-10-09,4758
2016-10-10,4527
2016-10-11,4527
2016-10-12,4527
2016-10-13,4527
2016-10-14,4527
2016-10-15,4511
2016-10-16,4511
2016-10-17,4511
2016-10-18,4511
2016-10-19,4511
2016-10-20,4485
2016-10-21,4485
2016-10-22,4485
2016-10-23,4485
2016-10-24,4485
2016-10-25,4427
2016-10-26,4427
2016-10-27,4427
2016-10-28,4427
2016-10-29,4427
2016-10-30,4514
2016-10-31,4514
2016-11-01,4514
2016-11-02,4514
2016-11-03,4514
2016-11-04,4421
2016-11-05,4421
2016-11-06,4421
2016-11-07,4421
2016-11-08,4421
2016-11-09,4459
2016-11-10,4459
2016-11-11,4459
2016-11-12,4459
2016-11-13,4459
2016-11-14,4396
2016-11-15,4396
2016-12-07,4288
2016-12-08,4288
2016-12-09,4288
2016-12-10,4288
2016-12-11,4381
2016-12-12,4381
2016-12-13,4381
2016-12-14,4381
2016-12-15,4381
2016-12-16,4249
2016-12-17,4249
2016-12-18,4249
2016-12-19,4249
2016-12-20,4341
2016-12-21,4341
2016-12-22,4341
2016-12-23,4341
2016-12-24,4489
2016-12-25,4489
2016-12-26,4489
2016-12-27,4489
2016-12-28,4468
2016-12-29,4468
2016-12-30,4468
2016-12-31,4468
2017-01-01,4288
2017-01-02,4288
2017-01-03,4288
2017-01-04,4419
2017-01-05,4419
2017-01-06,4419
2017-01-07,4419
2017-01-08,4271
2017-01-09,4271
2017-01-10,4271
2017-01-11,4271
2017-01-12,4304
2017-01-13,4304
2017-01-14,4304
2017-01-15,4304
2017-01-16,4433
2017-01-17,4433
2017-01-18,4433
2017-01-19,4433
2017-01-20,4212
2017-01-21,4212
2017-01-22,4212
2017-01-23,4001
2017-01-27,4098
2017-01-28,4098
2017-01-29,4156
2017-01-30,4156
2017-01-31,4156
2017-02-01,4208
2017-02-02,4208
2017-02-03,4208
2017-02-04,4221
2017-02-05,4221
2017-02-06,4221
2017-02-07,4221
2017-02-08,4252
2017-02-09,4252
2017-02-10,4252
2017-02-11,4299
2017-02-12,4299
2017-02-13,4299
2017-02-14,4265
2017-02-15,4265
2017-02-16,4265
2017-02-18,4056
2017-02-19,4056
2017-02-20,4056
2017-02-21,3853
2017-02-22,3853
2017-02-23,3853
2017-02-24,3853
2017-02-25,3890
2017-02-26,3890
2017-02-27,3890
2017-02-28,4085
2017-03-01,4085
2017-03-02,4085
2017-03-03,3980
2017-03-04,3980
2017-03-05,3980
2017-03-06,3790
2017-03-07,3790
2017-03-08,3790
2017-03-09,3790
2017-03-10,3602
2017-03-11,3602
2017-03-12,3602
2017-03-13,3520
2017-03-14,3520
2017-03-15,3520
2017-03-16,3501
2017-03-17,3501
2017-03-18,3501
2017-03-19,3414
2017-03-20,3414
2017-03-21,3414
2017-03-22,3415
2017-03-23,3415
2017-03-24,3415
2017-03-25,3424
2017-03-26,3424
2017-03-27,3424
2017-03-28,3309
2017-03-29,3309
2017-03-30,3309
2017-03-31,3316
2017-04-01,3316
2017-04-02,3316
2017-04-03,3195
2017-04-04,3195
2017-04-05,3195
2017-04-12,2964
2017-04-13,3050
2017-04-14,3050
2017-04-15,3050
2017-04-16,3156
2017-04-17,3156
2017-04-18,3156
2017-04-19,3130
2017-04-20,3130
2017-04-21,3130
2017-04-22,3130
2017-04-23,3170
2017-04-24,3170
2017-04-25,3170
2017-04-26,3215
2017-04-27,3215
2017-04-28,3215
2017-04-29,3222
2017-04-30,3222
2017-05-01,3222
2017-05-02,3241
2017-05-03,3241
2017-05-04,3241
2017-05-05,3096
2017-05-06,3096
2017-05-07,3096
2017-05-08,3096
2017-05-09,2942
2017-05-10,2942
2017-05-11,2942
2017-05-12,2942
2017-05-13,2848
2017-05-14,2848
2017-05-15,2848
2017-05-16,2848
2017-05-17,2843
2017-05-18,2843
2017-05-19,2843
2017-05-20,2729
2017-05-21,2729
2017-05-22,2729
2017-05-23,2729
2017-05-24,2670
2017-05-25,2670
2017-05-26,2670
2017-05-27,2739
2017-05-28,2739
2017-05-29,2739
2017-05-30,2739
2017-05-31,2827
2017-06-01,2827
2017-06-02,2827
2017-06-03,2826
2017-06-04,2826
2017-06-05,2826
2017-06-06,2819
2017-06-07,2819
2017-06-08,2819
2017-06-09,2819
2017-06-10,2861
2017-06-11,2861
2017-06-12,2861
2017-06-13,2956
2017-06-14,2956
2017-06-15,2956
2017-06-16,2934
2017-06-17,2934
2017-06-18,2934
2017-06-19,2934
2017-06-20,2832
2017-06-21,2832
2017-06-22,2832
2017-06-23,2832
2017-06-24,2878
2017-06-25,2878
2017-06-26,2878
2017-06-27,2939
2017-06-28,2939
2017-06-29,2939
2017-06-30,3074
2017-07-01,3074
2017-07-02,3074
2017-07-03,3177
2017-07-04,3177
2017-07-05,3177
2017-07-06,3225
2017-07-07,3225
2017-07-08,3225
2017-07-09,3245
2017-07-13,3101
2017-07-14,3101
2017-07-15,3101
2017-07-16,3046
2017-07-17,3046
2017-07-18,3046
2017-07-19,3034
2017-07-20,3034
2017-07-21,3034
2017-07-22,2932
2017-07-23,2932
2017-07-24,2932
2017-07-25,2932
2017-07-26,3016
2017-07-27,3016
2017-07-28,3016
2017-07-29,2917
2017-07-30,2917
2017-07-31,2917
2017-08-01,2983
2017-08-02,2983
2017-08-03,2983
2017-08-04,3102
2017-08-05,3102
2017-08-06,3102
2017-08-07,3179
2017-08-08,3179
2017-08-09,3179
2017-08-10,3141
2017-08-11,3141
2017-08-12,3141
2017-08-13,3141
2017-08-14,3100
2017-08-15,3100
2017-08-16,3100
2017-08-17,2965
2017-08-18,2965
2017-08-19,2965
2017-08-20,2965
2017-08-21,2842
2017-08-22,2842
2017-08-23,2842
2017-08-24,2800
2017-08-25,2800
2017-08-26,2800
