date_obj,Jade price
2015-03-04,8116
2015-03-05,8116
2015-03-06,7714
2015-03-07,7714
2015-03-08,7339
2015-03-09,7339
2015-03-10,6992
2015-03-11,6992
2015-03-12,6992
2015-03-13,6642
2015-03-14,6642
2015-03-15,6316
2015-03-16,6316
2015-03-17,6021
2015-03-18,6021
2015-03-19,6021
2015-03-20,5719
2015-03-21,5719
2015-03-22,5433
2015-03-23,5433
2015-03-24,5174
2015-03-25,5174
2015-03-26,4924
2015-03-27,4924
2015-03-28,4687
2015-03-29,4687
2015-03-30,4452
2015-03-31,4452
2015-04-01,4240
2015-04-02,4240
2015-04-03,4028
2015-04-04,4028
2015-04-05,3826
2015-04-06,3826
2015-04-07,3634
2015-04-08,3634
2015-04-09,3634
2015-04-10,3452
2015-04-11,3452
2015-04-12,3293
2015-04-13,3293
2015-04-14,3131
2015-04-15,3131
2015-04-16,2980
2015-04-17,2980
2015-04-18,2831
2015-04-19,2831
2015-04-20,2720
2015-04-21,2720
2015-04-22,2591
2015-04-23,2591
2015-04-24,2465
2015-04-25,2465
2015-04-26,2342
2015-04-27,2342
2015-04-28,2224
2015-04-29,2224
2015-04-30,2115
2015-05-01,2115
2015-05-02,2009
2015-05-03,2009
2015-05-04,1917
2015-05-05,1917
2015-05-06,1826
2015-05-07,1826
2015-05-08,1736
2015-05-09,1736
2015-05-10,1649
2015-05-11,1649
2015-05-12,1567
2015-05-13,1567
2015-05-14,1489
2015-05-15,1489
2015-05-16,1489
2015-05-17,1431
2015-05-18,1431
2015-05-19,1431
2015-05-20,1361
2015-05-21,1361
2015-05-22,1361
2015-05-23,1303
2015-05-24,1303
2015-05-25,1310
2015-05-26,1310
2015-05-27,1310
2015-05-28,1361
2015-05-29,1361
2015-05-30,1317
2015-05-31,1317
2015-06-01,1314
2015-06-02,1314
2015-06-03,1328
2015-06-04,1328
2015-06-05,1277
2015-06-06,1277
2015-06-07,1235
2015-06-08,1235
2015-06-09,1254
2015-06-10,1254
2015-06-11,1306
2015-06-12,1306
2015-06-13,1345
2015-06-14,1345
2015-06-15,1369
2015-06-16,1369
2015-06-17,1360
2015-06-18,1360
2015-06-19,1311
2015-06-20,1311
2015-06-21,1245
2015-06-22,1245
2015-06-23,1230
2015-06-24,1230
2015-06-25,1175
2015-06-26,1121
2015-06-27,1121
2015-06-28,1064
