date_obj,Axeman's%20folly price
2015-03-26,9800
2015-03-27,9800
2015-03-28,9800
2015-03-29,9800
2015-03-30,9800
2015-03-31,9800
2015-04-01,9800
2015-04-02,9800
2015-04-03,9800
2015-04-04,9800
2015-04-05,9800
2015-04-06,9800
2015-04-07,9800
2015-04-08,9800
2015-04-09,9800
2015-04-10,9800
2015-04-11,9800
2015-04-12,9800
2015-04-13,9800
2015-04-14,9800
2015-04-15,9800
2015-04-16,9800
2015-04-17,9426
2015-04-18,9426
2015-04-19,9426
2015-04-20,9426
2015-04-21,9426
2015-04-22,9426
2015-04-23,9426
2015-04-24,9426
2015-04-25,9426
2015-04-26,9426
2015-04-27,9426
2015-04-28,9426
2015-04-29,9426
2015-04-30,9426
2015-05-01,9426
2015-05-02,9426
2015-05-03,9426
2015-05-04,9426
2015-05-05,9426
2015-05-06,9426
2015-05-07,9426
2015-05-08,9426
2015-05-09,9426
2015-05-10,9426
2015-05-11,9426
2015-05-12,9426
2015-05-13,9426
2015-05-14,9456
2015-05-15,9456
2015-05-16,9456
2015-05-17,9456
2015-05-18,9456
2015-05-19,9456
2015-05-20,9456
2015-05-21,9456
2015-05-22,9456
2015-05-23,9456
2015-05-24,9456
2015-05-25,9456
2015-05-26,9456
2015-05-27,9456
2015-05-28,9456
2015-05-29,9456
2015-05-30,9456
2015-05-31,9064
2015-06-01,9064
2015-06-02,9064
2015-06-03,9064
2015-06-04,9064
2015-06-05,9064
2015-06-06,9064
2015-06-07,9064
2015-06-08,9064
2015-06-09,9064
2015-06-10,9064
2015-06-11,9064
2015-06-12,9064
2015-06-13,9064
2015-06-14,9064
2015-06-15,9064
2015-06-16,9064
2015-06-17,9064
2015-06-18,9064
2015-06-19,9064
2015-06-20,9064
2015-06-21,9064
2015-06-22,9064
2015-06-23,9064
2015-06-24,9064
2015-06-25,9064
2015-06-26,8636
2015-06-27,8636
2015-06-28,8636
2015-06-29,8636
2015-06-30,8636
2015-07-01,8636
2015-07-02,8636
2015-07-03,8636
2015-07-04,8636
2015-07-05,8636
2015-07-06,8636
2015-07-07,8636
2015-07-08,8636
2015-07-09,8636
2015-07-10,8636
2015-07-11,8636
2015-07-12,8636
2015-07-13,8636
2015-07-14,8636
2015-07-15,8636
2015-07-16,8636
2015-07-17,8636
2015-07-18,8636
2015-07-19,8636
2015-07-20,8636
2015-07-21,8636
2015-07-22,8636
2015-07-23,8636
2015-07-24,8225
2015-07-25,8225
2015-07-26,8225
2015-07-27,8225
2015-07-28,8225
2015-07-29,8225
2015-07-30,8225
2015-07-31,8225
2015-08-01,8225
2015-08-02,8225
2015-08-03,8225
2015-08-04,8225
2015-08-05,8225
2015-08-06,8225
2015-08-07,8225
2015-08-08,8225
2015-08-09,8225
2015-08-10,8225
2015-08-11,8225
2015-08-12,8225
2015-08-13,8225
2015-08-14,8225
2015-08-15,8225
2015-08-16,8225
2015-08-17,8225
2015-08-18,8225
2015-08-19,8225
2015-08-20,8225
2015-08-21,8225
2015-08-22,7826
2015-08-23,7826
2015-08-24,7826
2015-08-25,7826
2015-08-26,7826
2015-08-27,7826
2015-08-28,7826
2015-08-29,7826
2015-08-30,7826
2015-08-31,7826
2015-09-01,7826
2015-09-02,7826
2015-09-03,7826
2015-09-04,7826
2015-09-05,7826
2015-09-06,7826
2015-09-07,7826
2015-09-08,7826
2015-09-09,7826
2015-09-10,7826
2015-09-11,7826
2015-09-12,7826
2015-09-13,7826
2015-09-14,7826
2015-09-15,7826
2015-09-16,7826
2015-09-17,7826
2015-09-18,7826
2015-09-19,7826
2015-09-20,7826
2015-09-21,7826
2015-09-22,7826
2015-09-23,7826
2015-09-24,7826
2015-09-25,7826
2015-09-27,7826
2015-09-28,7826
2015-09-29,7826
2015-09-30,7450
2015-10-05,7450
2015-10-06,7450
2015-10-07,7450
2015-10-08,7450
2015-10-09,7450
2015-10-10,7450
2015-10-11,7450
2015-10-12,7450
2015-10-13,7450
2015-10-14,7450
2015-10-15,7450
2015-10-16,7450
2015-10-17,7450
2015-10-18,7450
2015-10-19,7450
2015-10-20,7450
2015-10-22,7450
2015-10-23,7450
2015-10-24,7450
2015-10-25,7450
2015-10-26,7450
2015-10-27,7450
2015-10-28,7450
2015-10-29,7450
2015-10-30,7450
2015-10-31,7160
2015-11-01,7160
2015-11-02,7160
2015-11-03,7160
2015-11-04,7160
2015-11-05,7160
2015-11-06,7160
2015-11-07,7160
2015-11-08,7160
2015-11-09,7160
2015-11-10,7160
2015-11-11,7160
2015-11-12,7160
2015-11-13,7160
2015-11-14,7160
2015-11-15,7160
2015-11-16,7160
2015-11-17,7160
2015-11-18,7160
2015-11-19,7160
2015-11-20,7160
2015-11-21,7160
2015-11-22,7160
2015-11-23,7160
2015-11-24,7160
2015-11-25,7160
2015-11-26,7160
2015-11-27,7160
2015-11-28,7160
2015-11-29,7160
2015-11-30,7160
2015-12-01,7160
2015-12-02,7160
2015-12-03,7160
2015-12-04,7160
2015-12-05,7160
2015-12-06,7160
2015-12-07,7160
2015-12-08,6925
