date_obj,Black%20cape price
2016-01-28,671
2016-01-29,671
2016-01-30,664
2016-01-31,664
2016-02-01,654
2016-02-02,654
2016-02-03,654
2016-02-04,635
2016-02-05,635
2016-02-06,618
2016-02-07,618
2016-02-08,618
2016-02-09,622
2016-02-10,622
2016-02-11,644
2016-02-12,644
2016-02-13,633
2016-02-14,633
2016-02-15,633
2016-02-16,636
2016-02-17,636
2016-02-18,636
2016-02-19,624
2016-02-20,624
2016-02-21,650
2016-02-22,650
2016-02-23,650
2016-02-24,678
2016-02-25,678
2016-02-26,680
2016-02-27,680
2016-02-28,700
2016-02-29,700
2016-03-01,734
2016-03-02,734
2016-03-03,734
2016-03-04,750
2016-03-05,750
2016-03-06,741
2016-03-07,741
2016-03-08,741
2016-03-09,759
2016-03-10,759
2016-03-11,767
2016-03-12,767
2016-03-13,760
2016-03-14,760
2016-03-15,760
2016-03-16,766
2016-03-17,766
2016-03-18,750
2016-03-19,750
2016-03-20,745
2016-03-21,745
2016-03-22,745
2016-03-23,742
2016-03-24,742
2016-03-25,711
2016-03-26,711
2016-03-27,693
2016-03-28,693
2016-03-29,675
2016-03-30,675
2016-03-31,675
2016-04-01,662
2016-04-02,662
2016-04-03,648
2016-04-04,648
2016-04-05,630
2016-04-06,630
2016-04-07,630
2016-04-08,613
2016-04-09,613
2016-04-10,616
2016-04-11,616
2016-04-12,616
2016-04-13,612
2016-04-14,612
2016-04-15,608
2016-04-16,608
2016-04-17,603
2016-04-18,603
2016-04-19,619
2016-04-20,619
2016-04-21,619
2016-04-22,628
2016-04-23,628
2016-04-24,633
2016-04-25,633
2016-04-26,627
2016-04-27,627
2016-04-28,600
2016-04-29,600
2016-04-30,600
2016-05-01,598
2016-05-02,598
2016-05-03,605
2016-05-04,605
2016-05-05,608
2016-05-06,608
2016-05-07,608
2016-05-08,579
2016-05-09,579
2016-05-10,556
2016-05-11,556
2016-05-12,556
2016-05-13,539
2016-05-14,539
2016-05-15,549
2016-05-16,549
2016-05-17,567
2016-05-18,567
2016-05-19,586
2016-05-22,606
2016-05-23,623
2016-05-24,623
2016-05-25,632
2016-05-26,632
2016-05-27,647
2016-05-28,647
2016-05-29,655
2016-05-30,655
2016-05-31,655
2016-06-01,640
2016-06-02,640
2016-06-03,640
2016-06-04,625
2016-06-05,625
2016-06-06,600
2016-06-07,600
2016-06-08,600
2016-06-09,570
2016-06-10,570
2016-06-11,542
2016-06-12,542
2016-06-13,542
2016-06-14,542
2016-06-15,528
2016-06-16,528
2016-06-17,521
2016-06-18,521
2016-06-19,506
2016-06-20,506
2016-06-21,481
2016-06-22,481
2016-06-23,462
2016-06-24,462
2016-06-25,440
2016-06-26,440
2016-06-27,440
2016-06-28,422
2016-06-29,422
2016-06-30,411
2016-07-01,411
2016-07-02,407
2016-07-03,407
