date_obj,Dragon%20sq%20shield price
2015-03-26,456155
2015-03-27,456155
2015-03-28,456155
2015-03-29,434576
2015-03-30,434576
2015-03-31,434576
2015-04-01,434576
2015-04-02,412847
2015-04-03,412847
2015-04-04,412847
2015-04-05,412847
2015-04-06,393084
2015-04-07,393084
2015-04-08,393084
2015-04-09,393084
2015-04-10,373856
2015-04-11,373856
2015-04-12,373856
2015-04-13,357272
2015-04-14,357272
2015-04-15,357272
2015-04-16,357272
2015-04-17,346945
2015-04-18,346945
2015-04-19,346945
2015-04-20,346945
2015-04-21,352044
2015-04-22,352044
2015-04-23,352044
2015-04-24,352044
2015-04-25,348315
2015-04-26,348315
2015-04-27,348315
2015-04-28,348315
2015-04-29,352826
2015-04-30,352826
2015-05-01,352826
2015-05-02,352826
2015-05-03,354497
2015-05-04,354497
2015-05-05,354497
2015-05-06,354497
2015-05-07,350498
2015-05-08,350498
2015-05-09,350498
2015-05-10,350498
2015-05-11,349692
2015-05-12,349692
2015-05-13,349692
2015-05-14,349692
2015-05-15,346370
2015-05-16,346370
2015-05-17,346370
2015-05-18,346370
2015-05-19,342683
2015-05-20,342683
2015-05-21,342683
2015-05-22,342683
2015-05-23,342683
2015-05-24,348010
2015-05-25,348010
2015-05-26,348010
2015-05-27,348010
2015-05-28,354207
2015-05-29,354207
2015-05-30,363015
2015-05-31,363015
2015-06-01,363015
2015-06-02,363015
2015-06-03,361959
2015-06-04,361959
2015-06-05,361959
2015-06-06,356512
2015-06-07,356512
2015-06-08,356512
2015-06-09,362701
2015-06-10,362701
2015-06-11,362701
2015-06-12,362701
2015-06-13,363239
2015-06-14,363239
2015-06-15,363239
2015-06-16,356741
2015-06-17,356741
2015-06-18,356741
2015-06-19,348654
2015-06-20,348654
2015-06-21,348654
2015-06-22,352574
2015-06-23,352574
2015-06-24,352574
2015-06-25,347707
2015-06-26,347707
2015-06-27,347707
2015-06-28,351857
2015-06-29,351857
2015-06-30,351857
2015-07-01,356227
2015-07-02,356227
2015-07-03,356227
2015-07-04,354583
2015-07-05,354583
2015-07-06,354583
2015-07-07,361081
2015-07-08,361081
2015-07-09,361081
2015-07-10,360069
2015-07-11,360069
2015-07-12,360069
2015-07-13,360069
2015-07-14,358654
2015-07-15,358654
2015-07-16,358654
2015-07-17,354030
2015-07-18,354030
2015-07-19,354030
2015-07-20,350406
2015-07-21,350406
2015-07-22,350406
2015-07-23,350075
2015-07-24,350075
2015-07-25,350075
2015-07-26,350254
2015-07-27,350254
2015-07-28,350254
2015-07-29,347827
2015-07-30,347827
2015-07-31,347827
2015-08-01,347827
2015-08-02,351671
2015-08-03,351671
2015-08-04,351671
2015-08-05,354482
2015-08-06,354482
2015-08-07,354482
2015-08-08,352948
2015-08-09,352948
2015-08-10,352948
2015-08-11,342682
2015-08-12,342682
2015-08-13,342682
2015-08-14,338541
2015-08-15,338541
2015-08-16,338541
2015-08-17,349273
2015-08-18,349273
2015-08-19,349273
2015-08-20,346081
2015-08-21,346081
2015-08-22,346081
2015-08-23,346295
2015-08-24,346295
2015-08-25,346295
2015-08-26,356150
2015-08-27,356150
2015-08-28,356150
2015-08-29,355490
2015-08-30,355490
2015-08-31,355490
2015-09-01,346831
2015-09-02,346831
2015-09-03,346831
2015-09-04,353146
2015-09-05,353146
2015-09-06,353146
2015-09-07,350674
2015-09-08,350674
2015-09-09,350674
2015-09-10,346597
2015-09-11,346597
2015-09-12,346597
2015-09-13,341862
2015-09-14,341862
2015-09-15,341862
2015-09-16,341862
2015-09-17,341587
2015-09-18,341587
2015-09-19,341587
2015-09-20,341587
2015-09-21,351665
2015-09-22,351665
2015-09-23,351665
2015-09-24,355499
2015-09-25,355499
2015-09-27,355499
2015-09-28,347882
2015-09-29,347882
2015-09-30,347882
2015-10-05,355843
2015-10-06,355843
2015-10-07,355843
2015-10-08,355843
2015-10-09,349320
2015-10-10,349320
2015-10-11,349320
2015-10-12,346273
2015-10-13,346273
2015-10-14,346273
2015-10-15,346273
2015-10-16,346223
2015-10-17,346223
2015-10-18,346223
2015-10-19,346223
