date_obj,Adamant%20axe price
2015-03-26,2057
2015-03-27,1961
2015-03-28,1862
2015-03-29,1799
2015-03-30,1710
2015-03-31,1625
2015-04-01,1543
2015-04-02,1466
2015-04-03,1405
2015-04-04,1335
2015-04-05,1268
2015-04-06,1204
2015-04-07,1143
2015-04-08,1085
2015-04-09,1037
2015-04-10,996
2015-04-11,970
2015-04-12,937
2015-04-13,934
2015-04-14,936
2015-04-15,916
2015-04-16,882
2015-04-17,852
2015-04-18,825
2015-04-19,823
2015-04-20,814
2015-04-21,785
2015-04-22,769
2015-04-23,762
2015-04-24,781
2015-04-25,796
2015-04-26,782
2015-04-27,779
2015-04-28,800
2015-04-29,817
2015-04-30,807
2015-05-01,796
2015-05-02,782
2015-05-03,792
2015-05-04,771
2015-05-05,763
2015-05-06,772
2015-05-07,804
2015-05-08,838
2015-05-09,866
2015-05-10,874
2015-05-11,865
2015-05-12,835
2015-05-13,827
2015-05-14,834
2015-05-15,831
2015-05-16,838
2015-05-17,865
2015-05-18,897
2015-05-19,905
2015-05-20,898
2015-05-21,927
2015-05-22,972
2015-05-23,1007
2015-05-24,1025
2015-05-25,1062
2015-05-26,1110
2015-05-27,1149
2015-05-28,1125
2015-05-29,1075
2015-05-30,1066
2015-05-31,1052
2015-06-01,1044
2015-06-02,1060
2015-06-03,1063
2015-06-04,1046
2015-06-05,1054
2015-06-06,1054
2015-06-07,1015
2015-06-08,991
2015-06-09,989
2015-06-10,999
2015-06-11,998
2015-06-12,984
2015-06-13,959
2015-06-14,960
2015-06-15,969
2015-06-16,970
2015-06-17,975
2015-06-18,978
2015-06-19,998
2015-06-20,988
2015-06-21,988
2015-06-22,1003
2015-06-23,1020
2015-06-24,1040
2015-06-25,1040
2015-06-26,1053
2015-06-27,1032
2015-06-28,1033
2015-06-29,1053
2015-06-30,1059
2015-07-01,1073
2015-07-02,1072
2015-07-03,1078
2015-07-04,1080
2015-07-05,1078
2015-07-06,1070
2015-07-07,1049
2015-07-08,1033
2015-07-09,1029
2015-07-10,1051
2015-07-11,1038
2015-07-12,1009
2015-07-13,980
2015-07-14,964
2015-07-15,967
2015-07-16,944
2015-07-17,902
2015-07-18,877
2015-07-19,874
2015-07-20,853
2015-07-21,842
2015-07-22,820
2015-07-23,791
2015-07-24,770
2015-07-25,770
2015-07-26,764
2015-07-27,727
2015-07-28,690
2015-07-29,682
2015-07-30,653
2015-07-31,620
2015-08-01,611
2015-08-02,601
2015-08-03,585
2015-08-04,581
2015-08-05,568
2015-08-06,578
2015-08-07,580
2015-08-08,588
2015-08-09,593
2015-08-10,595
2015-08-11,600
2015-08-12,610
2015-08-13,625
2015-08-14,640
2015-08-15,667
2015-08-16,686
2015-08-17,709
2015-08-18,735
2015-08-19,765
2015-08-20,802
2015-08-21,843
2015-08-22,886
2015-08-23,931
2015-08-24,978
2015-08-25,1014
2015-08-26,1063
2015-08-27,1117
2015-08-28,1133
2015-08-29,1121
2015-08-30,1119
2015-08-31,1152
2015-09-01,1206
2015-09-02,1249
2015-09-03,1261
2015-09-04,1241
2015-09-05,1218
2015-09-06,1229
2015-09-07,1208
2015-09-08,1187
2015-09-09,1187
2015-09-10,1196
2015-09-11,1195
2015-09-12,1224
2015-09-13,1224
2015-09-14,1206
2015-09-15,1220
2015-09-16,1234
2015-09-17,1241
2015-09-18,1232
2015-09-19,1233
2015-09-20,1215
2015-09-21,1190
2015-09-22,1160
2015-09-23,1164
2015-09-24,1171
2015-09-25,1206
2015-09-27,1210
2015-09-28,1222
2015-09-29,1227
2015-09-30,1224
2015-10-05,1291
2015-10-06,1316
