date_obj,Zenyte%20necklace price
2016-05-05,28023361
2016-05-06,28023361
2016-05-07,28023361
2016-05-08,28023361
2016-05-09,28023361
2016-05-10,28023361
2016-05-11,28023361
2016-05-12,28023361
2016-05-13,28023361
2016-05-14,28023361
2016-05-15,28023361
2016-05-16,28023361
2016-05-17,28023361
2016-05-18,28023361
2016-05-19,28023361
2016-05-22,28023361
2016-05-23,26965015
2016-05-24,26965015
2016-05-25,26965015
2016-05-26,26965015
2016-05-27,26965015
2016-05-28,26965015
2016-05-29,26965015
2016-05-30,26965015
2016-05-31,26965015
2016-06-01,26965015
2016-06-02,26965015
2016-06-03,26965015
2016-06-04,26965015
2016-06-05,26965015
2016-06-06,26965015
2016-06-07,26965015
2016-06-08,26965015
2016-06-09,26965015
2016-06-10,26965015
2016-06-11,26965015
2016-06-12,26965015
2016-06-13,26965015
2016-06-14,26965015
2016-06-15,26965015
2016-06-16,26965015
2016-06-17,26965015
2016-06-18,26965015
2016-06-19,26965015
2016-06-20,26965015
2016-06-21,26965015
2016-06-22,26965015
2016-06-23,26965015
2016-06-24,26965015
2016-06-25,26965015
2016-06-26,26965015
2016-06-27,26965015
2016-06-28,26965015
2016-06-29,26965015
2016-06-30,26965015
2016-07-01,26965015
2016-07-02,26965015
2016-07-03,26965015
2016-07-04,25641485
2016-07-05,25641485
2016-07-06,25641485
2016-07-07,25641485
2016-07-08,25641485
2016-07-09,25641485
2016-07-10,25641485
2016-07-11,25641485
2016-07-12,25641485
2016-07-13,25641485
2016-07-14,25641485
2016-07-15,25641485
2016-07-16,25641485
2016-07-17,25641485
2016-07-18,25641485
2016-07-24,25641485
2016-07-25,25641485
2016-07-26,25641485
2016-07-27,25641485
2016-07-28,25641485
2016-07-29,25641485
2016-07-30,25641485
2016-07-31,25641485
2016-08-01,25641485
2016-08-02,25641485
2016-08-03,25641485
2016-08-04,25641485
2016-08-05,25641485
2016-08-06,25641485
2016-08-07,25641485
2016-08-08,25641485
2016-08-09,25641485
2016-08-10,25641485
2016-08-11,25641485
2016-08-12,25641485
2016-08-13,25641485
2016-08-14,25641485
2016-08-15,25641485
2016-08-16,25641485
2016-08-17,25641485
2016-08-18,25641485
2016-08-19,25641485
2016-08-20,25641485
2016-08-21,25641485
2016-08-22,25641485
2016-08-23,25641485
2016-08-24,25641485
2016-08-25,25641485
2016-08-26,25641485
2016-08-28,25641485
2016-08-31,25641485
2016-09-01,25641485
2016-09-02,25641485
2016-09-03,25641485
2016-09-04,25641485
2016-09-05,24408493
2016-09-06,24408493
2016-09-07,24408493
2016-09-08,24408493
2016-09-09,24408493
2016-09-10,24408493
2016-09-11,24408493
2016-09-12,24408493
2016-09-13,24408493
2016-09-14,24408493
2016-09-15,24408493
2016-09-16,24408493
2016-09-17,24408493
2016-09-18,24408493
2016-09-19,24408493
2016-09-20,24408493
2016-09-21,24408493
2016-09-22,24408493
2016-09-23,24408493
2016-09-24,24408493
2016-09-25,24408493
2016-09-26,24408493
2016-09-27,24408493
2016-09-28,24408493
2016-09-29,24408493
2016-09-30,24408493
2016-10-01,24408493
2016-10-02,24408493
2016-10-03,24408493
2016-10-04,24408493
2016-10-05,24408493
2016-10-06,24408493
2016-10-07,24408493
2016-10-08,24408493
2016-10-09,24408493
2016-10-10,24408493
2016-10-11,24408493
2016-10-12,24408493
2016-10-13,24408493
2016-10-14,24408493
2016-10-15,24408493
2016-10-16,24408493
2016-10-17,23196349
2016-10-18,23196349
2016-10-19,23196349
2016-10-20,23196349
2016-10-21,23196349
2016-10-22,23196349
2016-10-23,23196349
2016-10-24,23196349
2016-10-25,23196349
2016-10-26,23196349
2016-10-27,23196349
2016-10-28,23196349
2016-10-29,23196349
2016-10-30,23196349
2016-10-31,23196349
2016-11-01,23196349
2016-11-02,23196349
2016-11-03,23196349
2016-11-04,23196349
2016-11-05,23196349
2016-11-06,23196349
2016-11-07,23196349
2016-11-08,23196349
2016-11-09,23196349
2016-11-10,23196349
2016-11-11,23196349
2016-11-12,23196349
2016-11-13,23196349
2016-11-14,23196349
2016-12-08,22051927
2016-12-09,22051927
2016-12-10,22051927
