date_obj,Adamant%20claws price
2015-03-26,14300
2015-03-27,14300
2015-03-28,14300
2015-03-29,14300
2015-03-30,14300
2015-03-31,14300
2015-04-01,14300
2015-04-02,14300
2015-04-03,14300
2015-04-04,14300
2015-04-05,14300
2015-04-06,14300
2015-04-07,14300
2015-04-08,14300
2015-04-09,14300
2015-04-10,14300
2015-04-11,14300
2015-04-12,14300
2015-04-13,14300
2015-04-14,14300
2015-04-15,14300
2015-04-16,14300
2015-04-17,14300
2015-04-18,14300
2015-04-19,14300
2015-04-20,14300
2015-04-21,14300
2015-04-22,14300
2015-04-23,14300
2015-04-24,14300
2015-04-25,14468
2015-04-26,14468
2015-04-27,14468
2015-04-28,14468
2015-04-29,14468
2015-04-30,14468
2015-05-01,14468
2015-05-02,14468
2015-05-03,14468
2015-05-04,14468
2015-05-05,14468
2015-05-06,14468
2015-05-07,14468
2015-05-08,14468
2015-05-09,14468
2015-05-10,14468
2015-05-11,14468
2015-05-12,14468
2015-05-13,14468
2015-05-14,14468
2015-05-15,14468
2015-05-16,14468
2015-05-17,14468
2015-05-18,14468
2015-05-19,14468
2015-05-20,14468
2015-05-21,14468
2015-05-22,14468
2015-05-23,14468
2015-05-24,14468
2015-05-25,14468
2015-05-26,14468
2015-05-27,14468
2015-05-28,14468
2015-05-29,14468
2015-05-30,14468
2015-05-31,14468
2015-06-01,14468
2015-06-02,14468
2015-06-03,14468
2015-06-04,14468
2015-06-05,14468
2015-06-06,14468
2015-06-07,14468
2015-06-08,14468
2015-06-09,14468
2015-06-10,14468
2015-06-11,14468
2015-06-12,14468
2015-06-13,14468
2015-06-14,14468
2015-06-15,14468
2015-06-16,14468
2015-06-17,14468
2015-06-18,14468
2015-06-19,14468
2015-06-20,14468
2015-06-21,14468
2015-06-22,14468
2015-06-23,14468
2015-06-24,14468
2015-06-25,14468
2015-06-26,14468
2015-06-27,14468
2015-06-28,14062
2015-06-29,14062
2015-06-30,14062
2015-07-01,14062
2015-07-02,14062
2015-07-03,14062
2015-07-04,14062
2015-07-05,14062
2015-07-06,14062
2015-07-07,14062
2015-07-08,14062
2015-07-09,14062
2015-07-10,14062
2015-07-11,14062
2015-07-12,14062
2015-07-13,14062
2015-07-14,14062
2015-07-15,14062
2015-07-16,14062
2015-07-17,14062
2015-07-18,14062
2015-07-19,14062
2015-07-20,14062
2015-07-21,14062
2015-07-22,14062
2015-07-23,14062
2015-07-24,14062
2015-07-25,14062
2015-07-26,14062
2015-07-27,14062
2015-07-28,14062
2015-07-29,14062
2015-07-30,14062
2015-07-31,14062
2015-08-01,14062
2015-08-02,14062
2015-08-03,14062
2015-08-04,14062
2015-08-05,14062
2015-08-06,14062
2015-08-07,14062
2015-08-08,14062
2015-08-09,14062
2015-08-10,14062
2015-08-11,14062
2015-08-12,14062
2015-08-13,14062
2015-08-14,14062
2015-08-15,14062
2015-08-16,14062
2015-08-17,14062
2015-08-18,14062
2015-08-19,14062
2015-08-20,14062
2015-08-21,14062
2015-08-22,14062
2015-08-23,14062
2015-08-24,14062
2015-08-25,14062
2015-08-26,14062
2015-08-27,14062
2015-08-28,14062
2015-08-29,13374
2015-08-30,13374
2015-08-31,13374
2015-09-01,13374
2015-09-02,13374
2015-09-03,13374
2015-09-04,13374
2015-09-05,13374
2015-09-06,13374
2015-09-07,13374
2015-09-08,13374
2015-09-09,13374
2015-09-10,13374
2015-09-11,13374
2015-09-12,13374
2015-09-13,13374
2015-09-14,13374
2015-09-15,13374
2015-09-16,13374
2015-09-17,13374
2015-09-18,13374
2015-09-19,13374
2015-09-20,13374
2015-09-21,13374
2015-09-22,13374
2015-09-23,13374
2015-09-24,13374
2015-09-25,13374
2015-09-27,13374
2015-09-28,13374
2015-09-29,13374
2015-09-30,13374
2015-10-05,13374
2015-10-06,13374
2015-10-07,13374
2015-10-08,13374
2015-10-09,13374
2015-10-10,13374
2015-10-11,13374
2015-10-12,13374
2015-10-13,13374
2015-10-14,13374
2015-10-15,13374
2015-10-16,13374
2015-10-17,13374
2015-10-18,13374
2015-10-19,13374
2015-10-20,13374
2015-10-22,13374
2015-10-23,13374
2015-10-24,13374
2015-10-25,13374
2015-10-26,13374
2015-10-27,12721
2015-10-28,12721
2015-10-29,12721
2015-10-30,12721
2015-10-31,12721
2015-11-01,12721
2015-11-02,12721
2015-11-03,12721
2015-11-04,12721
2015-11-05,12721
2015-11-06,12721
2015-11-07,12721
2015-11-08,12721
2015-11-09,12721
2015-11-10,12721
2015-11-11,12721
2015-11-12,12721
2015-11-13,12721
