date_obj,Godsword%20shard%203 price
2015-03-26,169900
2015-03-27,169900
2015-03-28,169900
2015-03-29,169900
2015-03-30,169900
2015-03-31,169900
2015-04-01,169900
2015-04-02,169900
2015-04-03,167772
2015-04-04,167772
2015-04-05,167772
2015-04-06,167772
2015-04-07,167772
2015-04-08,167772
2015-04-09,167772
2015-04-10,168856
2015-04-11,168856
2015-04-12,168856
2015-04-13,168856
2015-04-14,168856
2015-04-15,168856
2015-04-16,168856
2015-04-17,173238
2015-04-18,173238
2015-04-19,173238
2015-04-20,173238
2015-04-21,173238
2015-04-22,173238
2015-04-23,169356
2015-04-24,169356
2015-04-25,169356
2015-04-26,169356
2015-04-27,169356
2015-04-28,169356
2015-04-29,169356
2015-04-30,168345
2015-05-01,168345
2015-05-02,168345
2015-05-03,168345
2015-05-04,168345
2015-05-05,168345
2015-05-06,171522
2015-05-07,171522
2015-05-08,171522
2015-05-09,171522
2015-05-10,171522
2015-05-11,171522
2015-05-12,171522
2015-05-13,171522
2015-05-14,169845
2015-05-15,169845
2015-05-16,169845
2015-05-17,169845
2015-05-18,169845
2015-05-19,169845
2015-05-20,169845
2015-05-21,169845
2015-05-22,169845
2015-05-23,169845
2015-05-24,168158
2015-05-25,168158
2015-05-26,168158
2015-05-27,168158
2015-05-28,168158
2015-05-29,169932
2015-05-30,169932
2015-05-31,169932
2015-06-01,169932
2015-06-02,174698
2015-06-03,174698
2015-06-04,174698
2015-06-05,174698
2015-06-06,174698
2015-06-07,178449
2015-06-08,178449
2015-06-09,178449
2015-06-10,178449
2015-06-11,178449
2015-06-12,174550
2015-06-13,174550
2015-06-14,174550
2015-06-15,174550
2015-06-16,170561
2015-06-17,170561
2015-06-18,170561
2015-06-19,170561
2015-06-20,165777
2015-06-21,165777
2015-06-22,165777
2015-06-23,165777
2015-06-24,169882
2015-06-25,169882
2015-06-26,169882
2015-06-27,169882
2015-06-28,170248
2015-06-29,170248
2015-06-30,170248
2015-07-01,170248
2015-07-02,170248
2015-07-03,167573
2015-07-04,167573
2015-07-05,167573
2015-07-06,167573
2015-07-07,167573
2015-07-08,167005
2015-07-09,167005
2015-07-10,167005
2015-07-11,167005
2015-07-12,167005
2015-07-13,165942
2015-07-14,165942
2015-07-15,165942
2015-07-16,165942
2015-07-17,165942
2015-07-18,169159
2015-07-19,169159
2015-07-20,169159
2015-07-21,169159
2015-07-22,175256
2015-07-23,175256
2015-07-24,175256
