date_obj,Snape%20grass price
2015-03-26,41
2015-03-27,41
2015-03-28,38
2015-03-29,36
2015-03-30,34
2015-03-31,32
2015-04-01,32
2015-04-02,33
2015-04-03,33
2015-04-04,34
2015-04-05,34
2015-04-06,33
2015-04-07,32
2015-04-08,33
2015-04-09,35
2015-04-10,35
2015-04-11,37
2015-04-12,39
2015-04-13,41
2015-04-14,43
2015-04-15,43
2015-04-16,41
2015-04-17,41
2015-04-18,41
2015-04-19,41
2015-04-20,38
2015-04-21,37
2015-04-22,37
2015-04-23,37
2015-04-24,38
2015-04-25,37
2015-04-26,36
2015-04-27,37
2015-04-28,37
2015-04-29,37
2015-04-30,36
2015-05-01,34
2015-05-02,35
2015-05-03,35
2015-05-04,35
2015-05-05,35
2015-05-06,36
2015-05-07,35
2015-05-08,35
2015-05-09,35
2015-05-10,34
2015-05-11,35
2015-05-12,35
2015-05-13,34
2015-05-14,33
2015-05-15,33
2015-05-16,33
2015-05-17,33
2015-05-18,35
2015-05-19,36
2015-05-20,36
2015-05-21,37
2015-05-22,37
2015-05-23,38
2015-05-24,38
2015-05-25,37
2015-05-26,36
2015-05-27,36
2015-05-28,38
2015-05-29,38
2015-05-30,39
2015-05-31,40
2015-06-01,40
2015-06-02,40
2015-06-03,41
2015-06-04,41
2015-06-05,40
2015-06-06,40
2015-06-07,40
2015-06-08,39
2015-06-09,39
2015-06-10,39
2015-06-11,39
2015-06-12,38
2015-06-13,38
2015-06-14,37
2015-06-15,36
2015-06-16,35
2015-06-17,33
2015-06-18,32
2015-06-19,31
2015-06-20,32
2015-06-21,31
2015-06-22,31
2015-06-23,32
2015-06-24,32
2015-06-25,30
2015-06-26,30
2015-06-27,30
2015-06-28,30
2015-06-29,28
2015-06-30,26
2015-07-01,25
2015-07-02,25
2015-07-03,25
2015-07-04,25
2015-07-05,26
2015-07-06,28
2015-07-07,29
2015-07-08,30
2015-07-09,30
2015-07-10,32
2015-07-11,34
2015-07-12,35
2015-07-13,35
2015-07-14,35
2015-07-15,34
2015-07-16,32
2015-07-17,31
2015-07-18,31
2015-07-19,32
2015-07-20,32
2015-07-21,31
2015-07-22,30
2015-07-23,30
2015-07-24,30
2015-07-25,30
2015-07-26,30
2015-07-27,30
2015-07-28,30
2015-07-29,30
2015-07-30,31
2015-07-31,32
2015-08-01,34
2015-08-02,33
2015-08-03,33
2015-08-04,32
2015-08-05,32
2015-08-06,32
2015-08-07,32
2015-08-08,31
2015-08-09,32
2015-08-10,33
2015-08-11,33
2015-08-12,33
2015-08-13,33
2015-08-14,33
2015-08-15,33
2015-08-16,34
2015-08-17,34
2015-08-18,35
2015-08-19,34
2015-08-20,33
2015-08-21,34
2015-08-22,33
2015-08-23,32
2015-08-24,30
2015-08-25,30
2015-08-26,30
2015-08-27,29
2015-08-28,30
2015-08-29,29
2015-08-30,29
2015-08-31,28
2015-09-01,27
2015-09-02,27
2015-09-03,28
2015-09-04,28
2015-09-05,28
