date_obj,Loop%20half%20of%20key price
2015-03-26,5797
2015-03-27,5797
2015-03-28,6003
2015-03-29,6293
2015-03-30,6336
2015-03-31,6056
2015-04-01,5834
2015-04-02,5805
2015-04-03,5743
2015-04-04,5550
2015-04-05,5378
2015-04-06,5367
2015-04-07,5359
2015-04-08,5372
2015-04-09,5431
2015-04-10,5529
2015-04-11,5584
2015-04-12,5584
2015-04-13,5645
2015-04-14,5698
2015-04-15,5958
2015-04-16,6090
2015-04-17,6312
2015-04-18,6520
2015-04-19,6558
2015-04-20,6652
2015-04-21,6872
2015-04-22,7216
2015-04-23,7555
2015-04-24,7573
2015-04-25,7295
2015-04-26,6930
2015-04-27,6619
2015-04-28,6914
2015-04-29,7157
2015-04-30,7513
2015-05-01,7481
2015-05-02,7656
2015-05-03,7762
2015-05-04,7792
2015-05-05,7452
2015-05-06,7147
2015-05-07,6817
2015-05-08,6482
2015-05-09,6516
2015-05-10,6324
2015-05-11,6155
2015-05-12,6204
2015-05-13,6223
2015-05-14,5920
2015-05-15,5707
2015-05-16,5729
2015-05-17,5824
2015-05-18,5727
2015-05-19,5495
2015-05-20,5449
2015-05-21,5656
2015-05-22,5939
2015-05-23,6225
2015-05-24,6346
2015-05-25,6361
2015-05-26,6234
2015-05-27,6133
2015-05-28,6012
2015-05-29,5887
2015-05-30,5852
2015-05-31,5778
2015-06-01,5832
2015-06-02,5850
2015-06-03,5911
2015-06-04,5919
2015-06-05,5851
2015-06-06,5706
2015-06-07,5842
2015-06-08,5613
2015-06-09,5348
2015-06-10,5297
2015-06-11,5150
2015-06-12,5038
2015-06-13,4941
2015-06-14,4908
2015-06-15,4920
2015-06-16,4905
2015-06-17,4889
2015-06-18,4905
2015-06-19,4886
2015-06-20,5117
2015-06-21,5371
2015-06-22,5640
2015-06-23,5744
2015-06-24,5719
2015-06-25,5983
2015-06-26,5987
2015-06-27,5943
2015-06-28,5719
2015-06-29,5522
2015-06-30,5570
2015-07-01,5595
2015-07-02,5746
2015-07-03,5981
2015-07-04,6096
2015-07-05,6258
2015-07-06,6496
2015-07-07,6614
2015-07-08,6681
2015-07-09,6736
2015-07-10,6933
2015-07-11,7002
2015-07-12,6980
2015-07-13,6769
2015-07-14,6711
2015-07-15,6589
2015-07-16,6653
2015-07-17,6778
2015-07-18,6773
2015-07-19,6644
2015-07-20,6651
2015-07-21,6679
2015-07-22,6740
2015-07-23,6770
2015-07-24,6803
2015-07-25,6737
2015-07-26,6597
2015-07-27,6461
2015-07-28,6548
2015-07-29,6691
2015-07-30,6702
2015-07-31,6528
2015-08-01,6356
2015-08-02,6418
2015-08-03,6631
2015-08-04,6806
2015-08-05,6939
2015-08-06,7054
2015-08-07,7252
2015-08-08,7582
2015-08-09,7660
2015-08-10,7726
2015-08-11,7856
2015-08-12,7931
2015-08-13,8010
2015-08-14,8131
2015-08-15,7971
2015-08-16,8057
2015-08-17,8292
2015-08-18,8271
2015-08-19,8645
2015-08-20,8692
2015-08-21,8648
2015-08-22,8750
2015-08-23,8763
2015-08-24,8922
2015-08-25,8922
2015-08-26,8983
2015-08-27,9124
2015-08-28,9030
2015-08-29,9052
2015-08-30,8945
2015-08-31,8906
2015-09-01,8628
2015-09-02,8629
2015-09-03,8759
2015-09-04,8670
2015-09-05,8806
2015-09-06,9005
2015-09-07,9093
2015-09-08,9225
2015-09-09,9363
2015-09-10,9566
2015-09-11,9851
2015-09-12,9989
2015-09-13,10024
2015-09-14,10064
2015-09-15,9960
2015-09-16,10226
2015-09-17,10032
2015-09-18,9819
2015-09-19,9980
2015-09-20,10334
2015-09-21,10663
2015-09-22,10662
2015-09-23,10821
2015-09-24,10963
2015-09-25,10818
2015-09-27,10106
2015-09-28,9783
2015-09-29,9935
2015-09-30,9645
2015-10-05,8555
2015-10-06,8676
2015-10-07,8702
2015-10-08,8928
2015-10-09,8916
2015-10-10,8956
2015-10-11,8708
2015-10-12,8722
2015-10-13,9159
2015-10-14,9600
2015-10-15,10080
2015-10-16,10584
2015-10-17,10856
2015-10-18,11063
2015-10-19,11119
2015-10-20,10563
2015-10-22,9557
2015-10-23,9174
2015-10-24,9448
2015-10-25,9817
2015-10-26,9434
2015-10-27,9146
2015-10-29,9112
2015-10-30,8937
2015-10-31,9175
2015-11-01,9076
2015-11-02,9150
2015-11-03,9209
2015-11-04,9331
2015-11-05,9533
2015-11-06,9593
2015-11-07,9312
2015-11-08,9088
2015-11-09,9001
2015-11-10,8797
2015-11-11,8653
2015-11-12,8966
2015-11-13,9282
2015-11-14,9461
2015-11-15,9279
2015-11-16,9283
2015-11-17,9194
2015-11-18,9113
2015-11-19,8926
2015-11-20,8738
2015-11-21,8738
2015-11-22,8399
2015-11-23,8399
2015-11-24,8328
2015-11-25,8264
2015-11-26,8264
2015-11-27,8237
2015-11-28,7917
2015-11-29,7789
2015-11-30,7987
2015-12-01,8070
2015-12-02,8250
2015-12-03,8642
2015-12-04,8918
2015-12-05,8925
2015-12-06,8797
2015-12-07,8893
2015-12-08,9001
2015-12-09,9020
2015-12-10,8859
2015-12-11,8594
2015-12-12,8321
2015-12-13,8263
2015-12-14,8677
2015-12-15,9105
2015-12-16,9525
2015-12-17,9830
2015-12-18,10321
2015-12-19,10838
2015-12-20,11380
2015-12-21,11949
2015-12-22,12460
2015-12-23,12701
2015-12-24,12801
2015-12-25,13142
2015-12-26,13800
2015-12-27,14488
2015-12-28,15213
2015-12-29,15974
2015-12-30,16773
2015-12-31,17612
2016-01-01,18493
2016-01-02,19405
2016-01-03,19815
2016-01-04,19673
2016-01-05,19353
2016-01-06,19821
2016-01-07,19847
2016-01-08,20039
2016-01-09,20108
2016-01-10,20219
2016-01-11,20366
2016-01-12,20410
2016-01-13,20606
2016-01-14,20724
2016-01-15,20979
2016-01-16,21072
2016-01-17,20329
2016-01-18,20298
2016-01-19,20301
2016-01-20,20476
2016-01-21,20456
2016-01-22,20011
2016-01-23,19812
2016-01-24,20082
2016-01-25,20232
2016-01-26,20353
2016-01-27,20285
2016-01-28,20359
2016-01-29,21016
2016-01-30,20908
2016-01-31,20747
2016-02-01,19735
2016-02-02,18871
2016-02-03,18269
2016-02-04,17357
2016-02-05,17222
2016-02-06,16828
2016-02-07,15986
2016-02-08,15186
2016-02-09,14426
2016-02-10,13704
2016-02-11,13018
2016-02-12,12371
2016-02-13,11995
2016-02-14,11527
2016-02-15,11052
2016-02-16,10577
2016-02-17,10256
2016-02-18,10383
2016-02-19,10829
2016-02-20,11312
2016-02-21,11585
2016-02-22,12157
2016-02-23,12358
2016-02-24,12510
2016-02-25,12087
2016-02-26,11533
2016-02-27,11080
2016-02-28,10701
2016-02-29,10554
2016-03-01,10643
2016-03-02,10720
2016-03-03,10758
2016-03-04,10652
2016-03-05,10280
2016-03-06,10466
2016-03-07,9959
2016-03-08,9820
2016-03-09,9329
