date_obj,Bucket%20of%20sand price
2015-03-26,53
2015-03-27,53
2015-03-28,54
2015-03-29,54
2015-03-30,53
2015-03-31,53
2015-04-01,54
2015-04-02,54
2015-04-03,53
2015-04-04,53
2015-04-05,52
2015-04-06,52
2015-04-07,53
2015-04-08,53
2015-04-09,53
2015-04-10,53
2015-04-11,54
2015-04-12,54
2015-04-13,54
2015-04-14,54
2015-04-15,54
2015-04-16,54
2015-04-17,52
2015-04-18,52
2015-04-19,49
2015-04-20,49
2015-04-21,47
2015-04-22,47
2015-04-23,45
2015-04-24,45
2015-04-25,42
2015-04-26,42
2015-04-27,40
2015-04-28,40
2015-04-29,39
2015-04-30,39
2015-05-01,40
2015-05-02,40
2015-05-03,41
2015-05-04,41
2015-05-05,42
2015-05-06,42
2015-05-07,40
2015-05-08,40
2015-05-09,41
2015-05-10,41
2015-05-11,43
2015-05-12,43
2015-05-13,44
2015-05-14,44
2015-05-15,44
2015-05-16,44
2015-05-17,46
2015-05-18,46
2015-05-19,46
2015-05-20,46
2015-05-21,46
2015-05-22,49
2015-05-23,49
2015-05-24,52
2015-05-25,52
2015-05-26,53
2015-05-27,53
2015-05-28,53
2015-05-29,53
2015-05-30,51
2015-05-31,51
2015-06-01,51
2015-06-02,51
2015-06-03,49
2015-06-04,49
2015-06-05,47
2015-06-06,45
2015-06-07,44
2015-06-08,44
2015-06-09,44
2015-06-10,42
2015-06-11,42
2015-06-12,40
2015-06-13,39
2015-06-14,38
2015-06-15,38
2015-06-16,38
2015-06-17,38
2015-06-18,37
2015-06-19,37
2015-06-20,36
2015-06-21,36
2015-06-22,37
2015-06-23,37
2015-06-24,39
2015-06-25,39
2015-06-26,40
2015-06-27,40
2015-06-28,38
2015-06-29,38
2015-06-30,37
2015-07-01,39
2015-07-02,39
2015-07-03,40
2015-07-04,40
2015-07-05,40
2015-07-06,40
2015-07-07,41
2015-07-08,43
2015-07-09,43
2015-07-10,45
2015-07-11,45
2015-07-12,46
2015-07-13,46
2015-07-14,43
2015-07-15,41
2015-07-16,41
2015-07-17,38
2015-07-18,38
2015-07-19,36
2015-07-20,37
2015-07-21,37
2015-07-22,37
2015-07-23,37
2015-07-24,37
2015-07-25,37
2015-07-26,38
2015-07-27,37
2015-07-28,39
2015-07-29,41
2015-07-30,41
2015-07-31,43
2015-08-01,43
2015-08-02,45
2015-08-03,45
2015-08-04,47
2015-08-05,47
2015-08-06,47
2015-08-07,46
2015-08-08,47
2015-08-09,46
2015-08-10,46
2015-08-11,44
2015-08-12,44
2015-08-13,44
2015-08-14,42
2015-08-15,42
2015-08-16,40
2015-08-17,41
2015-08-18,43
2015-08-19,41
2015-08-20,41
2015-08-21,39
2015-08-22,39
2015-08-23,39
2015-08-24,41
2015-08-25,41
2015-08-26,43
2015-08-27,44
2015-08-28,44
2015-08-29,44
2015-08-30,44
2015-08-31,44
2015-09-01,42
2015-09-02,42
2015-09-03,42
2015-09-04,41
2015-09-05,41
2015-09-06,38
2015-09-07,37
2015-09-08,37
2015-09-09,37
2015-09-10,37
2015-09-11,37
2015-09-12,37
2015-09-13,39
2015-09-14,39
2015-09-15,40
2015-09-16,40
2015-09-17,41
2015-09-18,41
2015-09-19,41
2015-09-20,41
2015-09-21,41
2015-09-22,44
2015-09-23,46
2015-09-24,46
2015-09-25,48
2015-09-27,51
2015-09-28,54
2015-09-29,54
2015-09-30,56
2015-10-05,58
2015-10-06,59
2015-10-07,59
2015-10-08,61
2015-10-09,62
2015-10-10,62
2015-10-11,63
2015-10-12,60
2015-10-13,60
2015-10-14,60
2015-10-15,61
2015-10-16,59
2015-10-17,59
2015-10-18,58
2015-10-19,56
2015-10-20,54
2015-10-22,54
2015-10-23,51
2015-10-24,51
2015-10-25,50
2015-10-26,49
2015-10-27,49
2015-10-29,49
2015-10-30,50
2015-10-31,50
2015-11-01,50
2015-11-02,52
2015-11-03,52
2015-11-04,53
2015-11-05,53
2015-11-06,52
2015-11-07,54
2015-11-08,54
