date_obj,Pyre%20logs price
2015-03-26,16500
2015-03-27,16500
2015-03-28,16500
2015-03-29,16500
2015-03-30,16500
2015-03-31,16500
2015-04-01,16500
2015-04-02,16500
2015-04-03,16500
2015-04-04,16500
2015-04-05,16500
2015-04-06,16500
2015-04-07,16500
2015-04-08,16500
2015-04-09,16500
2015-04-10,16500
2015-04-11,16500
2015-04-12,16500
2015-04-13,16500
2015-04-14,16500
2015-04-15,16500
2015-04-16,16500
2015-04-17,16500
2015-04-18,16500
2015-04-19,16500
2015-04-20,16500
2015-04-21,16500
2015-04-22,16500
2015-04-23,16500
2015-04-24,16500
2015-04-25,16500
2015-04-26,16500
2015-04-27,16500
2015-04-28,16500
2015-04-29,16500
2015-04-30,16500
2015-05-01,16500
2015-05-02,16500
2015-05-03,16500
2015-05-04,16500
2015-05-05,16500
2015-05-06,15732
2015-05-07,15732
2015-05-08,15732
2015-05-09,15732
2015-05-10,15732
2015-05-11,15732
2015-05-12,15732
2015-05-13,15732
2015-05-14,15732
2015-05-15,15732
2015-05-16,15732
2015-05-17,15732
2015-05-18,15732
2015-05-19,15732
2015-05-20,15732
2015-05-21,15732
2015-05-22,15732
2015-05-23,15732
2015-05-24,15732
2015-05-25,15732
2015-05-26,15732
2015-05-27,15732
2015-05-28,15732
2015-05-29,15732
2015-05-30,15732
2015-05-31,15732
2015-06-01,15732
2015-06-02,15732
2015-06-03,15732
2015-06-04,15732
2015-06-05,15732
2015-06-06,15732
2015-06-07,15732
2015-06-08,15732
2015-06-09,15732
2015-06-10,15732
2015-06-11,15732
2015-06-12,15732
2015-06-13,15732
2015-06-14,15732
2015-06-15,15732
2015-06-16,15732
2015-06-17,15732
2015-06-18,15732
2015-06-19,15732
2015-06-20,15732
2015-06-21,15732
2015-06-22,15732
2015-06-23,15732
2015-06-24,14957
2015-06-25,14957
2015-06-26,14957
2015-06-27,14957
2015-06-28,14957
2015-06-29,14957
2015-06-30,14957
2015-07-01,14957
2015-07-02,14957
2015-07-03,14957
2015-07-04,14957
2015-07-05,14957
2015-07-06,14957
2015-07-07,14957
2015-07-08,14957
2015-07-09,14957
2015-07-10,14957
2015-07-11,14957
2015-07-12,14957
2015-07-13,14957
2015-07-14,14957
2015-07-15,14957
2015-07-16,14957
2015-07-17,14957
2015-07-18,14957
2015-07-19,14957
2015-07-20,14957
2015-07-21,14957
2015-07-22,14957
2015-07-23,14957
2015-07-24,14957
2015-07-25,14957
2015-07-26,14957
2015-07-27,14957
2015-07-28,14957
2015-07-29,14957
2015-07-30,14957
2015-07-31,14957
2015-08-01,14957
2015-08-02,14258
2015-08-03,14258
2015-08-04,14258
2015-08-05,14258
2015-08-06,14258
2015-08-07,14258
2015-08-08,14258
2015-08-09,14258
2015-08-10,14258
2015-08-11,14258
2015-08-12,14258
2015-08-13,14258
2015-08-14,14258
2015-08-15,14258
2015-08-16,14258
2015-08-17,14258
2015-08-18,14258
2015-08-19,14258
2015-08-20,14258
2015-08-21,14258
2015-08-22,14258
2015-08-23,14258
2015-08-24,14258
2015-08-25,14258
2015-08-26,14258
2015-08-27,14258
2015-08-28,14258
2015-08-29,14258
2015-08-30,14258
2015-08-31,14258
2015-09-01,14258
2015-09-02,14258
2015-09-03,14258
2015-09-04,14258
2015-09-05,14258
2015-09-06,14258
2015-09-07,14258
2015-09-08,14258
2015-09-09,13546
2015-09-10,13546
2015-09-11,13546
2015-09-12,13546
2015-09-13,13546
2015-09-14,13546
