date_obj,Gold%20ore price
2015-03-26,254
2015-03-27,255
2015-03-28,256
2015-03-29,259
2015-03-30,262
2015-03-31,260
2015-04-01,263
2015-04-02,262
2015-04-03,266
2015-04-04,273
2015-04-05,282
2015-04-06,278
2015-04-07,283
2015-04-08,282
2015-04-09,276
2015-04-10,271
2015-04-11,266
2015-04-12,266
2015-04-13,271
2015-04-14,269
2015-04-15,268
2015-04-16,264
2015-04-17,266
2015-04-18,265
2015-04-19,262
2015-04-20,263
2015-04-21,265
2015-04-22,267
2015-04-23,265
2015-04-24,267
2015-04-25,267
2015-04-26,268
2015-04-27,265
2015-04-28,261
2015-04-29,265
2015-04-30,268
2015-05-01,268
2015-05-02,268
2015-05-03,269
2015-05-04,266
2015-05-05,275
2015-05-06,284
2015-05-07,297
2015-05-08,301
2015-05-09,300
2015-05-10,294
2015-05-11,290
2015-05-12,290
2015-05-13,287
2015-05-14,282
2015-05-15,277
2015-05-16,266
2015-05-17,258
2015-05-18,257
2015-05-19,254
2015-05-20,257
2015-05-21,262
2015-05-22,271
2015-05-23,272
2015-05-24,268
2015-05-25,267
2015-05-26,270
2015-05-27,274
2015-05-28,283
2015-05-29,283
2015-05-30,280
2015-05-31,273
2015-06-01,266
2015-06-02,266
2015-06-03,258
2015-06-04,257
2015-06-05,262
2015-06-06,256
2015-06-07,261
2015-06-08,268
2015-06-09,263
2015-06-10,270
2015-06-11,279
2015-06-12,288
2015-06-13,293
2015-06-14,294
2015-06-15,291
2015-06-16,287
2015-06-17,288
2015-06-18,285
2015-06-19,281
2015-06-20,273
2015-06-21,265
2015-06-22,265
2015-06-23,268
2015-06-24,274
2015-06-25,275
2015-06-26,283
2015-06-27,292
2015-06-28,287
2015-06-29,284
2015-06-30,286
2015-07-01,293
2015-07-02,292
2015-07-03,298
2015-07-04,299
2015-07-05,288
2015-07-06,283
2015-07-07,288
2015-07-08,284
2015-07-09,284
2015-07-10,276
2015-07-11,284
2015-07-12,282
2015-07-13,274
2015-07-14,262
2015-07-15,261
2015-07-16,271
2015-07-17,269
2015-07-18,265
2015-07-19,254
2015-07-20,250
2015-07-21,255
2015-07-22,257
2015-07-23,256
2015-07-24,256
2015-07-25,258
2015-07-26,259
2015-07-27,257
2015-07-28,253
2015-07-29,258
2015-07-30,260
2015-07-31,260
2015-08-01,262
2015-08-02,261
2015-08-03,263
2015-08-04,265
2015-08-05,268
2015-08-06,266
2015-08-07,266
2015-08-08,259
2015-08-09,257
2015-08-10,259
2015-08-11,258
2015-08-12,260
2015-08-13,253
2015-08-14,247
2015-08-15,239
2015-08-16,236
2015-08-17,233
2015-08-18,241
2015-08-19,243
2015-08-20,246
2015-08-21,251
2015-08-22,253
2015-08-23,259
2015-08-24,263
2015-08-25,267
2015-08-26,260
2015-08-27,252
2015-08-28,249
2015-08-29,255
2015-08-30,250
2015-08-31,256
2015-09-01,263
2015-09-02,271
2015-09-03,284
2015-09-04,285
2015-09-05,293
2015-09-06,290
2015-09-07,293
2015-09-08,302
2015-09-09,301
2015-09-10,307
2015-09-11,315
2015-09-12,328
2015-09-13,340
2015-09-14,339
2015-09-15,348
2015-09-16,348
2015-09-17,332
2015-09-18,332
2015-09-19,320
2015-09-20,327
2015-09-21,334
2015-09-22,342
2015-09-23,350
2015-09-24,344
2015-09-25,342
2015-09-27,318
2015-09-28,327
2015-09-29,338
2015-09-30,341
2015-10-05,284
2015-10-06,298
2015-10-07,305
2015-10-08,313
2015-10-09,316
2015-10-10,326
2015-10-11,326
2015-10-12,334
2015-10-13,327
2015-10-14,321
