date_obj,Ruby%20dragon%20bolts%20(e) price
2018-01-03,1130
2018-01-04,1187
2018-01-05,1247
2018-01-06,1310
2018-01-07,1376
2018-01-08,1371
2018-01-09,1302
2018-01-10,1255
2018-01-11,1192
2018-01-12,1132
2018-01-13,1156
2018-01-14,1100
2018-01-15,1053
2018-01-16,1015
2018-01-17,1041
2018-01-18,1013
2018-01-19,1013
2018-01-20,963
2018-01-21,972
2018-01-22,931
2018-01-23,884
2018-01-24,907
2018-01-25,953
2018-01-26,998
2018-01-27,1029
2018-01-28,1037
2018-01-29,1021
2018-01-30,989
2018-01-31,968
2018-02-01,936
2018-02-02,927
2018-02-03,972
2018-02-04,973
2018-02-05,1004
2018-02-06,1051
2018-02-07,1062
2018-02-08,1065
2018-02-09,1026
2018-02-10,975
2018-02-11,996
2018-02-12,1026
2018-02-13,1073
2018-02-14,1117
2018-02-15,1171
2018-02-16,1228
2018-02-17,1290
2018-02-18,1355
2018-02-19,1423
2018-02-20,1495
2018-02-21,1563
2018-02-22,1642
2018-02-23,1722
2018-02-24,1797
2018-02-25,1887
2018-02-26,1982
2018-02-27,2082
2018-02-28,2183
2018-03-01,2293
2018-03-02,2407
2018-03-03,2514
2018-03-04,2539
2018-03-05,2496
2018-03-06,2386
2018-03-07,2405
2018-03-08,2299
2018-03-09,2360
2018-03-10,2266
2018-03-11,2254
2018-03-12,2176
2018-03-13,2097
2018-03-14,1995
2018-03-15,1895
2018-03-16,1806
2018-03-17,1719
2018-03-18,1774
2018-03-19,1692
2018-03-20,1749
2018-03-21,1837
2018-03-23,1957
2018-03-24,2028
2018-03-26,2009
2018-03-27,2016
2018-03-29,2014
2018-03-30,2032
2018-03-31,2057
2018-04-01,2107
2018-04-02,2182
2018-04-03,2240
2018-04-04,2233
2018-04-05,2300
2018-04-06,2276
2018-04-08,2264
2018-04-09,2243
2018-04-10,2235
2018-04-11,2210
2018-04-12,2231
2018-04-13,2300
2018-04-14,2257
2018-04-15,2225
2018-04-16,2214
2018-04-17,2226
2018-04-18,2234
2018-04-19,2213
2018-04-20,2250
2018-04-21,2254
2018-04-22,2208
2018-04-23,2219
2018-04-24,2231
2018-04-25,2209
2018-04-26,2183
2018-04-27,2205
2018-04-28,2209
2018-04-29,2253
2018-04-30,2325
2018-05-01,2258
2018-05-02,2230
2018-05-03,2205
2018-05-04,2211
2018-05-05,2285
2018-05-06,2333
2018-05-07,2348
2018-05-08,2296
2018-05-09,2310
2018-05-10,2393
2018-05-11,2433
2018-05-12,2474
2018-05-13,2465
2018-05-14,2407
2018-05-15,2315
2018-05-16,2281
2018-05-17,2271
2018-05-18,2319
2018-05-19,2332
2018-05-20,2333
2018-05-21,2323
2018-05-22,2329
2018-05-23,2294
2018-05-24,2292
2018-05-25,2290
2018-05-26,2290
2018-05-27,2333
2018-05-28,2306
2018-05-29,2269
2018-05-30,2267
2018-05-31,2271
2018-06-01,2276
2018-06-02,2272
2018-06-03,2278
2018-06-04,2280
2018-06-05,2263
2018-06-06,2244
2018-06-07,2152
2018-06-08,2123
2018-06-09,2029
2018-06-10,1983
2018-06-11,1928
2018-06-12,1918
2018-06-13,1872
2018-06-14,1874
2018-06-15,1819
2018-06-16,1816
2018-06-17,1803
2018-06-18,1761
2018-06-19,1779
2018-06-20,1800
2018-06-21,1792
2018-06-22,1799
2018-06-23,1807
2018-06-24,1787
2018-06-25,1765
2018-06-26,1767
2018-06-27,1767
2018-06-28,1761
2018-06-29,1775
2018-06-30,1768
2018-07-01,1763
2018-07-02,1757
2018-07-03,1746
2018-07-04,1726
2018-07-05,1737
2018-07-06,1780
2018-07-07,1755
2018-07-08,1738
2018-07-09,1742
2018-07-10,1748
2018-07-11,1756
2018-07-12,1763
2018-07-13,1774
2018-07-14,1837
2018-07-15,1839
2018-07-16,1803
2018-07-17,1784
2018-07-18,1757
2018-07-19,1742
2018-07-20,1777
2018-07-21,1790
2018-07-22,1775
2018-07-23,1750
2018-07-24,1748
2018-07-25,1756
2018-07-26,1752
2018-07-27,1778
2018-07-28,1780
2018-07-29,1758
2018-07-30,1736
2018-07-31,1743
2018-08-01,1750
2018-08-02,1743
2018-08-03,1734
2018-08-04,1736
2018-08-05,1724
2018-08-06,1738
2018-08-07,1749
2018-08-08,1780
2018-08-09,1780
2018-08-10,1759
2018-08-11,1760
2018-08-12,1725
2018-08-14,1717
2018-08-16,1698
2018-08-17,1682
2018-08-18,1706
2018-08-19,1718
2018-08-20,1718
2018-08-21,1694
2018-08-22,1677
2018-08-23,1660
2018-08-24,1651
2018-08-25,1638
2018-08-26,1651
2018-08-27,1647
2018-08-28,1676
2018-08-29,1695
2018-08-30,1696
2018-08-31,1719
2018-09-01,1701
2018-09-02,1702
2018-09-03,1699
2018-09-04,1697
2018-09-05,1705
2018-09-06,1697
2018-09-07,1725
2018-09-08,1712
2018-09-09,1729
2018-09-10,1707
2018-09-11,1702
2018-09-12,1702
2018-09-13,1698
2018-09-14,1696
2018-09-15,1684
2018-09-16,1680
2018-09-17,1685
2018-09-18,1686
2018-09-19,1687
2018-09-20,1680
2018-09-21,1688
2018-09-22,1700
2018-09-23,1689
2018-09-24,1692
2018-09-25,1701
2018-09-26,1704
2018-09-27,1692
2018-09-28,1691
2018-09-29,1724
2018-09-30,1731
2018-10-02,1731
2018-10-03,1735
2018-10-04,1761
2018-10-05,1805
2018-10-06,1810
2018-10-07,1769
2018-10-08,1763
2018-10-09,1760
2018-10-10,1775
2018-10-11,1784
2018-10-12,1776
2018-10-13,1793
2018-10-14,1788
2018-10-15,1804
2018-10-16,1825
2018-10-17,1813
2018-10-18,1793
2018-10-19,1811
2018-10-20,1792
2018-10-21,1810
2018-10-22,1814
2018-10-23,1848
2018-10-24,1833
2018-10-25,1822
2018-10-26,1813
2018-10-27,1806
2018-10-28,1836
2018-10-29,1858
2018-10-30,1902
2018-10-31,1918
2018-11-01,1926
2018-11-03,1879
2018-11-04,1891
2018-11-05,1889
2018-11-06,1859
2018-11-07,1833
2018-11-08,1810
2018-11-09,1809
2018-11-10,1831
2018-11-11,1814
2018-11-12,1789
2018-11-13,1760
2018-11-14,1782
2018-11-15,1761
2018-11-16,1739
2018-11-17,1740
2018-11-18,1748
2018-11-19,1746
2018-11-20,1724
2018-11-21,1701
2018-11-22,1667
2018-11-23,1656
2018-11-24,1642
2018-11-25,1637
2018-11-26,1622
2018-11-27,1612
2018-11-28,1600
2018-11-29,1649
2018-12-01,1655
2018-12-02,1634
2018-12-03,1620
2018-12-04,1638
2018-12-05,1659
2018-12-07,1668
2018-12-09,1661
2018-12-10,1649
2018-12-11,1641
