date_obj,Pumpkin price
2016-01-05,5527
2016-01-06,5527
2016-01-07,5527
2016-01-08,5458
2016-01-09,5458
2016-01-10,5458
2016-01-11,5473
2016-01-12,5473
2016-01-13,5473
2016-01-14,5586
2016-01-15,5586
2016-01-16,5586
2016-01-17,5523
2016-01-18,5523
2016-01-19,5523
2016-01-20,5586
2016-01-21,5586
2016-01-22,5586
2016-01-23,5615
2016-01-24,5615
2016-01-25,5615
2016-01-26,5696
2016-01-27,5696
2016-01-28,5696
2016-01-29,5613
2016-01-30,5613
2016-01-31,5613
2016-02-01,5657
2016-02-02,5657
2016-02-03,5657
2016-02-04,5657
2016-02-05,5798
2016-02-06,5798
2016-02-07,5798
2016-02-08,5927
2016-02-09,5927
2016-02-10,5927
2016-02-11,5927
2016-02-12,6037
2016-02-13,6037
2016-02-14,6037
2016-02-15,6095
2016-02-16,6095
2016-02-17,6095
2016-02-18,6095
2016-02-19,6119
2016-02-20,6119
2016-02-21,6119
2016-02-22,6119
2016-02-23,6384
2016-02-24,6384
2016-02-25,6384
2016-02-26,6384
2016-02-27,6675
2016-02-28,6675
2016-02-29,6675
2016-03-01,6675
2016-03-02,6821
2016-03-03,6821
2016-03-04,6821
2016-03-05,6821
2016-03-06,7134
2016-03-07,7134
2016-03-08,7134
2016-03-09,7134
2016-03-10,7370
2016-03-11,7370
2016-03-12,7370
2016-03-13,7370
2016-03-14,7503
2016-03-15,7503
2016-03-16,7503
2016-03-17,7503
2016-03-18,7687
2016-03-19,7687
2016-03-20,7687
2016-03-21,7687
2016-03-22,7788
2016-03-23,7788
2016-03-24,7788
2016-03-25,7788
2016-03-26,7532
2016-03-27,7532
2016-03-28,7532
2016-03-29,7532
2016-03-30,7315
2016-03-31,7315
2016-04-01,7315
2016-04-02,7315
2016-04-03,7389
2016-04-04,7389
2016-04-05,7389
2016-04-06,7389
2016-04-07,7389
2016-04-08,7238
2016-04-09,7238
2016-04-10,7238
2016-04-11,7238
2016-04-12,7238
2016-04-13,7013
2016-04-14,7013
2016-04-15,7013
2016-04-16,7013
2016-04-17,6694
2016-04-18,6694
2016-04-19,6694
2016-04-20,6694
2016-04-21,6694
2016-04-22,6472
2016-04-23,6472
2016-04-24,6472
2016-04-25,6472
2016-04-26,6178
2016-04-27,6178
2016-04-28,6178
2016-04-29,6178
2016-04-30,5896
2016-05-01,5896
2016-05-02,5896
2016-05-03,5896
2016-05-04,5618
2016-05-05,5618
2016-05-06,5618
2016-05-07,5618
2016-05-08,5356
2016-05-09,5356
2016-05-10,5356
2016-05-11,5356
2016-05-12,5099
2016-05-13,5099
2016-05-14,5099
2016-05-15,4868
2016-05-16,4868
2016-05-17,4868
2016-05-18,4868
2016-05-19,4811
2016-05-22,4811
2016-05-23,4627
2016-05-24,4627
2016-05-25,4627
2016-05-26,4627
2016-05-27,4495
2016-05-28,4495
2016-05-29,4495
2016-05-30,4495
2016-05-31,4520
2016-06-01,4520
2016-06-02,4520
2016-06-03,4520
2016-06-04,4342
2016-06-05,4342
2016-06-06,4342
2016-06-07,4342
2016-06-08,4158
2016-06-09,4158
2016-06-10,4158
2016-06-11,4158
2016-06-12,4191
2016-06-13,4191
2016-06-14,4191
2016-06-15,4191
2016-06-16,4191
2016-06-17,4091
2016-06-18,4091
2016-06-19,4091
2016-06-20,4091
2016-06-21,3900
2016-06-22,3900
2016-06-23,3900
2016-06-24,3900
2016-06-25,4005
2016-06-26,4005
2016-06-27,4005
2016-06-28,4005
2016-06-29,4005
2016-06-30,3890
2016-07-01,3890
2016-07-02,3890
2016-07-03,3890
2016-07-04,3815
2016-07-05,3815
2016-07-06,3815
2016-07-07,3815
2016-07-08,3815
2016-07-09,3628
2016-07-10,3628
2016-07-11,3628
2016-07-12,3628
2016-07-13,3628
2016-07-14,3471
2016-07-15,3471
2016-07-16,3471
2016-07-17,3471
2016-07-18,3471
2016-07-23,3374
2016-07-24,3374
2016-07-25,3374
2016-07-26,3229
2016-07-27,3229
2016-07-28,3229
2016-07-29,3229
2016-07-30,3229
2016-07-31,3229
2016-08-01,3229
2016-08-02,3090
2016-08-03,3090
2016-08-04,3090
2016-08-05,3090
2016-08-06,3090
2016-08-07,3090
2016-08-08,3090
2016-08-09,3083
2016-08-10,3083
2016-08-11,3083
2016-08-12,3083
2016-08-13,3083
2016-08-14,3083
2016-08-15,3083
2016-08-16,3216
2016-08-17,3216
2016-08-18,3216
2016-08-19,3216
2016-08-20,3216
2016-08-21,3216
2016-08-22,3216
2016-08-23,3259
2016-08-24,3259
2016-08-25,3259
2016-08-26,3259
2016-08-28,3259
2016-08-31,3249
2016-09-01,3249
2016-09-02,3249
2016-09-03,3249
2016-09-04,3249
2016-09-05,3249
2016-09-06,3245
2016-09-07,3245
2016-09-08,3245
2016-09-09,3245
2016-09-10,3245
2016-09-11,3245
2016-09-12,3245
2016-09-13,3245
2016-09-14,3295
2016-09-15,3295
2016-09-16,3295
2016-09-17,3295
2016-09-18,3295
2016-09-19,3295
2016-09-20,3295
2016-09-21,3400
2016-09-22,3400
2016-09-23,3400
2016-09-24,3400
2016-09-25,3400
2016-09-26,3400
2016-09-27,3400
2016-09-28,3474
2016-09-29,3474
2016-09-30,3474
2016-10-01,3474
2016-10-02,3474
2016-10-03,3474
2016-10-04,3457
2016-10-05,3457
2016-10-06,3457
2016-10-07,3457
2016-10-08,3457
2016-10-09,3457
2016-10-10,3457
2016-10-11,3366
2016-10-12,3366
2016-10-13,3366
2016-10-14,3366
2016-10-15,3366
2016-10-16,3366
2016-10-17,3294
2016-10-18,3294
2016-10-19,3294
2016-10-20,3133
2016-10-21,2992
2016-10-22,2957
2016-10-23,2932
2016-10-24,2897
2016-10-25,2897
2016-10-26,2922
2016-10-27,3008
2016-10-28,3008
2016-10-29,2929
2016-10-30,2843
2016-10-31,2867
2016-11-01,2867
2016-11-02,2819
2016-11-03,2819
2016-11-04,2759
2016-11-05,2759
2016-11-06,2709
2016-11-07,2709
2016-11-08,2664
2016-11-09,2664
2016-11-10,2575
2016-11-11,2575
2016-11-12,2538
2016-11-13,2538
2016-11-14,2543
