date_obj,Manta%20ray price
2015-03-26,3244
2015-03-27,3244
2015-03-28,3244
2015-03-29,3244
2015-03-30,3244
2015-03-31,3244
2015-04-01,3244
2015-04-02,3244
2015-04-03,3244
2015-04-04,3244
2015-04-05,3244
2015-04-06,3244
2015-04-07,3367
2015-04-08,3367
2015-04-09,3367
2015-04-10,3367
2015-04-11,3367
2015-04-12,3367
2015-04-13,3367
2015-04-14,3367
2015-04-15,3367
2015-04-16,3367
2015-04-17,3367
2015-04-18,3367
2015-04-19,3367
2015-04-20,3367
2015-04-21,3367
2015-04-22,3498
2015-04-23,3498
2015-04-24,3498
2015-04-25,3498
2015-04-26,3498
2015-04-27,3498
2015-04-28,3498
2015-04-29,3498
2015-04-30,3498
2015-05-01,3498
2015-05-02,3498
2015-05-03,3498
2015-05-04,3498
2015-05-05,3498
2015-05-06,3498
2015-05-07,3609
2015-05-08,3609
2015-05-09,3609
2015-05-10,3609
2015-05-11,3609
2015-05-12,3609
2015-05-13,3609
2015-05-14,3609
2015-05-15,3609
2015-05-16,3609
2015-05-17,3609
2015-05-18,3609
2015-05-19,3609
2015-05-20,3609
2015-05-21,3609
2015-05-22,3609
2015-05-23,3609
2015-05-24,3739
2015-05-25,3739
2015-05-26,3739
2015-05-27,3739
2015-05-28,3739
2015-05-29,3739
2015-05-30,3739
2015-05-31,3739
2015-06-01,3739
2015-06-02,3739
2015-06-03,3919
2015-06-04,3919
2015-06-05,3919
2015-06-06,3919
2015-06-07,3919
2015-06-08,3919
2015-06-09,3919
2015-06-10,3919
2015-06-11,3919
2015-06-12,3919
2015-06-13,4104
2015-06-14,4104
2015-06-15,4104
2015-06-16,4104
2015-06-17,4104
2015-06-18,4104
2015-06-19,4104
2015-06-20,4104
2015-06-21,4104
2015-06-22,4104
2015-06-23,4104
2015-06-24,4288
2015-06-25,4288
2015-06-26,4288
2015-06-27,4288
2015-06-28,4288
2015-06-29,4288
2015-06-30,4288
2015-07-01,4288
2015-07-02,4288
2015-07-03,4288
2015-07-04,4288
2015-07-05,4415
2015-07-06,4415
2015-07-07,4415
2015-07-08,4415
2015-07-09,4415
2015-07-10,4415
2015-07-11,4415
2015-07-12,4415
2015-07-13,4415
2015-07-14,4415
2015-07-15,4415
2015-07-16,4415
2015-07-17,4521
2015-07-18,4521
2015-07-19,4521
2015-07-20,4521
2015-07-21,4521
2015-07-22,4521
2015-07-23,4521
2015-07-24,4521
2015-07-25,4521
2015-07-26,4521
2015-07-27,4521
2015-07-28,4737
2015-07-29,4737
2015-07-30,4737
2015-07-31,4737
2015-08-01,4737
2015-08-02,4737
2015-08-03,4737
2015-08-04,4737
2015-08-05,4737
2015-08-06,4737
2015-08-07,4737
2015-08-08,4942
2015-08-09,4942
2015-08-10,4942
2015-08-11,4942
2015-08-12,4942
2015-08-13,4942
2015-08-14,4942
2015-08-15,4942
2015-08-16,4942
2015-08-17,4942
2015-08-18,5145
2015-08-19,5145
2015-08-20,5145
2015-08-21,5145
2015-08-22,5145
2015-08-23,5145
2015-08-24,5145
2015-08-25,5145
2015-08-26,5145
2015-08-27,5145
2015-08-28,5361
2015-08-29,5361
2015-08-30,5361
2015-08-31,5361
2015-09-01,5361
2015-09-02,5361
2015-09-03,5361
2015-09-04,5361
2015-09-05,5361
2015-09-06,5361
2015-09-07,5361
2015-09-08,5409
2015-09-09,5409
2015-09-10,5409
2015-09-11,5409
2015-09-12,5409
2015-09-13,5409
2015-09-14,5409
2015-09-15,5409
2015-09-16,5409
2015-09-17,5207
2015-09-18,5207
2015-09-19,5207
2015-09-20,5207
2015-09-21,5207
