date_obj,Saradomin%20page%202 price
2015-03-26,8000
2015-03-27,8000
2015-03-28,7656
2015-03-29,7388
2015-03-30,7388
2015-03-31,7138
2015-04-01,7138
2015-04-02,6830
2015-04-03,6830
2015-04-04,6537
2015-04-05,6537
2015-04-06,6248
2015-04-07,6248
2015-04-08,6188
2015-04-09,6188
2015-04-10,6291
2015-04-11,6291
2015-04-12,6354
2015-04-13,6354
2015-04-14,6535
2015-04-15,6535
2015-04-16,6820
2015-04-17,6820
2015-04-18,7152
2015-04-19,7152
2015-04-20,7299
2015-04-21,7299
2015-04-22,7319
2015-04-23,7319
2015-04-24,7332
2015-04-25,7332
2015-04-26,7268
2015-04-27,7268
2015-04-28,7172
2015-04-29,7172
2015-04-30,7120
2015-05-01,7120
2015-05-02,7129
2015-05-03,7129
2015-05-04,7095
2015-05-05,7095
2015-05-06,7069
2015-05-07,7069
2015-05-08,7192
2015-05-09,7192
2015-05-10,7396
2015-05-11,7396
2015-05-12,7377
2015-05-13,7377
2015-05-14,7441
2015-05-15,7441
2015-05-16,7448
2015-05-17,7447
2015-05-18,7447
2015-05-19,7582
2015-05-20,7582
2015-05-21,7582
2015-05-22,7826
2015-05-23,7826
2015-05-24,8036
2015-05-25,8036
2015-05-26,8235
2015-05-27,8235
2015-05-28,8195
2015-05-29,8175
2015-05-30,8032
2015-05-31,8032
2015-06-01,8129
2015-06-02,8129
2015-06-03,8142
2015-06-04,8142
2015-06-05,8028
2015-06-06,8030
2015-06-07,8030
2015-06-08,8064
2015-06-09,8217
2015-06-10,8079
2015-06-11,8079
2015-06-12,7907
2015-06-13,7780
2015-06-14,7780
2015-06-15,7541
2015-06-16,7537
2015-06-17,7537
2015-06-18,7478
2015-06-19,7478
2015-06-20,7505
2015-06-21,7505
2015-06-22,7403
2015-06-23,7403
2015-06-24,7364
2015-06-25,7364
2015-06-26,7254
2015-06-27,7254
2015-06-28,7058
2015-06-29,7058
2015-06-30,6982
2015-07-01,6999
2015-07-02,6999
2015-07-03,7037
2015-07-04,7037
2015-07-05,7046
2015-07-06,7046
2015-07-07,6824
2015-07-08,6824
2015-07-09,6624
2015-07-10,6624
2015-07-11,6508
2015-07-12,6508
2015-07-13,6371
2015-07-14,6371
2015-07-15,6270
2015-07-16,6270
2015-07-17,6332
2015-07-18,6332
2015-07-19,6444
2015-07-20,6444
2015-07-21,6423
2015-07-22,6570
2015-07-23,6570
2015-07-24,6767
2015-07-25,6767
2015-07-26,6748
2015-07-27,6748
2015-07-28,7012
2015-07-29,7177
2015-07-30,7177
2015-07-31,7212
2015-08-01,7212
2015-08-02,7058
2015-08-03,7058
2015-08-04,7183
2015-08-05,7406
2015-08-06,7406
2015-08-07,7517
2015-08-08,7617
2015-08-09,7633
2015-08-10,7899
2015-08-11,7899
2015-08-12,8195
2015-08-13,8195
2015-08-14,8601
2015-08-15,8601
2015-08-16,9021
2015-08-17,9458
2015-08-18,9458
2015-08-19,9897
2015-08-20,9897
2015-08-21,10291
2015-08-22,10291
2015-08-23,10546
2015-08-24,10399
2015-08-25,10399
2015-08-26,10583
2015-08-27,10508
2015-08-28,10508
2015-08-29,10755
2015-08-30,10755
2015-08-31,11209
2015-09-01,11209
2015-09-02,11411
2015-09-03,11411
2015-09-04,11901
2015-09-05,11901
2015-09-06,11796
2015-09-07,11796
2015-09-08,11232
2015-09-09,11232
2015-09-10,10670
2015-09-11,10179
2015-09-12,10179
2015-09-13,9670
2015-09-14,9670
2015-09-15,9186
2015-09-16,9186
2015-09-17,8741
2015-09-18,8741
2015-09-19,8303
2015-09-20,8303
2015-09-21,7891
2015-09-22,7891
2015-09-23,7602
2015-09-24,7602
2015-09-25,7282
2015-09-27,7134
2015-09-28,7134
2015-09-29,7147
2015-09-30,7001
2015-10-05,6677
2015-10-06,6546
2015-10-07,6546
2015-10-08,6631
2015-10-09,6631
2015-10-10,6830
2015-10-11,6830
2015-10-12,6712
2015-10-13,6712
2015-10-14,6712
2015-10-15,6656
2015-10-16,6656
2015-10-17,6435
2015-10-18,6435
2015-10-19,6479
2015-10-20,6479
2015-10-22,6456
2015-10-23,6676
2015-10-24,6676
2015-10-25,6941
2015-10-26,6941
2015-10-27,7280
2015-10-29,7302
2015-10-30,7302
2015-10-31,7422
2015-11-01,7422
2015-11-02,7669
2015-11-03,7669
2015-11-04,7481
2015-11-05,7481
2015-11-06,7553
2015-11-07,7553
2015-11-08,7532
2015-11-09,7532
2015-11-10,7532
2015-11-11,7588
2015-11-12,7588
2015-11-13,7588
2015-11-14,7441
