date_obj,Bob's%20blue%20shirt price
2015-03-26,16412
2015-03-27,16412
2015-03-28,15681
2015-03-29,15681
2015-03-30,15681
2015-03-31,14944
2015-04-01,14944
2015-04-02,14944
2015-04-03,14944
2015-04-04,14214
2015-04-05,14214
2015-04-06,14214
2015-04-07,14214
2015-04-08,13532
2015-04-09,13532
2015-04-10,13532
2015-04-11,12917
2015-04-12,12917
2015-04-13,12917
2015-04-14,12289
2015-04-15,12289
2015-04-16,12289
2015-04-17,12289
2015-04-18,11722
2015-04-19,11722
2015-04-20,11722
2015-04-21,11722
2015-04-22,11722
2015-04-23,11190
2015-04-24,11190
2015-04-25,11190
2015-04-26,11190
2015-04-27,10687
2015-04-28,10687
2015-04-29,10687
2015-04-30,10194
2015-05-01,10194
2015-05-02,10194
2015-05-03,9738
2015-05-04,9738
2015-05-05,9738
2015-05-06,9287
2015-05-07,9287
2015-05-08,9287
2015-05-09,8852
2015-05-10,8852
2015-05-11,8852
2015-05-12,8852
2015-05-13,8433
2015-05-14,8433
2015-05-15,8433
2015-05-16,8433
2015-05-17,8052
2015-05-18,8052
2015-05-19,8052
2015-05-20,8052
2015-05-21,8052
2015-05-22,7662
2015-05-23,7662
2015-05-24,7662
2015-05-25,7662
2015-05-26,7302
2015-05-27,7302
2015-05-28,7302
2015-05-29,7302
2015-05-30,6966
2015-05-31,6966
2015-06-01,6966
2015-06-02,6966
2015-06-03,6966
2015-06-04,6966
2015-06-05,6672
2015-06-06,6672
2015-06-07,6672
2015-06-08,6672
2015-06-09,6672
2015-06-10,6672
2015-06-11,6817
2015-06-12,6817
2015-06-13,6817
2015-06-14,6817
2015-06-15,6817
2015-06-16,6817
2015-06-17,6574
2015-06-18,6574
2015-06-19,6574
2015-06-20,6574
2015-06-21,6574
2015-06-22,6325
2015-06-23,6325
2015-06-24,6325
2015-06-25,6325
2015-06-26,6325
2015-06-27,6325
2015-06-28,6191
2015-06-29,6191
2015-06-30,6191
2015-07-01,6191
2015-07-02,6191
2015-07-03,6191
2015-07-04,6191
2015-07-05,6043
2015-07-06,6043
2015-07-07,6043
2015-07-08,6043
2015-07-09,6043
2015-07-10,5975
2015-07-11,5975
2015-07-12,5975
2015-07-13,5975
2015-07-14,5975
2015-07-15,5964
2015-07-16,5964
2015-07-17,5964
2015-07-18,5964
2015-07-19,5964
2015-07-20,6184
2015-07-21,6184
2015-07-22,6184
2015-07-23,6184
2015-07-24,6273
