date_obj,Vial%20of%20blood price
2018-06-06,519
2018-06-07,544
2018-06-08,572
2018-06-09,601
2018-06-10,632
2018-06-11,664
2018-06-12,698
2018-06-13,733
2018-06-14,770
2018-06-15,809
2018-06-16,850
2018-06-17,893
2018-06-18,938
2018-06-19,985
2018-06-20,985
2018-06-21,1035
2018-06-22,1087
2018-06-23,1087
2018-06-24,1142
2018-06-25,1142
2018-06-26,1200
2018-06-27,1200
2018-06-28,1260
2018-06-29,1323
2018-06-30,1323
2018-07-01,1390
2018-07-02,1390
2018-07-03,1460
2018-07-04,1460
2018-07-05,1518
2018-07-06,1586
2018-07-07,1586
2018-07-08,1644
2018-07-09,1644
2018-07-10,1696
2018-07-11,1696
2018-07-12,1696
2018-07-13,1775
2018-07-14,1839
2018-07-15,1839
2018-07-16,1930
2018-07-17,2024
2018-07-18,2024
2018-07-19,1990
2018-07-20,1990
2018-07-21,1962
2018-07-22,1962
2018-07-23,1998
2018-07-24,1998
2018-07-25,1961
2018-07-26,1961
2018-07-27,1952
2018-07-28,1952
2018-07-29,1913
2018-07-30,1913
2018-07-31,1864
2018-08-01,1864
2018-08-02,1792
2018-08-03,1792
2018-08-04,1784
2018-08-05,1784
2018-08-06,1702
2018-08-07,1702
2018-08-08,1631
2018-08-09,1631
2018-08-10,1549
2018-08-11,1549
2018-08-12,1477
2018-08-14,1420
2018-08-16,1349
2018-08-17,1281
2018-08-18,1281
2018-08-19,1216
2018-08-20,1155
2018-08-21,1155
2018-08-22,1097
2018-08-23,1043
2018-08-24,991
2018-08-25,941
2018-08-26,941
2018-08-27,893
2018-08-28,848
2018-08-29,848
2018-08-30,805
2018-08-31,768
2018-09-01,732
2018-09-02,732
2018-09-03,695
2018-09-04,665
2018-09-05,665
2018-09-06,647
2018-09-07,623
2018-09-08,598
2018-09-09,598
2018-09-10,581
2018-09-11,581
2018-09-12,605
2018-09-13,605
2018-09-14,609
2018-09-15,609
2018-09-16,640
2018-09-17,640
2018-09-18,672
2018-09-19,672
2018-09-20,706
2018-09-21,706
2018-09-22,742
2018-09-23,742
2018-09-24,780
2018-09-25,780
2018-09-26,818
2018-09-27,818
2018-09-28,857
2018-09-29,857
2018-09-30,898
2018-10-02,914
2018-10-03,960
2018-10-04,960
2018-10-05,1006
2018-10-06,1027
2018-10-07,1027
2018-10-08,997
2018-10-09,997
2018-10-10,1020
2018-10-11,1020
2018-10-12,1062
2018-10-13,1116
2018-10-14,1116
2018-10-15,1170
2018-10-16,1170
2018-10-17,1229
2018-10-18,1229
2018-10-19,1229
2018-10-20,1229
2018-10-21,1173
2018-10-22,1175
2018-10-23,1175
2018-10-24,1210
2018-10-25,1210
2018-10-26,1254
2018-10-27,1218
2018-10-28,1161
2018-10-29,1161
2018-10-30,1111
2018-10-31,1146
2018-11-01,1183
2018-11-03,1242
2018-11-04,1242
2018-11-05,1269
2018-11-06,1210
2018-11-07,1210
2018-11-08,1193
2018-11-09,1193
2018-11-10,1160
2018-11-11,1160
2018-11-12,1116
2018-11-13,1131
2018-11-14,1131
2018-11-15,1120
2018-11-16,1117
2018-11-17,1117
2018-11-18,1121
2018-11-19,1121
2018-11-20,1158
2018-11-21,1158
2018-11-22,1145
2018-11-23,1145
2018-11-24,1132
2018-11-25,1174
2018-11-26,1174
2018-11-27,1230
2018-11-28,1276
2018-11-29,1264
2018-12-01,1209
2018-12-02,1182
2018-12-03,1182
2018-12-04,1227
2018-12-05,1245
2018-12-07,1225
2018-12-09,1246
2018-12-10,1269
2018-12-11,1269
2018-12-12,1296
2018-12-13,1295
2018-12-14,1295
2018-12-15,1341
2018-12-16,1356
2018-12-17,1356
2018-12-18,1350
2018-12-19,1350
2018-12-20,1397
2018-12-21,1452
2018-12-22,1452
2018-12-23,1418
2018-12-24,1383
2018-12-25,1383
2018-12-26,1421
2018-12-27,1385
2018-12-28,1385
2018-12-29,1411
2018-12-30,1411
2018-12-31,1458
2019-01-01,1458
2019-01-02,1531
2019-01-03,1604
2019-01-04,1604
2019-01-05,1685
2019-01-06,1770
2019-01-08,1859
2019-01-10,1998
2019-01-11,2075
2019-01-12,2179
2019-01-13,2288
2019-01-14,2403
2019-01-15,2524
2019-01-16,2649
2019-01-17,2782
2019-01-18,2922
2019-01-19,3069
2019-01-20,3223
2019-01-21,3223
2019-01-22,3384
2019-01-23,3548
2019-01-24,3548
2019-01-25,3726
2019-01-26,3853
2019-01-27,3837
2019-01-29,3828
2019-01-30,3999
2019-01-31,3999
2019-02-01,3944
2019-02-02,3944
2019-02-03,3777
2019-02-04,3777
2019-02-05,3708
2019-02-06,3708
2019-02-07,3526
2019-02-08,3349
2019-02-09,3183
2019-02-10,3032
2019-02-11,2880
2019-02-12,2749
2019-02-13,2671
2019-02-14,2671
2019-02-15,2707
2019-02-16,2843
2019-02-17,2986
2019-02-18,3136
2019-02-19,3291
2019-02-20,3456
2019-02-21,3629
2019-02-22,3629
2019-02-23,3790
2019-02-24,3878
2019-02-25,3944
2019-02-26,3944
2019-02-27,3864
2019-02-28,3864
2019-03-01,3712
2019-03-02,3567
2019-03-03,3550
2019-03-04,3542
2019-03-05,3656
2019-03-06,3797
2019-03-07,3849
2019-03-08,3849
2019-03-09,3812
2019-03-10,3727
2019-03-11,3662
2019-03-12,3633
2019-03-13,3633
2019-03-14,3649
2019-03-15,3649
2019-03-16,3526
2019-03-17,3652
2019-03-18,3652
2019-03-19,3719
2019-03-20,3677
2019-03-21,3661
2019-03-22,3661
2019-03-23,3740
2019-03-24,3776
2019-03-25,3776
2019-03-26,3849
2019-03-27,3849
2019-03-28,3814
2019-03-29,3692
2019-03-30,3692
2019-03-31,3581
2019-04-01,3435
2019-04-02,3376
2019-04-03,3493
2019-04-04,3516
2019-04-05,3657
2019-04-06,3657
2019-04-07,3770
2019-04-08,3726
2019-04-09,3706
2019-04-10,3633
2019-04-11,3578
2019-04-12,3494
2019-04-13,3397
2019-04-14,3357
2019-04-15,3297
2019-04-16,3338
2019-04-17,3374
2019-04-18,3273
2019-04-19,3153
2019-04-20,3105
2019-04-21,3105
2019-04-22,3151
2019-04-23,3076
2019-04-24,3039
2019-04-25,3017
2019-04-26,3137
2019-04-27,3205
2019-04-28,3190
2019-04-29,3136
2019-04-30,3087
2019-05-01,3087
2019-05-02,3065
2019-05-03,2988
2019-05-04,3060
2019-05-05,3173
2019-05-06,3270
2019-05-07,3309
2019-05-08,3255
2019-05-09,3244
2019-05-10,3243
2019-05-11,3227
2019-05-12,3275
2019-05-13,3310
2019-05-14,3192
2019-05-15,3192
2019-05-16,3124
2019-05-17,3073
2019-05-18,3030
2019-05-19,3096
2019-05-20,3074
2019-05-21,3068
2019-05-22,3095
2019-05-23,3133
2019-05-24,3120
2019-05-25,3041
2019-05-26,3044
2019-05-27,3083
2019-05-28,3008
2019-05-29,3036
2019-05-30,3031
2019-05-31,3021
2019-06-01,3029
2019-06-02,3049
2019-06-03,3068
2019-06-04,3183
2019-06-05,3175
2019-06-06,3078
2019-06-07,3033
2019-06-08,3033
2019-06-09,2994
2019-06-10,2994
2019-06-11,2941
2019-06-12,2892
2019-06-13,2868
2019-06-14,2811
2019-06-15,2676
2019-06-16,2542
2019-06-17,2514
2019-06-18,2469
2019-06-19,2573
2019-06-20,2647
2019-06-21,2679
2019-06-22,2575
2019-06-23,2452
2019-06-24,2372
2019-06-25,2367
2019-06-26,2285
2019-06-27,2329
2019-06-28,2329
2019-06-29,2364
2019-06-30,2377
2019-07-01,2377
2019-07-02,2418
2019-07-03,2324
2019-07-04,2356
2019-07-05,2309
2019-07-06,2247
2019-07-07,2207
2019-07-08,2263
2019-07-09,2241
2019-07-10,2130
2019-07-11,2118
2019-07-12,2163
2019-07-13,2163
2019-07-14,2189
2019-07-15,2189
2019-07-16,2199
2019-07-17,2156
2019-07-18,2134
2019-07-19,2123
2019-07-20,2134
2019-07-21,2107
2019-07-22,2099
2019-07-23,2094
2019-07-24,2087
2019-07-25,1996
2019-07-26,1914
2019-07-27,1827
2019-07-28,1828
2019-07-29,1909
2019-07-30,1897
2019-07-31,1873
2019-08-01,1846
2019-08-02,1855
2019-08-03,1894
2019-08-04,1939
2019-08-05,1961
2019-08-06,2011
2019-08-07,2034
2019-08-08,1982
2019-08-09,1955
2019-08-10,1871
2019-08-11,1828
2019-08-12,1787
2019-08-13,1710
2019-08-14,1709
2019-08-15,1753
2019-08-16,1752
2019-08-17,1752
2019-08-18,1692
2019-08-19,1617
2019-08-20,1599
2019-08-21,1611
2019-08-22,1584
2019-08-23,1619
2019-08-24,1684
2019-08-24,1684
2019-08-25,1684
2019-08-25,1684
2019-08-26,1757
2019-08-26,1757
2019-08-27,1735
2019-08-27,1735
2019-08-28,1718
2019-08-29,1649
2019-08-30,1598
2019-08-31,1601
2019-09-01,1561
2019-09-02,1561
2019-09-03,1542
2019-09-04,1587
2019-09-05,1586
2019-09-06,1622
2019-09-07,1690
2019-09-08,1752
2019-09-09,1747
2019-09-10,1731
2019-09-11,1675
2019-09-12,1640
2019-09-13,1622
2019-09-14,1590
2019-09-15,1562
2019-09-16,1551
2019-09-17,1579
2019-09-18,1597
2019-09-19,1661
2019-09-20,1661
2019-09-21,1738
2019-09-22,1808
2019-09-23,1786
2019-09-24,1786
2019-09-25,1725
2019-09-26,1663
2019-09-27,1671
2019-09-28,1631
2019-09-29,1581
2019-09-30,1552
2019-10-01,1580
2019-10-02,1580
2019-10-03,1599
2019-10-04,1616
2019-10-05,1664
2019-10-06,1685
2019-10-07,1693
2019-10-08,1694
2019-10-09,1694
2019-10-10,1741
2019-10-11,1790
2019-10-12,1778
2019-10-13,1755
2019-10-14,1829
2019-10-15,1875
