date_obj,Iron%20hasta price
2016-01-06,21567
2016-01-07,21567
2016-01-08,21567
2016-01-09,21567
2016-01-10,20516
2016-01-11,20516
2016-01-12,20516
2016-01-13,20516
2016-01-14,20516
2016-01-15,20516
2016-01-16,20516
2016-01-17,19495
2016-01-18,19495
2016-01-19,19495
2016-01-20,19495
2016-01-21,19495
2016-01-22,19495
2016-01-23,18522
2016-01-24,18522
2016-01-25,18522
2016-01-26,18522
2016-01-27,18522
2016-01-28,18522
2016-01-29,18522
2016-01-30,18522
2016-01-31,18522
2016-02-01,18522
2016-02-02,17616
2016-02-03,17616
2016-02-04,17616
2016-02-05,17616
2016-02-06,17616
2016-02-07,17616
2016-02-08,17616
2016-02-09,17616
2016-02-10,17616
2016-02-11,17616
2016-02-12,17616
2016-02-13,17616
2016-02-14,16795
2016-02-15,16795
2016-02-16,16795
2016-02-17,16795
2016-02-18,16795
2016-02-19,16795
2016-02-20,16795
2016-02-21,16795
2016-02-22,16795
2016-02-23,16795
2016-02-24,16795
2016-02-25,16795
2016-02-26,16795
2016-02-27,15971
2016-02-28,15971
2016-02-29,15971
2016-03-01,15971
2016-03-02,15971
2016-03-03,15971
2016-03-04,15971
2016-03-05,15971
2016-03-06,15971
2016-03-07,15971
2016-03-08,15971
2016-03-09,15971
2016-03-10,15971
2016-03-11,15971
2016-03-12,15187
2016-03-13,15187
2016-03-14,15187
2016-03-15,15187
2016-03-16,15187
2016-03-17,15187
2016-03-18,15187
2016-03-19,15187
2016-03-20,15187
2016-03-21,15187
2016-03-22,15187
2016-03-23,14441
2016-03-24,14441
2016-03-25,14441
2016-03-26,14441
2016-03-27,14441
2016-03-28,14441
2016-03-29,14441
2016-03-30,14441
2016-03-31,14441
2016-04-01,14441
2016-04-02,14441
2016-04-03,14441
2016-04-04,14441
2016-04-05,14441
2016-04-06,14441
2016-04-07,13739
2016-04-08,13739
2016-04-09,13739
2016-04-10,13739
2016-04-11,13739
2016-04-12,13739
2016-04-13,13739
2016-04-14,13739
2016-04-15,13739
2016-04-16,13739
2016-04-17,13739
2016-04-18,13061
2016-04-19,13061
2016-04-20,13061
2016-04-21,13061
2016-04-22,13061
2016-04-23,13061
2016-04-24,13061
2016-04-25,13061
2016-04-26,13061
2016-04-27,13061
2016-04-28,13061
2016-04-29,13061
2016-04-30,13061
2016-05-01,12423
2016-05-02,12423
2016-05-03,12423
2016-05-04,12423
2016-05-05,12423
2016-05-06,12423
2016-05-07,12423
2016-05-08,12423
2016-05-09,12423
2016-05-10,12423
2016-05-11,12423
2016-05-12,12423
2016-05-13,11815
2016-05-14,11815
2016-05-15,11815
2016-05-16,11815
2016-05-17,11815
2016-05-18,11815
2016-05-19,11815
2016-05-22,11815
2016-05-23,11815
2016-05-24,11815
2016-05-25,11815
2016-05-26,11815
2016-05-27,11234
2016-05-28,11234
2016-05-29,11234
2016-05-30,11234
2016-05-31,11234
2016-06-01,11234
2016-06-02,11234
2016-06-03,11234
2016-06-04,11234
2016-06-05,11234
2016-06-06,11234
2016-06-07,10688
2016-06-08,10688
2016-06-09,10688
2016-06-10,10688
2016-06-11,10688
2016-06-12,10688
2016-06-13,10688
2016-06-14,10688
2016-06-15,10688
2016-06-16,10688
2016-06-17,10688
2016-06-18,10688
2016-06-19,10212
2016-06-20,10212
2016-06-21,10212
2016-06-22,10212
2016-06-23,10212
2016-06-24,10212
2016-06-25,10212
2016-06-26,10212
2016-06-27,10212
2016-06-28,10212
2016-06-29,10212
2016-06-30,10212
2016-07-01,9712
2016-07-02,9712
2016-07-03,9712
2016-07-04,9712
2016-07-05,9712
2016-07-06,9712
2016-07-07,9712
2016-07-08,9712
2016-07-09,9712
2016-07-10,9712
2016-07-11,9712
2016-07-12,9712
2016-07-13,9712
2016-07-14,9248
2016-07-15,9248
2016-07-16,9248
2016-07-17,9248
2016-07-18,9248
2016-07-23,9248
2016-07-24,9248
2016-07-25,9248
2016-07-26,9248
2016-07-27,9248
2016-07-28,9248
2016-07-29,9248
2016-07-30,9248
2016-07-31,9248
2016-08-01,9248
2016-08-02,8799
2016-08-03,8799
2016-08-04,8799
2016-08-05,8799
2016-08-06,8799
2016-08-07,8799
2016-08-08,8799
2016-08-09,8799
2016-08-10,8799
2016-08-11,8799
2016-08-12,8799
2016-08-13,8799
2016-08-14,8799
2016-08-15,8799
2016-08-16,8799
2016-08-17,8799
2016-08-18,8799
2016-08-19,8799
2016-08-20,8799
2016-08-21,8799
2016-08-22,8373
2016-08-23,8373
2016-08-24,8373
2016-08-25,8373
2016-08-26,8373
2016-08-28,8373
2016-08-31,8373
2016-09-01,8373
2016-09-02,8373
2016-09-03,8373
2016-09-04,8373
2016-09-05,8373
2016-09-06,8373
2016-09-07,8373
2016-09-08,8373
2016-09-09,8373
2016-09-10,8373
2016-09-11,8373
2016-09-12,8373
2016-09-13,8373
2016-09-14,8373
2016-09-15,7957
2016-09-16,7957
2016-09-17,7957
2016-09-18,7957
2016-09-19,7957
2016-09-20,7957
2016-09-21,7957
2016-09-22,7957
2016-09-23,7957
2016-09-24,7957
2016-09-25,7957
2016-09-26,7957
2016-09-27,7957
2016-09-28,7957
2016-09-29,7957
2016-09-30,7957
2016-10-01,7957
2016-10-02,7957
2016-10-03,7957
2016-10-04,7957
2016-10-05,7957
2016-10-06,7957
2016-10-07,7957
2016-10-08,7568
2016-10-09,7568
2016-10-10,7568
2016-10-11,7568
2016-10-12,7568
2016-10-13,7568
2016-10-14,7568
2016-10-15,7568
2016-10-16,7568
2016-10-17,7568
2016-10-18,7568
2016-10-19,7568
2016-10-20,7568
2016-10-21,7568
2016-10-22,7568
2016-10-23,7568
2016-10-24,7568
2016-10-25,7568
2016-10-26,7568
2016-10-27,7568
2016-10-28,7568
2016-10-29,7568
2016-10-30,7568
2016-10-31,7207
2016-11-01,7207
2016-11-02,7207
2016-11-03,7207
2016-11-04,7207
2016-11-05,7207
2016-11-06,7207
2016-11-07,7207
2016-11-08,7207
2016-11-09,7207
2016-11-10,7207
2016-11-11,7207
2016-11-12,7207
2016-11-13,7207
2016-11-14,7207
2016-12-07,6852
2016-12-08,6852
2016-12-09,6852
2016-12-10,6852
2016-12-11,6852
2016-12-12,6852
2016-12-13,6852
2016-12-14,6852
2016-12-15,6852
2016-12-16,6852
2016-12-17,6519
2016-12-18,6519
2016-12-19,6519
2016-12-20,6519
2016-12-21,6519
2016-12-22,6519
2016-12-23,6519
2016-12-24,6519
2016-12-25,6519
2016-12-26,6519
2016-12-27,6519
2016-12-28,6519
2016-12-29,6519
2016-12-30,6519
2016-12-31,6519
2017-01-01,6519
2017-01-02,6519
2017-01-03,6519
2017-01-04,6519
2017-01-05,6519
2017-01-06,6519
2017-01-07,6519
2017-01-08,6204
2017-01-09,6204
2017-01-10,6204
2017-01-11,6204
2017-01-12,6204
2017-01-13,6204
2017-01-14,6204
2017-01-15,6204
2017-01-16,6204
2017-01-17,6204
2017-01-18,6204
2017-01-19,6204
2017-01-20,6204
2017-01-21,6204
2017-01-22,6204
2017-01-23,6204
2017-01-27,5901
2017-01-28,5901
2017-01-29,5901
2017-01-30,5901
2017-01-31,5901
2017-02-01,5901
2017-02-02,5901
2017-02-03,5901
2017-02-04,5901
2017-02-05,5901
2017-02-06,5901
2017-02-07,5901
2017-02-08,5901
2017-02-09,5901
2017-02-10,5901
2017-02-11,5901
2017-02-12,5901
2017-02-13,5901
2017-02-14,5615
2017-02-15,5615
2017-02-16,5615
2017-02-18,5615
2017-02-19,5615
2017-02-20,5615
2017-02-21,5615
2017-02-22,5615
2017-02-23,5615
2017-02-24,5615
2017-02-25,5615
2017-02-26,5615
2017-02-27,5615
2017-02-28,5615
2017-03-01,5615
2017-03-02,5615
2017-03-03,5615
2017-03-04,5342
2017-03-05,5342
2017-03-06,5342
2017-03-07,5342
2017-03-08,5342
2017-03-09,5342
2017-03-10,5342
2017-03-11,5342
2017-03-12,5342
2017-03-13,5342
2017-03-14,5342
2017-03-15,5342
2017-03-16,5342
2017-03-17,5342
2017-03-18,5342
2017-03-19,5342
2017-03-20,5342
2017-03-21,5086
2017-03-22,5086
2017-03-23,5086
2017-03-24,5086
2017-03-25,5086
2017-03-26,5086
2017-03-27,5086
2017-03-28,5086
2017-03-29,5086
2017-03-30,5086
2017-03-31,5086
2017-04-01,5086
2017-04-02,5086
2017-04-03,5086
2017-04-04,5086
2017-04-12,4840
2017-04-13,4840
2017-04-14,4840
2017-04-15,4840
2017-04-16,4840
2017-04-17,4840
2017-04-18,4840
2017-04-19,4840
2017-04-20,4840
2017-04-21,4840
2017-04-22,4840
2017-04-23,4840
2017-04-24,4840
2017-04-25,4840
2017-04-26,4840
2017-04-27,4840
2017-04-28,4840
2017-04-29,4840
2017-04-30,4605
2017-05-01,4605
2017-05-02,4605
2017-05-03,4605
2017-05-04,4605
2017-05-05,4605
2017-05-06,4605
2017-05-07,4605
2017-05-08,4605
2017-05-09,4605
2017-05-10,4605
2017-05-11,4605
2017-05-12,4605
2017-05-13,4605
2017-05-14,4605
2017-05-15,4605
2017-05-16,4605
2017-05-17,4605
2017-05-18,4605
2017-05-19,4605
2017-05-20,4605
2017-05-21,4388
2017-05-22,4388
2017-05-23,4388
2017-05-24,4388
2017-05-25,4388
2017-05-26,4388
2017-05-27,4388
2017-05-28,4388
2017-05-29,4388
2017-05-30,4388
2017-05-31,4388
2017-06-01,4388
2017-06-02,4388
2017-06-03,4388
2017-06-04,4388
2017-06-06,4388
2017-06-07,4388
2017-06-08,4388
2017-06-09,4388
2017-06-10,4388
2017-06-11,4175
2017-06-12,4175
2017-06-13,4175
2017-06-14,4175
2017-06-15,4175
2017-06-16,4175
2017-06-17,4175
2017-06-18,4175
2017-06-19,4175
2017-06-20,4175
2017-06-21,4175
2017-06-22,4175
2017-06-23,4175
2017-06-24,4175
2017-06-25,4175
2017-06-26,4175
2017-06-27,4175
2017-06-28,4175
2017-06-29,4175
2017-06-30,4175
2017-07-01,4175
2017-07-02,4175
2017-07-03,3973
2017-07-04,3973
2017-07-05,3973
2017-07-06,3973
2017-07-07,3973
2017-07-08,3973
2017-07-13,3973
2017-07-14,3973
2017-07-15,3973
2017-07-16,3973
2017-07-17,3973
2017-07-18,3973
2017-07-19,3973
2017-07-20,3973
2017-07-21,3973
2017-07-22,3781
2017-07-23,3781
2017-07-24,3781
2017-07-25,3781
2017-07-26,3781
2017-07-27,3781
2017-07-28,3781
2017-07-29,3781
2017-07-30,3781
2017-07-31,3781
2017-08-01,3781
2017-08-02,3781
2017-08-03,3781
2017-08-04,3781
2017-08-05,3781
2017-08-06,3781
2017-08-09,3595
2017-08-10,3595
2017-08-11,3595
2017-08-12,3595
2017-08-13,3595
2017-08-14,3595
2017-08-15,3595
2017-08-16,3595
2017-08-17,3595
2017-08-18,3595
2017-08-19,3595
2017-08-20,3595
2017-08-21,3595
2017-08-22,3595
2017-08-23,3422
2017-08-24,3422
2017-08-25,3422
2017-08-26,3422
2017-08-27,3422
2017-08-28,3422
2017-08-29,3422
2017-08-30,3422
2017-08-31,3422
2017-09-01,3422
2017-09-02,3422
2017-09-03,3422
2017-09-04,3422
2017-09-05,3422
2017-09-06,3422
2017-09-07,3422
2017-09-08,3422
2017-09-09,3263
2017-09-10,3263
2017-09-11,3263
2017-09-12,3263
2017-09-13,3263
2017-09-14,3263
2017-09-15,3263
2017-09-16,3263
2017-09-17,3263
2017-09-19,3263
2017-09-20,3263
2017-09-21,3112
2017-09-22,3112
2017-09-23,3112
2017-09-24,3112
2017-09-25,3112
2017-09-26,3112
2017-09-27,3112
2017-09-28,3112
2017-09-29,3112
2017-09-30,3112
2017-10-01,3112
2017-10-02,3112
2017-10-03,3112
2017-10-04,3112
2017-10-05,3112
2017-10-06,2963
2017-10-07,2963
2017-10-08,2963
2017-10-09,2963
2017-10-10,2963
2017-10-11,2963
2017-10-12,2963
2017-10-13,2963
2017-10-14,2963
2017-10-15,2963
2017-10-16,2963
2017-10-17,2963
2017-10-18,2963
2017-10-19,2963
2017-10-20,2963
2017-10-21,2963
2017-10-22,2819
2017-10-23,2819
2017-10-24,2819
2017-10-25,2819
2017-10-26,2819
2017-10-27,2819
2017-10-28,2819
2017-10-29,2819
2017-10-30,2819
2017-10-31,2819
2017-11-01,2819
2017-11-02,2819
2017-11-03,2819
2017-11-04,2819
2017-11-05,2684
2017-11-06,2684
2017-11-07,2684
2017-11-08,2684
2017-11-09,2684
2017-11-10,2684
2017-11-11,2684
2017-11-12,2684
2017-11-13,2684
2017-11-14,2684
2017-11-15,2684
2017-11-16,2684
2017-11-17,2553
2017-11-18,2553
2017-11-19,2553
2017-11-20,2553
2017-11-21,2553
2017-11-22,2553
2017-11-23,2553
2017-11-24,2553
2017-11-25,2553
2017-11-26,2553
2017-11-27,2553
2017-11-28,2553
2017-11-29,2429
2017-11-30,2429
2017-12-01,2429
2017-12-02,2429
2017-12-03,2429
2017-12-04,2429
2017-12-05,2429
2017-12-06,2429
2017-12-07,2429
2017-12-08,2429
2017-12-09,2429
2017-12-10,2429
2017-12-11,2312
2017-12-12,2312
2017-12-13,2312
2017-12-14,2312
2017-12-15,2312
2017-12-16,2312
2017-12-17,2312
2017-12-18,2312
2017-12-19,2312
2017-12-20,2312
2017-12-21,2312
2017-12-22,2312
2017-12-23,2219
2017-12-24,2219
2017-12-25,2219
2017-12-26,2219
2017-12-27,2219
2017-12-28,2219
2017-12-29,2219
2017-12-30,2219
2017-12-31,2219
2018-01-01,2219
2018-01-02,2219
2018-01-03,2115
2018-01-04,2115
2018-01-05,2115
2018-01-06,2115
2018-01-07,2115
2018-01-08,2115
2018-01-09,2115
2018-01-10,2115
2018-01-11,2115
2018-01-12,2014
2018-01-13,2014
2018-01-14,2014
2018-01-15,2014
2018-01-16,2014
2018-01-17,2014
2018-01-18,2014
2018-01-19,1917
2018-01-20,1917
2018-01-21,1917
2018-01-22,1917
2018-01-23,1917
2018-01-25,1827
2018-01-26,1827
2018-01-27,1827
2018-01-28,1738
2018-01-29,1738
2018-01-30,1738
2018-01-31,1656
2018-02-01,1656
2018-02-02,1656
2018-02-03,1578
2018-02-04,1578
2018-02-05,1578
2018-02-06,1578
2018-02-07,1501
2018-02-08,1501
2018-02-09,1501
2018-02-10,1501
2018-02-11,1429
2018-02-12,1429
2018-02-13,1429
2018-02-14,1360
2018-02-15,1360
2018-02-16,1360
2018-02-17,1360
2018-02-18,1294
2018-02-19,1294
2018-02-20,1294
2018-02-21,1231
2018-02-22,1231
2018-02-23,1231
2018-02-24,1231
2018-02-25,1171
2018-02-26,1171
2018-02-27,1171
2018-02-28,1171
2018-03-01,1171
2018-03-02,1114
2018-03-03,1114
2018-03-04,1114
2018-03-05,1114
2018-03-06,1060
2018-03-07,1060
2018-03-08,1060
2018-03-09,1060
2018-03-10,1060
2018-03-11,1009
2018-03-12,1009
2018-03-13,1009
2018-03-14,1009
2018-03-15,1009
2018-03-16,1009
2018-03-17,959
2018-03-18,959
2018-03-19,959
2018-03-20,959
2018-03-21,916
2018-03-23,916
2018-03-24,916
2018-03-25,916
2018-03-26,872
