date_obj,Senntisten%20teleport%20(tablet) price
2015-03-26,3400
2015-03-27,3400
2015-03-28,3400
2015-03-29,3460
2015-03-30,3460
2015-03-31,3460
2015-04-01,3460
2015-04-02,3460
2015-04-03,3460
2015-04-04,3460
2015-04-05,3460
2015-04-06,3460
2015-04-07,3460
2015-04-08,3460
2015-04-09,3460
2015-04-10,3460
2015-04-11,3460
2015-04-12,3460
2015-04-13,3460
2015-04-14,3460
2015-04-15,3460
2015-04-16,3460
2015-04-17,3460
2015-04-18,3460
2015-04-19,3460
2015-04-20,3460
2015-04-21,3460
2015-04-22,3460
2015-04-23,3460
2015-04-24,3460
2015-04-25,3460
2015-04-26,3426
2015-04-27,3426
2015-04-28,3426
2015-04-29,3426
2015-04-30,3426
2015-05-01,3426
2015-05-02,3426
2015-05-03,3426
2015-05-04,3426
2015-05-05,3426
2015-05-06,3426
2015-05-07,3426
2015-05-08,3426
2015-05-09,3426
2015-05-10,3426
2015-05-11,3426
2015-05-12,3426
2015-05-13,3426
2015-05-14,3351
2015-05-15,3351
2015-05-16,3351
2015-05-17,3351
2015-05-18,3351
2015-05-19,3351
2015-05-20,3351
2015-05-21,3351
2015-05-22,3351
2015-05-23,3351
2015-05-24,3351
2015-05-25,3351
2015-05-26,3351
2015-05-27,3351
2015-05-28,3249
2015-05-29,3249
2015-05-30,3249
2015-05-31,3249
2015-06-01,3249
2015-06-02,3249
2015-06-03,3249
2015-06-04,3249
2015-06-05,3249
2015-06-06,3249
2015-06-07,3249
2015-06-08,3249
2015-06-09,3249
2015-06-10,3249
2015-06-11,3249
2015-06-12,3249
2015-06-13,3127
2015-06-14,3127
2015-06-15,3127
2015-06-16,3127
2015-06-17,3127
2015-06-18,3127
2015-06-19,3127
2015-06-20,3127
2015-06-21,3127
2015-06-22,3127
2015-06-23,3127
2015-06-24,3127
2015-06-25,3127
2015-06-26,3127
2015-06-27,3127
2015-06-28,3127
2015-06-29,3127
2015-06-30,3014
2015-07-01,3014
2015-07-02,3014
2015-07-03,3014
2015-07-04,3014
2015-07-05,3014
2015-07-06,3014
2015-07-07,3014
2015-07-08,3014
2015-07-09,3014
2015-07-10,3014
2015-07-11,3014
2015-07-12,3014
2015-07-13,3014
2015-07-14,3014
2015-07-15,3014
2015-07-16,3014
2015-07-17,3014
2015-07-18,2884
2015-07-19,2884
2015-07-20,2884
2015-07-21,2884
2015-07-22,2884
2015-07-23,2884
2015-07-24,2884
2015-07-25,2884
2015-07-26,2884
2015-07-27,2884
2015-07-28,2884
2015-07-29,2884
2015-07-30,2884
2015-07-31,2884
2015-08-01,2884
2015-08-02,2884
2015-08-03,2884
2015-08-04,2814
2015-08-05,2814
2015-08-06,2814
2015-08-07,2814
2015-08-08,2814
2015-08-09,2814
2015-08-10,2814
2015-08-11,2814
2015-08-12,2814
2015-08-13,2814
2015-08-14,2814
2015-08-15,2814
2015-08-16,2814
2015-08-17,2814
2015-08-18,2814
2015-08-19,2814
2015-08-20,2814
2015-08-21,2745
2015-08-22,2745
2015-08-23,2745
2015-08-24,2745
2015-08-25,2745
2015-08-26,2745
2015-08-27,2745
2015-08-28,2745
2015-08-29,2745
2015-08-30,2745
2015-08-31,2745
2015-09-01,2745
2015-09-02,2745
2015-09-03,2745
2015-09-04,2745
2015-09-05,2745
2015-09-06,2745
2015-09-07,2745
2015-09-08,2767
2015-09-09,2767
2015-09-10,2767
2015-09-11,2767
2015-09-12,2767
2015-09-13,2767
2015-09-14,2767
2015-09-15,2767
2015-09-16,2767
2015-09-17,2767
2015-09-18,2767
2015-09-19,2767
2015-09-20,2767
2015-09-21,2767
2015-09-22,2767
2015-09-23,2767
2015-09-24,2767
2015-09-25,2731
2015-09-27,2731
2015-09-28,2731
2015-09-29,2731
2015-09-30,2731
2015-10-05,2731
2015-10-06,2731
2015-10-07,2731
2015-10-08,2731
2015-10-09,2731
2015-10-10,2731
2015-10-11,2731
2015-10-12,2731
2015-10-13,2731
2015-10-14,2681
2015-10-15,2681
2015-10-16,2681
2015-10-17,2681
2015-10-18,2681
2015-10-19,2681
2015-10-20,2681
2015-10-22,2681
2015-10-23,2681
2015-10-24,2681
2015-10-25,2681
2015-10-26,2681
2015-10-27,2681
2015-10-29,2681
2015-10-30,2685
2015-10-31,2685
2015-11-01,2685
