date_obj,Incomplete%20light%20ballista price
2016-05-05,15000000
2016-05-06,15000000
2016-05-07,15000000
2016-05-08,15000000
2016-05-09,15000000
2016-05-10,15000000
2016-05-11,15000000
2016-05-12,15000000
2016-05-13,15000000
2016-05-14,15000000
2016-05-15,14269543
2016-05-16,14269543
2016-05-17,14269543
2016-05-18,650000
2016-05-19,650000
2016-05-22,650000
2016-05-23,650000
2016-05-24,650000
2016-05-25,650000
2016-05-26,650000
2016-05-27,650000
2016-05-28,650000
2016-05-29,650000
2016-05-30,650000
2016-05-31,650000
2016-06-01,650000
2016-06-02,650000
2016-06-03,650000
2016-06-04,650000
2016-06-05,650000
2016-06-06,650000
2016-06-07,650000
2016-06-08,650000
2016-06-09,650000
2016-06-10,650000
2016-06-11,650000
2016-06-12,650000
2016-06-13,650000
2016-06-14,650000
2016-06-15,650000
2016-06-16,650000
2016-06-17,650000
2016-06-18,650000
2016-06-19,650000
2016-06-20,650000
2016-06-21,650000
2016-06-22,650000
2016-06-23,650000
2016-06-24,650000
2016-06-25,650000
2016-06-26,650000
2016-06-27,650000
2016-06-28,650000
2016-06-29,650000
2016-06-30,650000
2016-07-01,650000
2016-07-02,650000
2016-07-03,650000
2016-07-04,650000
2016-07-05,650000
2016-07-06,650000
2016-07-07,650000
2016-07-08,650000
2016-07-09,650000
2016-07-10,650000
2016-07-11,650000
2016-07-12,650000
2016-07-13,650000
2016-07-14,650000
2016-07-15,650000
2016-07-16,650000
2016-07-17,650000
2016-07-18,650000
2016-07-23,650000
2016-07-24,650000
2016-07-25,650000
2016-07-26,650000
2016-07-27,650000
2016-07-28,650000
2016-07-29,650000
2016-07-30,650000
2016-07-31,650000
2016-08-01,650000
2016-08-02,650000
2016-08-03,650000
2016-08-04,650000
2016-08-05,650000
2016-08-06,650000
2016-08-07,650000
2016-08-08,650000
2016-08-09,650000
2016-08-10,650000
2016-08-11,650000
2016-08-12,650000
2016-08-13,650000
2016-08-14,650000
2016-08-15,650000
2016-08-16,650000
2016-08-17,650000
2016-08-18,650000
2016-08-19,650000
2016-08-20,650000
2016-08-21,650000
2016-08-22,650000
2016-08-23,650000
2016-08-24,650000
2016-08-25,650000
2016-08-26,650000
2016-08-28,619120
2016-08-31,619120
2016-09-01,619120
2016-09-02,619120
2016-09-03,619120
2016-09-04,619120
2016-09-05,619120
2016-09-06,619120
2016-09-07,619120
2016-09-08,619120
2016-09-09,619120
2016-09-10,619120
2016-09-11,619120
2016-09-12,619120
2016-09-13,619120
2016-09-14,619120
2016-09-15,619120
2016-09-16,619120
2016-09-17,619120
2016-09-18,619120
2016-09-19,619120
2016-09-20,619120
2016-09-21,619120
2016-09-22,619120
2016-09-23,619120
2016-09-24,619120
2016-09-25,619120
2016-09-26,619120
2016-09-27,619120
2016-09-28,619120
2016-09-29,619120
2016-09-30,619120
2016-10-01,619120
2016-10-02,619120
2016-10-03,619120
2016-10-04,619120
2016-10-05,619120
2016-10-06,619120
2016-10-07,619120
2016-10-08,619120
2016-10-09,619120
2016-10-10,619120
2016-10-11,619120
2016-10-12,619120
2016-10-13,619120
2016-10-14,619120
2016-10-15,619120
2016-10-16,619120
2016-10-17,619120
2016-10-18,619120
2016-10-19,619120
2016-10-20,619120
2016-10-21,619120
2016-10-22,619120
2016-10-23,619120
2016-10-24,619120
2016-10-25,619120
2016-10-26,619120
2016-10-27,619120
2016-10-28,619120
2016-10-29,619120
2016-10-30,619120
2016-10-31,619120
2016-11-01,619120
2016-11-02,619120
2016-11-03,619120
2016-11-04,619120
2016-11-05,619120
2016-11-06,619120
2016-11-07,619120
2016-11-08,619120
2016-11-09,619120
2016-11-10,619120
2016-11-11,619120
2016-11-12,619120
2016-11-13,619120
2016-11-14,619120
2016-11-15,619120
2016-12-07,619120
2016-12-08,619120
2016-12-09,619120
2016-12-10,619120
2016-12-11,619120
2016-12-12,619120
2016-12-13,619120
2016-12-14,619120
2016-12-15,619120
2016-12-16,619120
2016-12-17,619120
2016-12-18,619120
2016-12-19,619120
2016-12-20,619120
2016-12-21,619120
2016-12-22,619120
2016-12-23,619120
2016-12-24,619120
2016-12-25,619120
2016-12-26,619120
2016-12-27,619120
2016-12-28,619120
2016-12-29,619120
2016-12-30,619120
2016-12-31,619120
2017-01-01,619120
2017-01-02,619120
2017-01-03,619120
2017-01-04,619120
2017-01-05,619120
2017-01-06,589922
2017-01-07,589922
2017-01-08,589922
2017-01-09,589922
2017-01-10,589922
2017-01-11,589922
2017-01-12,589922
2017-01-13,589922
2017-01-14,589922
2017-01-15,589922
2017-01-16,589922
2017-01-17,589922
2017-01-18,589922
2017-01-19,589922
2017-01-20,589922
2017-01-21,589922
2017-01-22,589922
2017-01-23,589922
2017-01-27,589922
2017-01-28,589922
2017-01-29,589922
2017-01-30,589922
2017-01-31,589922
2017-02-01,589922
2017-02-02,589922
2017-02-03,589922
2017-02-04,589922
2017-02-05,589922
2017-02-06,589922
2017-02-07,589922
2017-02-08,589922
2017-02-09,589922
2017-02-10,589922
2017-02-11,589922
2017-02-12,589922
2017-02-13,589922
2017-02-14,589922
2017-02-15,589922
2017-02-16,589922
2017-02-18,589922
2017-02-19,589922
2017-02-20,589922
2017-02-21,589922
2017-02-22,589922
2017-02-23,589922
2017-02-24,589922
2017-02-25,589922
2017-02-26,589922
2017-02-27,589922
2017-02-28,589922
2017-03-01,589922
2017-03-02,589922
2017-03-03,589922
2017-03-04,589922
2017-03-05,589922
2017-03-06,589922
2017-03-07,589922
2017-03-08,589922
2017-03-09,589922
2017-03-10,589922
2017-03-11,589922
2017-03-12,589922
2017-03-13,560823
2017-03-14,560823
2017-03-15,560823
2017-03-16,560823
2017-03-17,560823
2017-03-18,560823
