date_obj,Ancient%20d'hide%20boots price
2016-07-06,2066785
2016-07-07,2066785
2016-07-08,2170125
2016-07-09,2268528
2016-07-10,2369065
2016-07-11,2472601
2016-07-12,2472601
2016-07-13,2581776
2016-07-14,2581776
2016-07-15,2592035
2016-07-16,2668096
2016-07-17,2668096
2016-07-18,2743370
2016-07-23,2761256
2016-07-24,2623568
2016-07-25,2623568
2016-07-26,2492389
2016-07-27,2492389
2016-07-28,2367850
2016-07-29,2367850
2016-07-30,2249457
2016-07-31,2249457
2016-08-01,2137355
2016-08-02,2137355
2016-08-03,2030487
2016-08-04,2030487
2016-08-05,1928962
2016-08-06,1928962
2016-08-07,1832513
2016-08-08,1832513
2016-08-09,1742947
2016-08-10,1742947
2016-08-11,1659356
2016-08-12,1659356
2016-08-13,1576388
2016-08-14,1576388
2016-08-15,1497568
2016-08-16,1497568
2016-08-17,1422689
2016-08-18,1422689
2016-08-19,1351554
2016-08-20,1351554
2016-08-21,1283976
2016-08-22,1283976
2016-08-23,1219777
2016-08-24,1219777
2016-08-25,1159195
2016-08-26,1159195
2016-08-28,1130512
2016-08-31,1216301
2016-09-01,1275480
2016-09-02,1275480
2016-09-03,1315504
2016-09-04,1374593
2016-09-05,1438833
2016-09-06,1504101
2016-09-07,1504101
2016-09-08,1570176
2016-09-09,1570176
2016-09-10,1567769
2016-09-11,1567769
2016-09-12,1495683
2016-09-13,1495683
2016-09-14,1464642
2016-09-15,1464642
2016-09-16,1418096
2016-09-17,1418096
2016-09-18,1353476
2016-09-19,1291003
2016-09-20,1291003
2016-09-21,1227086
2016-09-22,1213692
2016-09-23,1204188
2016-09-24,1204188
2016-09-25,1176037
2016-09-26,1176037
2016-09-27,1153015
2016-09-28,1153015
2016-09-29,1095481
2016-09-30,1043760
2016-10-01,1016166
2016-10-02,1016166
2016-10-03,1037027
2016-10-04,1037027
2016-10-05,1002774
2016-10-06,1002774
2016-10-07,1015280
2016-10-08,1043578
2016-10-09,1043578
2016-10-10,1059442
2016-10-11,1056012
2016-10-12,1056012
2016-10-13,1099741
2016-10-14,1151023
2016-10-15,1190374
2016-10-16,1190374
2016-10-17,1186687
2016-10-18,1186687
2016-10-19,1144502
2016-10-20,1144502
2016-10-21,1110485
2016-10-22,1110485
2016-10-23,1125113
2016-10-24,1107932
2016-10-25,1107932
2016-10-26,1081242
2016-10-27,1081242
2016-10-28,1062470
2016-10-29,1040663
2016-10-30,1015865
2016-10-31,1009830
2016-11-01,1009830
2016-11-02,1045403
2016-11-03,1045403
2016-11-04,1059736
2016-11-05,1059736
2016-11-06,1032439
2016-11-07,1032439
2016-11-08,1000018
2016-11-09,964670
2016-11-10,956233
2016-11-11,956233
2016-11-12,945816
2016-11-13,945816
2016-11-14,932673
2016-11-15,932673
2016-12-07,722331
2016-12-08,716235
2016-12-09,694078
2016-12-10,681996
2016-12-11,684593
2016-12-12,710493
2016-12-13,736844
2016-12-14,741356
2016-12-15,741356
2016-12-16,735520
2016-12-17,758915
2016-12-18,758915
2016-12-19,796581
2016-12-20,825444
2016-12-21,852013
2016-12-22,852013
2016-12-23,882035
2016-12-24,882035
2016-12-25,918822
2016-12-26,951319
2016-12-27,943155
2016-12-28,955424
2016-12-29,991053
2016-12-30,1001999
2016-12-31,982474
2017-01-01,996993
2017-01-02,986005
2017-01-03,983086
2017-01-04,970625
2017-01-05,940395
2017-01-06,922270
2017-01-07,926227
2017-01-08,945462
2017-01-09,951172
2017-01-10,965134
2017-01-11,974521
2017-01-12,977456
2017-01-13,977456
2017-01-14,997951
2017-01-15,999104
2017-01-16,998949
2017-01-17,998321
2017-01-18,1021919
2017-01-19,1044332
2017-01-20,1064026
2017-01-21,1090039
2017-01-22,1103757
2017-01-23,1085585
2017-01-27,1090321
2017-01-28,1106656
2017-01-29,1106842
2017-01-30,1106842
