date_obj,Elven%20legwear price
2019-07-24,5000
2019-07-25,5002
2019-07-26,5002
2019-07-27,4972
2019-07-28,4972
2019-07-29,5013
2019-07-30,5013
2019-07-31,5190
2019-08-01,5190
2019-08-02,5190
2019-08-03,5250
2019-08-04,5250
2019-08-05,5250
2019-08-06,5439
2019-08-07,5439
2019-08-08,5439
2019-08-09,5655
2019-08-10,5655
2019-08-11,5655
2019-08-12,5812
2019-08-13,5812
2019-08-14,5812
2019-08-15,5983
2019-08-16,5983
2019-08-17,5983
2019-08-18,6021
2019-08-19,6021
2019-08-20,6021
2019-08-21,6021
2019-08-22,6266
2019-08-23,6266
2019-08-24,6266
2019-08-24,6266
2019-08-25,6266
2019-08-25,6266
2019-08-26,6229
2019-08-26,6229
2019-08-27,6229
2019-08-27,6229
2019-08-28,6229
2019-08-29,6229
2019-08-30,6147
2019-08-31,6147
2019-09-01,6147
2019-09-02,6147
2019-09-03,6196
2019-09-04,6196
2019-09-05,6196
2019-09-06,6196
2019-09-07,6209
2019-09-08,6209
2019-09-09,6209
2019-09-10,6209
2019-09-11,6209
2019-09-12,6145
2019-09-13,6145
2019-09-14,6145
2019-09-15,6145
2019-09-16,6186
2019-09-17,6186
2019-09-18,6186
2019-09-19,6186
2019-09-20,6186
2019-09-21,6260
2019-09-22,6260
2019-09-23,6260
2019-09-24,6260
2019-09-25,6364
2019-09-26,6364
2019-09-27,6364
2019-09-28,6364
2019-09-29,6364
2019-09-30,6478
2019-10-01,6478
2019-10-02,6478
2019-10-03,6478
2019-10-04,6478
2019-10-05,6550
2019-10-06,6550
2019-10-07,6550
2019-10-08,6550
2019-10-09,6550
2019-10-10,6627
2019-10-11,6627
2019-10-12,6627
2019-10-13,6627
2019-10-14,6627
2019-10-15,6714
2019-10-16,6714
2019-10-17,6714
2019-10-18,6714
2019-10-19,6714
2019-10-20,6746
2019-10-21,6746
2019-10-22,6746
2019-10-23,6746
2019-10-24,6746
2019-10-25,6888
2019-10-26,6888
2019-10-27,6888
2019-10-28,6888
2019-10-29,6888
2019-10-30,6888
2019-10-31,7060
2019-11-01,7060
2019-11-02,7060
2019-11-03,7060
2019-11-04,7060
2019-11-05,7060
2019-11-06,7120
2019-11-07,7120
2019-11-08,7120
2019-11-09,7120
2019-11-10,7120
2019-11-11,7120
2019-11-12,7120
2019-11-13,7120
2019-11-14,7120
2019-11-15,7120
2019-11-16,7132
2019-11-17,7132
2019-11-18,7132
2019-11-19,7132
2019-11-20,7132
2019-11-21,7132
2019-11-22,7047
2019-11-23,7047
2019-11-24,7047
2019-11-25,7047
2019-11-26,7047
2019-11-27,6845
2019-11-28,6845
2019-11-29,6845
2019-11-30,6845
2019-12-01,6845
2019-12-02,6845
2019-12-03,6777
2019-12-04,6777
2019-12-05,6777
2019-12-06,6777
2019-12-07,6777
2019-12-08,6777
2019-12-09,6777
2019-12-10,6660
2019-12-11,6660
2019-12-12,6660
2019-12-13,6660
2019-12-14,6660
2019-12-15,6660
2019-12-16,6670
2019-12-17,6670
2019-12-18,6670
2019-12-19,6670
2019-12-20,6670
2019-12-21,6670
2019-12-22,6775
2019-12-23,6775
2019-12-24,6775
2019-12-25,6775
2019-12-26,6775
2019-12-27,6914
2019-12-28,6914
2019-12-29,6914
2019-12-30,6914
2019-12-31,6914
2020-01-01,6914
2020-01-02,6932
2020-01-03,6932
2020-01-04,6932
2020-01-05,6932
2020-01-06,6932
2020-01-07,6932
2020-01-08,6932
2020-01-09,6946
2020-01-10,6946
2020-01-11,6946
2020-01-12,6946
2020-01-13,6946
2020-01-14,6946
2020-01-15,6898
2020-01-16,6898
2020-01-17,6898
2020-01-18,6898
2020-01-19,6898
2020-01-20,6990
2020-01-21,6990
2020-01-22,6990
2020-01-23,6990
2020-01-24,6990
2020-01-25,6990
2020-01-26,7090
2020-01-27,7090
2020-01-28,7090
2020-01-29,7090
2020-01-30,7090
2020-01-31,7090
2020-02-01,7090
2020-02-02,7123
2020-02-03,7123
2020-02-04,7123
2020-02-05,7123
2020-02-06,7123
2020-02-07,7123
2020-02-08,7289
2020-02-09,7289
2020-02-10,7289
2020-02-11,7289
2020-02-12,7289
2020-02-13,7289
2020-02-14,7287
2020-02-15,7287
2020-02-16,7287
2020-02-17,7287
2020-02-18,7287
2020-02-19,7287
2020-02-20,7154
2020-02-21,7154
2020-02-22,7154
2020-02-23,7154
2020-02-24,7154
2020-02-25,7154
2020-02-26,7169
2020-02-27,7169
2020-02-28,7169
2020-02-29,7169
2020-03-01,7169
2020-03-02,7169
2020-03-03,6856
2020-03-04,6856
2020-03-05,6856
2020-03-06,6856
2020-03-07,6856
2020-03-08,6856
2020-03-09,6616
2020-03-10,6616
2020-03-11,6616
2020-03-12,6616
2020-03-13,6616
2020-03-14,6693
2020-03-15,6693
2020-03-16,6693
2020-03-17,6693
2020-03-18,6693
2020-03-19,6693
2020-03-20,6578
2020-03-21,6578
2020-03-22,6578
2020-03-23,6578
2020-03-24,6578
2020-03-25,6591
2020-03-26,6591
2020-03-27,6591
2020-03-28,6591
2020-03-29,6683
2020-03-30,6683
2020-03-31,6683
2020-04-01,6683
2020-04-02,6750
2020-04-03,6750
2020-04-04,6750
2020-04-05,6750
2020-04-06,6750
2020-04-07,6672
2020-04-08,6672
2020-04-09,6672
2020-04-10,6672
2020-04-11,6652
2020-04-12,6652
2020-04-13,6652
2020-04-14,6652
2020-04-15,6652
2020-04-16,6823
2020-04-17,6823
2020-04-18,6823
2020-04-19,6823
2020-04-20,6823
2020-04-21,6894
2020-04-22,6894
2020-04-23,6894
2020-04-24,6894
2020-04-25,6894
2020-04-26,6961
2020-04-27,6961
2020-04-28,6961
2020-04-29,6961
2020-04-30,6782
2020-05-01,6782
2020-05-02,6782
2020-05-03,6782
2020-05-04,6782
2020-05-05,6782
2020-05-06,6746
2020-05-07,6746
2020-05-08,6746
2020-05-09,6746
2020-05-10,6746
2020-05-11,6746
2020-05-12,6876
2020-05-13,6876
