date_obj,Pink%20hat price
2015-03-04,3000
2015-03-05,3000
2015-03-06,2860
2015-03-07,2860
2015-03-08,2860
2015-03-09,2860
2015-03-10,2860
2015-03-11,2860
2015-03-12,2860
2015-03-13,2860
2015-03-14,2720
2015-03-15,2720
2015-03-16,2720
2015-03-17,2720
2015-03-18,2720
2015-03-19,2720
2015-03-20,2720
2015-03-21,2720
2015-03-22,2586
2015-03-23,2586
2015-03-24,2586
2015-03-25,2586
2015-03-26,2586
2015-03-27,2586
2015-03-28,2586
2015-03-29,2586
2015-03-30,2457
2015-03-31,2457
2015-04-01,2457
2015-04-02,2457
2015-04-03,2457
2015-04-04,2457
2015-04-05,2457
2015-04-06,2457
2015-04-07,2337
2015-04-08,2337
2015-04-09,2337
2015-04-10,2337
2015-04-11,2337
2015-04-12,2337
2015-04-13,2337
2015-04-14,2337
2015-04-15,2337
2015-04-16,2221
2015-04-17,2221
2015-04-18,2221
2015-04-19,2221
2015-04-20,2221
2015-04-21,2221
2015-04-22,2221
2015-04-23,2221
2015-04-24,2221
2015-04-25,2111
2015-04-26,2111
2015-04-27,2111
2015-04-28,2111
2015-04-29,2111
2015-04-30,2111
2015-05-01,2111
2015-05-02,2111
2015-05-03,2111
2015-05-04,2006
2015-05-05,2006
2015-05-06,2006
2015-05-07,2006
2015-05-08,2006
2015-05-09,2006
2015-05-10,2006
2015-05-11,2006
2015-05-12,2006
2015-05-13,1906
2015-05-14,1906
2015-05-15,1906
2015-05-16,1906
2015-05-17,1906
2015-05-18,1906
2015-05-19,1906
2015-05-20,1906
2015-05-21,1906
2015-05-22,1811
2015-05-23,1811
2015-05-24,1811
2015-05-25,1811
2015-05-26,1811
2015-05-27,1811
2015-05-28,1722
2015-05-29,1722
2015-05-30,1722
2015-05-31,1722
2015-06-01,1722
2015-06-02,1722
2015-06-03,1637
2015-06-04,1637
2015-06-05,1637
2015-06-06,1637
2015-06-07,1637
2015-06-08,1637
2015-06-09,1556
2015-06-10,1556
2015-06-11,1556
2015-06-12,1556
2015-06-13,1556
2015-06-14,1556
2015-06-15,1556
2015-06-16,1481
2015-06-17,1481
2015-06-18,1481
2015-06-19,1481
2015-06-20,1481
2015-06-21,1481
2015-06-22,1425
2015-06-23,1425
2015-06-24,1425
2015-06-25,1425
2015-06-26,1425
2015-06-27,1425
2015-06-28,1434
2015-06-29,1434
2015-06-30,1434
2015-07-01,1434
2015-07-02,1434
2015-07-03,1365
2015-07-04,1365
2015-07-05,1365
2015-07-06,1365
2015-07-07,1365
2015-07-08,1365
2015-07-09,1365
2015-07-10,1299
2015-07-11,1299
2015-07-12,1299
2015-07-13,1299
2015-07-14,1299
2015-07-15,1299
2015-07-16,1299
2015-07-17,1235
2015-07-18,1235
2015-07-19,1235
2015-07-20,1235
2015-07-21,1235
