date_obj,White%20longsword price
2015-03-26,32100
2015-03-27,32100
2015-03-28,32100
2015-03-29,32100
2015-03-30,32100
2015-03-31,32100
2015-04-01,32100
2015-04-02,32100
2015-04-03,32100
2015-04-04,32100
2015-04-05,32100
2015-04-06,32100
2015-04-07,32100
2015-04-08,32100
2015-04-09,32100
2015-04-10,32100
2015-04-11,32100
2015-04-12,32100
2015-04-13,32100
2015-04-14,32100
2015-04-15,32100
2015-04-16,32100
2015-04-17,32100
2015-04-18,32100
2015-04-19,32100
2015-04-20,32100
2015-04-21,32100
2015-04-22,32100
2015-04-23,32100
2015-04-24,32100
2015-04-25,32100
2015-04-26,32100
2015-04-27,32100
2015-04-28,32100
2015-04-29,32100
2015-04-30,32100
2015-05-01,32100
2015-05-02,32100
2015-05-03,32100
2015-05-04,32100
2015-05-05,32100
2015-05-06,32100
2015-05-07,32100
2015-05-08,32100
2015-05-09,32100
2015-05-10,32100
2015-05-11,32100
2015-05-12,32100
2015-05-13,32100
2015-05-14,32100
2015-05-15,32100
2015-05-16,32100
2015-05-17,32100
2015-05-18,32100
2015-05-19,32100
2015-05-20,32100
2015-05-21,32100
2015-05-22,32100
2015-05-23,32100
2015-05-24,32100
2015-05-25,32100
2015-05-26,32100
2015-05-27,32100
2015-05-28,30868
2015-05-29,30868
2015-05-30,30868
2015-05-31,30868
2015-06-01,30868
2015-06-02,30868
2015-06-03,30868
2015-06-04,30868
2015-06-05,30868
2015-06-06,30868
2015-06-07,30868
2015-06-08,30868
2015-06-09,30868
2015-06-10,30868
2015-06-11,30868
2015-06-12,30868
2015-06-13,30868
2015-06-14,30868
2015-06-15,30868
2015-06-16,30868
2015-06-17,30868
2015-06-18,30868
2015-06-19,30868
2015-06-20,30868
2015-06-21,30868
2015-06-22,30868
2015-06-23,30868
2015-06-24,30868
2015-06-25,30868
2015-06-26,30868
2015-06-27,30868
2015-06-28,30868
2015-06-29,30868
2015-06-30,30868
2015-07-01,30868
2015-07-02,30868
2015-07-03,30868
2015-07-04,30868
2015-07-05,30868
2015-07-06,30868
2015-07-07,30868
2015-07-08,30868
2015-07-09,30868
2015-07-10,30868
2015-07-11,30868
2015-07-12,30868
2015-07-13,30868
2015-07-14,30868
2015-07-15,30868
2015-07-16,30868
2015-07-17,30868
2015-07-18,30868
2015-07-19,30868
2015-07-20,30868
2015-07-21,30868
2015-07-22,30868
2015-07-23,30868
2015-07-24,30868
2015-07-25,30868
2015-07-26,30868
2015-07-27,30868
2015-07-28,30868
2015-07-29,30868
2015-07-30,30868
2015-07-31,30868
2015-08-01,30868
2015-08-02,30868
2015-08-03,30868
2015-08-04,30868
2015-08-05,30868
2015-08-06,30868
2015-08-07,30868
2015-08-08,30868
2015-08-09,30868
2015-08-10,30868
2015-08-11,30868
2015-08-12,30868
2015-08-13,30868
2015-08-14,30868
2015-08-15,30868
2015-08-16,30868
2015-08-17,30868
2015-08-18,30868
2015-08-19,30868
2015-08-20,30868
2015-08-21,30868
2015-08-22,30868
2015-08-23,30868
2015-08-24,30868
2015-08-25,30868
2015-08-26,30868
2015-08-27,30868
2015-08-28,30868
2015-08-29,30868
2015-08-30,30868
2015-08-31,30868
2015-09-01,30868
2015-09-02,30868
2015-09-03,30868
2015-09-04,30868
2015-09-05,30868
2015-09-06,30868
2015-09-07,30868
2015-09-08,30868
2015-09-09,30868
2015-09-10,30868
2015-09-11,30868
2015-09-12,30868
2015-09-13,29554
2015-09-14,29554
2015-09-15,29554
2015-09-16,29554
2015-09-17,29554
2015-09-18,29554
2015-09-19,29554
2015-09-20,29554
2015-09-21,29554
2015-09-22,29554
2015-09-23,29554
2015-09-24,29554
2015-09-25,29554
2015-09-27,29554
2015-09-28,29554
2015-09-29,29554
2015-09-30,29554
2015-10-05,29554
2015-10-06,29554
2015-10-07,29554
2015-10-08,29554
2015-10-09,29554
2015-10-10,29554
2015-10-11,29554
2015-10-12,29554
2015-10-13,29554
2015-10-14,29554
2015-10-15,29554
2015-10-16,29554
2015-10-17,29554
2015-10-18,29554
2015-10-19,29554
2015-10-20,29554
2015-10-22,29554
2015-10-23,29554
2015-10-24,29554
2015-10-25,29554
2015-10-26,29554
2015-10-27,29554
2015-10-29,29554
2015-10-30,29554
2015-10-31,29554
2015-11-01,29554
2015-11-02,29554
2015-11-03,29554
2015-11-04,29554
2015-11-05,29554
2015-11-06,29554
2015-11-07,29554
2015-11-08,29554
2015-11-09,29554
2015-11-10,29554
2015-11-11,29554
2015-11-12,29554
2015-11-13,29554
2015-11-14,29554
2015-11-15,29554
2015-11-16,29554
2015-11-17,29554
2015-11-18,29554
2015-11-19,29554
2015-11-20,29554
2015-11-21,29554
2015-11-22,29554
2015-11-23,29554
2015-11-24,29554
2015-11-25,29554
2015-11-26,29554
2015-11-27,29554
2015-11-28,29554
2015-11-29,29554
2015-11-30,29554
2015-12-01,29554
2015-12-02,29554
2015-12-03,29554
2015-12-04,29554
2015-12-05,29554
2015-12-06,29554
2015-12-07,29554
2015-12-08,29554
2015-12-09,29554
2015-12-10,29554
2015-12-11,29554
2015-12-13,29554
2015-12-14,29554
2015-12-15,29554
2015-12-16,29554
2015-12-17,29554
2015-12-18,29554
2015-12-19,29554
2015-12-20,29554
2015-12-21,29554
2015-12-22,29554
2015-12-23,29554
2015-12-24,29554
2015-12-25,29554
2015-12-26,29554
2015-12-27,29554
2015-12-28,29554
2015-12-29,29554
2015-12-30,28156
2015-12-31,28156
2016-01-01,28156
2016-01-02,28156
2016-01-03,28156
2016-01-04,28156
2016-01-05,28156
2016-01-06,28156
2016-01-07,28156
2016-01-08,28156
2016-01-09,28156
2016-01-10,28156
2016-01-11,28156
2016-01-12,28156
2016-01-13,28156
2016-01-14,28156
2016-01-15,28156
2016-01-16,28156
2016-01-17,28156
2016-01-18,28156
2016-01-19,28156
2016-01-20,28156
