date_obj,Armadyl%20page%202 price
2015-03-26,233418
2015-03-27,233418
2015-03-28,233418
2015-03-29,241550
2015-03-30,241550
2015-03-31,252595
2015-04-01,252595
2015-04-02,264777
2015-04-03,264777
2015-04-04,278016
2015-04-05,278016
2015-04-06,291917
2015-04-07,291917
2015-04-08,305831
2015-04-09,305831
2015-04-10,310674
2015-04-11,310674
2015-04-12,306345
2015-04-13,306345
2015-04-14,294270
2015-04-15,294270
2015-04-16,280405
2015-04-17,280405
2015-04-18,266666
2015-04-19,266666
2015-04-20,257370
2015-04-21,257370
2015-04-22,248259
2015-04-23,248259
2015-04-24,238807
2015-04-25,238807
2015-04-26,230345
2015-04-27,230345
2015-04-28,224647
2015-04-29,224647
2015-04-30,221747
2015-05-01,221747
2015-05-02,211659
2015-05-03,211659
2015-05-04,201785
2015-05-05,201785
2015-05-06,193255
2015-05-07,193255
2015-05-08,183592
2015-05-09,183592
2015-05-10,174449
2015-05-11,174449
2015-05-12,166718
2015-05-13,166718
2015-05-14,159605
2015-05-15,159605
2015-05-16,154172
2015-05-17,149775
2015-05-18,149775
2015-05-19,144573
2015-05-20,144573
2015-05-21,144573
2015-05-22,138919
2015-05-23,138919
2015-05-24,132987
2015-05-25,132987
2015-05-26,131646
2015-05-27,131646
2015-05-28,136180
2015-05-29,136180
2015-05-30,138627
2015-05-31,138627
2015-06-01,143197
2015-06-02,143197
2015-06-03,149357
2015-06-04,149357
2015-06-05,155808
2015-06-06,161472
2015-06-07,161472
2015-06-08,169003
2015-06-09,175193
2015-06-10,180169
2015-06-11,180169
2015-06-12,188860
2015-06-13,196265
2015-06-14,196265
2015-06-15,203732
2015-06-16,203732
2015-06-17,213669
2015-06-18,224353
2015-06-19,224353
2015-06-20,235571
2015-06-21,235571
2015-06-22,247350
2015-06-23,247350
2015-06-24,259718
2015-06-25,259718
2015-06-26,272223
2015-06-27,272223
2015-06-28,285835
2015-06-29,285835
2015-06-30,299790
2015-07-01,313433
2015-07-02,313433
2015-07-03,329105
2015-07-04,342915
2015-07-05,342915
2015-07-06,353165
2015-07-07,353598
2015-07-08,353598
2015-07-09,362333
2015-07-10,378714
2015-07-11,378714
2015-07-12,395570
2015-07-13,395570
2015-07-14,411665
2015-07-15,411665
2015-07-16,418120
2015-07-17,411609
2015-07-18,411609
2015-07-19,410853
2015-07-20,410853
2015-07-21,415854
2015-07-22,415252
2015-07-23,415252
2015-07-24,415290
2015-07-25,415290
2015-07-26,426189
2015-07-27,426189
2015-07-28,440258
2015-07-29,448253
2015-07-30,448253
2015-07-31,450221
2015-08-01,450221
2015-08-02,434353
2015-08-03,434353
2015-08-04,413244
2015-08-05,394295
2015-08-06,394295
2015-08-07,385015
2015-08-08,385015
2015-08-09,368371
2015-08-10,368371
2015-08-11,354372
2015-08-12,354372
2015-08-13,357291
2015-08-14,356165
2015-08-15,356165
2015-08-16,349343
2015-08-17,349343
2015-08-18,340105
2015-08-19,340105
2015-08-20,326755
2015-08-21,326755
2015-08-22,328440
2015-08-23,328440
2015-08-24,312383
2015-08-25,312383
2015-08-26,297377
2015-08-27,285537
2015-08-28,285537
2015-08-29,274988
