date_obj,Kwuarm%20potion%20(unf) price
2015-03-26,2503
2015-03-27,2503
2015-03-28,2503
2015-03-29,2503
2015-03-30,2503
2015-03-31,2446
2015-04-01,2446
2015-04-02,2446
2015-04-03,2446
2015-04-04,2446
2015-04-05,2446
2015-04-06,2534
2015-04-07,2534
2015-04-08,2534
2015-04-09,2534
2015-04-10,2534
2015-04-11,2534
2015-04-12,2648
2015-04-13,2648
2015-04-14,2648
2015-04-15,2648
2015-04-16,2648
2015-04-17,2648
2015-04-18,2740
2015-04-19,2740
2015-04-20,2740
2015-04-21,2740
2015-04-22,2740
2015-04-23,2740
2015-04-24,2740
2015-04-25,2740
2015-04-26,2759
2015-04-27,2759
2015-04-28,2759
2015-04-29,2759
2015-04-30,2759
2015-05-01,2759
2015-05-02,2792
2015-05-03,2792
2015-05-04,2792
2015-05-05,2792
2015-05-06,2792
2015-05-07,2792
2015-05-08,2826
2015-05-09,2826
2015-05-10,2826
2015-05-11,2826
2015-05-12,2826
2015-05-13,2826
2015-05-14,2721
2015-05-15,2721
2015-05-16,2721
2015-05-17,2721
2015-05-18,2721
2015-05-19,2721
2015-05-20,2721
2015-05-21,2591
2015-05-22,2591
2015-05-23,2591
2015-05-24,2591
2015-05-25,2591
2015-05-26,2591
2015-05-27,2468
2015-05-28,2468
2015-05-29,2468
2015-05-30,2468
2015-05-31,2344
2015-06-01,2344
2015-06-02,2344
2015-06-03,2344
2015-06-04,2344
2015-06-05,2300
2015-06-06,2300
2015-06-07,2300
2015-06-08,2300
2015-06-09,2404
2015-06-10,2404
2015-06-11,2404
2015-06-12,2404
2015-06-13,2404
2015-06-14,2508
2015-06-15,2508
2015-06-16,2508
2015-06-17,2508
2015-06-18,2602
2015-06-19,2602
2015-06-20,2602
2015-06-21,2602
2015-06-22,2602
2015-06-23,2626
2015-06-24,2626
2015-06-25,2626
2015-06-26,2626
2015-06-27,2626
2015-06-28,2635
2015-06-29,2635
2015-06-30,2635
2015-07-01,2635
2015-07-02,2635
2015-07-03,2566
2015-07-04,2566
2015-07-05,2566
2015-07-06,2566
2015-07-07,2566
2015-07-08,2558
2015-07-09,2558
2015-07-10,2558
2015-07-11,2558
2015-07-12,2558
2015-07-13,2491
2015-07-14,2491
2015-07-15,2491
2015-07-16,2491
2015-07-17,2480
2015-07-18,2480
2015-07-19,2480
2015-07-20,2480
2015-07-21,2480
2015-07-22,2570
2015-07-23,2570
2015-07-24,2570
2015-07-25,2570
2015-07-26,2692
2015-07-27,2692
2015-07-28,2692
2015-07-29,2805
2015-07-30,2805
2015-07-31,2805
2015-08-01,2805
2015-08-02,2938
2015-08-03,2938
2015-08-04,2938
2015-08-05,2938
2015-08-06,3079
2015-08-07,3079
2015-08-08,3079
2015-08-09,3079
2015-08-10,3191
2015-08-11,3191
2015-08-12,3191
2015-08-13,3191
2015-08-14,3243
2015-08-15,3243
2015-08-16,3243
2015-08-17,3243
2015-08-18,3144
2015-08-19,3144
2015-08-20,3144
2015-08-21,3063
2015-08-22,3063
2015-08-23,3063
2015-08-24,2997
2015-08-25,2997
2015-08-26,2997
2015-08-27,2968
2015-08-28,2968
2015-08-29,2968
2015-08-30,2968
2015-08-31,2911
2015-09-01,2911
2015-09-02,2911
2015-09-03,2911
2015-09-04,2887
2015-09-05,2887
2015-09-06,2887
2015-09-07,2887
2015-09-08,2941
2015-09-09,2941
2015-09-10,2941
2015-09-11,2941
2015-09-12,2903
2015-09-13,2903
2015-09-14,2903
2015-09-15,2853
2015-09-16,2853
2015-09-17,2853
2015-09-18,2853
2015-09-19,2780
2015-09-20,2780
2015-09-21,2780
2015-09-22,2780
2015-09-23,2679
2015-09-24,2679
2015-09-25,2679
2015-09-27,2640
2015-09-28,2640
2015-09-29,2640
2015-09-30,2683
2015-10-05,2790
2015-10-06,2790
2015-10-07,2917
2015-10-08,2917
2015-10-09,2917
2015-10-10,2917
2015-10-11,3063
2015-10-12,3063
2015-10-13,3063
2015-10-14,3063
2015-10-15,3204
2015-10-16,3204
2015-10-17,3204
2015-10-18,3204
2015-10-19,3354
2015-10-20,3354
2015-10-22,3354
2015-10-23,3516
2015-10-24,3516
2015-10-25,3516
2015-10-26,3682
2015-10-27,3682
2015-10-29,3682
2015-10-30,3848
2015-10-31,3848
2015-11-01,3848
2015-11-02,4035
2015-11-03,4035
2015-11-04,4035
2015-11-05,4035
2015-11-06,4219
2015-11-07,4219
2015-11-08,4219
2015-11-09,4219
2015-11-10,4219
2015-11-11,4422
2015-11-12,4422
2015-11-13,4422
2015-11-14,4422
2015-11-15,4567
2015-11-16,4567
2015-11-17,4567
2015-11-18,4567
2015-11-19,4708
2015-11-20,4708
2015-11-21,4708
2015-11-22,4708
2015-11-23,4775
2015-11-24,4775
2015-11-25,4775
2015-11-26,4775
2015-11-27,4935
2015-11-28,4935
2015-11-29,4935
2015-11-30,4935
2015-12-01,5029
2015-12-02,5029
2015-12-03,5029
2015-12-04,5029
2015-12-05,5010
2015-12-06,5010
2015-12-07,5010
2015-12-08,5010
2015-12-09,4909
2015-12-10,4909
2015-12-11,4909
2015-12-12,4909
2015-12-13,4769
2015-12-14,4769
2015-12-15,4769
2015-12-16,4681
2015-12-17,4681
2015-12-18,4681
2015-12-19,4681
2015-12-20,4593
2015-12-21,4593
2015-12-22,4593
2015-12-23,4472
2015-12-24,4472
2015-12-25,4472
2015-12-26,4472
2015-12-27,4293
2015-12-28,4293
2015-12-29,4293
2015-12-30,4078
2015-12-31,4078
2016-01-01,4078
2016-01-02,3875
2016-01-03,3875
2016-01-04,3681
2016-01-05,3681
2016-01-06,3681
2016-01-07,3534
2016-01-08,3534
2016-01-09,3534
2016-01-10,3413
2016-01-11,3413
2016-01-12,3413
