date_obj,Nature%20talisman price
2015-03-26,2150
2015-03-27,2051
2015-03-28,1948
2015-03-29,1850
2015-03-30,1762
2015-03-31,1678
2015-04-01,1599
2015-04-02,1557
2015-04-03,1479
2015-04-04,1405
2015-04-05,1336
2015-04-06,1272
2015-04-07,1210
2015-04-08,1150
2015-04-09,1094
2015-04-10,1040
2015-04-11,988
2015-04-12,944
2015-04-13,897
2015-04-14,854
2015-04-15,858
2015-04-16,858
2015-04-17,815
2015-04-18,775
2015-04-19,738
2015-04-20,738
2015-04-21,703
2015-04-22,671
2015-04-23,638
2015-04-24,638
2015-04-25,606
2015-04-26,610
2015-04-27,601
2015-04-28,571
2015-04-29,571
2015-04-30,542
2015-05-01,541
2015-05-02,541
2015-05-03,531
2015-05-04,509
2015-05-05,509
2015-05-06,488
2015-05-07,488
2015-05-08,480
2015-05-09,480
2015-05-10,460
2015-05-11,460
2015-05-12,438
2015-05-13,438
2015-05-14,416
2015-05-15,416
2015-05-16,397
2015-05-17,393
2015-05-18,393
2015-05-19,393
2015-05-20,393
2015-05-21,393
2015-05-22,384
2015-05-23,384
2015-05-24,376
2015-05-25,367
2015-05-26,367
2015-05-27,362
2015-05-28,345
2015-05-29,345
2015-05-30,328
2015-05-31,328
2015-06-01,320
2015-06-02,320
2015-06-03,322
2015-06-04,322
2015-06-05,315
2015-06-06,315
2015-06-07,322
2015-06-08,322
2015-06-09,326
2015-06-10,315
2015-06-11,315
2015-06-12,307
2015-06-13,296
2015-06-14,296
2015-06-15,298
2015-06-16,298
2015-06-17,302
2015-06-18,289
2015-06-19,289
2015-06-20,282
2015-06-21,282
2015-06-22,274
2015-06-23,274
2015-06-24,273
2015-06-25,273
2015-06-26,275
2015-06-27,275
2015-06-28,267
2015-06-29,267
2015-06-30,255
2015-07-01,255
2015-07-02,245
2015-07-03,256
2015-07-04,256
2015-07-05,264
2015-07-06,264
2015-07-07,271
2015-07-08,271
2015-07-09,284
2015-07-10,299
2015-07-11,299
2015-07-12,314
2015-07-13,310
2015-07-14,310
2015-07-15,305
2015-07-16,305
2015-07-17,321
2015-07-18,321
2015-07-19,332
2015-07-20,332
2015-07-21,335
2015-07-22,337
2015-07-23,337
2015-07-24,353
2015-07-25,353
2015-07-26,361
2015-07-27,361
2015-07-28,380
2015-07-29,399
2015-07-30,399
2015-07-31,419
2015-08-01,419
2015-08-02,440
2015-08-03,440
2015-08-04,462
2015-08-05,486
2015-08-06,486
2015-08-07,511
2015-08-08,535
2015-08-09,562
2015-08-10,561
2015-08-11,536
2015-08-12,536
2015-08-13,514
2015-08-14,510
2015-08-15,510
2015-08-16,520
2015-08-17,514
2015-08-18,514
2015-08-19,521
2015-08-20,521
2015-08-21,507
2015-08-22,489
2015-08-23,489
2015-08-24,489
2015-08-25,489
2015-08-26,497
2015-08-27,499
2015-08-28,499
2015-08-29,511
2015-08-30,511
2015-08-31,537
2015-09-01,537
2015-09-02,552
2015-09-03,552
2015-09-04,572
2015-09-05,572
2015-09-06,599
2015-09-07,599
2015-09-08,578
2015-09-09,578
2015-09-10,598
2015-09-11,598
2015-09-12,581
2015-09-13,553
2015-09-14,553
2015-09-15,556
2015-09-16,556
2015-09-17,559
2015-09-18,559
2015-09-19,540
2015-09-20,540
2015-09-21,552
2015-09-22,552
2015-09-23,568
2015-09-24,568
2015-09-25,568
2015-09-27,567
2015-09-28,561
2015-09-29,561
2015-09-30,538
2015-10-05,518
2015-10-06,498
2015-10-07,498
2015-10-08,523
2015-10-09,550
2015-10-10,550
2015-10-11,578
2015-10-12,578
2015-10-13,607
2015-10-14,607
2015-10-15,638
2015-10-16,638
2015-10-17,669
2015-10-18,669
2015-10-19,703
2015-10-20,703
2015-10-22,739
2015-10-23,776
2015-10-24,776
2015-10-25,815
2015-10-26,815
2015-10-27,856
2015-10-29,899
2015-10-30,899
2015-10-31,944
2015-11-01,944
2015-11-02,992
2015-11-03,992
2015-11-04,1020
2015-11-05,1020
2015-11-06,1016
2015-11-07,1035
2015-11-08,1035
2015-11-09,1024
2015-11-10,1024
2015-11-11,1040
2015-11-12,1040
2015-11-13,1092
2015-11-14,1092
2015-11-15,1077
2015-11-16,1077
2015-11-17,1063
2015-11-18,1063
2015-11-19,1036
2015-11-20,1057
2015-11-21,1057
2015-11-22,1050
2015-11-23,1050
2015-11-24,1037
2015-11-25,1015
2015-11-26,1015
2015-11-27,1066
2015-11-28,1066
2015-11-29,1027
2015-11-30,1013
2015-12-01,1013
2015-12-02,1015
2015-12-03,1004
2015-12-04,1004
2015-12-05,974
2015-12-06,937
2015-12-07,937
2015-12-08,901
2015-12-09,940
2015-12-10,940
2015-12-11,977
2015-12-12,977
2015-12-13,1026
