date_obj,Mole%20claw price
2015-03-26,3896
2015-03-27,3896
2015-03-28,3896
2015-03-29,3896
2015-03-30,3955
2015-03-31,3955
2015-04-01,3955
2015-04-02,3955
2015-04-03,3955
2015-04-04,3853
2015-04-05,3853
2015-04-06,3853
2015-04-07,3853
2015-04-08,3853
2015-04-09,3715
2015-04-10,3715
2015-04-11,3715
2015-04-12,3715
2015-04-13,3715
2015-04-14,3626
2015-04-15,3626
2015-04-16,3626
2015-04-17,3626
2015-04-18,3517
2015-04-19,3517
2015-04-20,3517
2015-04-21,3517
2015-04-22,3517
2015-04-23,3439
2015-04-24,3439
2015-04-25,3439
2015-04-26,3439
2015-04-27,3439
2015-04-28,3373
2015-04-29,3373
2015-04-30,3373
2015-05-01,3373
2015-05-02,3373
2015-05-03,3373
2015-05-04,3339
2015-05-05,3339
2015-05-06,3339
2015-05-07,3339
2015-05-08,3339
2015-05-09,3339
2015-05-10,3357
2015-05-11,3357
2015-05-12,3357
2015-05-13,3357
2015-05-14,3357
2015-05-15,3357
2015-05-16,3442
2015-05-17,3442
2015-05-18,3442
2015-05-19,3442
2015-05-20,3442
2015-05-21,3442
2015-05-22,3515
2015-05-23,3515
2015-05-24,3515
2015-05-25,3515
2015-05-26,3515
2015-05-27,3572
2015-05-28,3572
2015-05-29,3572
2015-05-30,3649
2015-05-31,3649
2015-06-01,3649
2015-06-02,3649
2015-06-03,3635
2015-06-04,3635
2015-06-05,3635
2015-06-06,3635
2015-06-07,3590
2015-06-08,3590
2015-06-09,3590
2015-06-10,3590
2015-06-11,3621
2015-06-12,3621
2015-06-13,3621
2015-06-14,3621
2015-06-15,3699
2015-06-16,3699
2015-06-17,3699
2015-06-18,3699
2015-06-19,3851
2015-06-20,3851
2015-06-21,3851
2015-06-22,3851
2015-06-23,3886
2015-06-24,3886
2015-06-25,3886
2015-06-26,3886
2015-06-27,3928
2015-06-28,3928
2015-06-29,3928
2015-06-30,3928
2015-07-01,3772
2015-07-02,3772
2015-07-03,3772
2015-07-04,3772
2015-07-05,3752
2015-07-06,3752
2015-07-07,3752
2015-07-08,3752
2015-07-09,3787
2015-07-10,3787
2015-07-11,3787
2015-07-12,3787
2015-07-13,3857
2015-07-14,3857
2015-07-15,3857
2015-07-16,3857
2015-07-17,3880
2015-07-18,3880
2015-07-19,3880
2015-07-20,3880
2015-07-21,3884
2015-07-22,3884
2015-07-23,3884
2015-07-24,3864
2015-07-25,3864
2015-07-26,3864
2015-07-27,3864
2015-07-28,3833
2015-07-29,3833
2015-07-30,3833
2015-07-31,3848
2015-08-01,3848
2015-08-02,3848
2015-08-03,3894
2015-08-04,3894
2015-08-05,3894
2015-08-06,3867
2015-08-07,3867
2015-08-08,3867
2015-08-09,3976
2015-08-10,3976
2015-08-11,3976
2015-08-12,3926
2015-08-13,3926
2015-08-14,3926
2015-08-15,3894
2015-08-16,3894
2015-08-17,3894
2015-08-18,3880
2015-08-19,3880
2015-08-20,3880
2015-08-21,3935
2015-08-22,3935
2015-08-23,3935
2015-08-24,3989
2015-08-25,3989
2015-08-26,3989
2015-08-27,4034
2015-08-28,4034
2015-08-29,4034
2015-08-30,4046
2015-08-31,4046
2015-09-01,4046
2015-09-02,4063
2015-09-03,4063
2015-09-04,4068
2015-09-05,4068
2015-09-06,4068
2015-09-07,4077
2015-09-08,4077
2015-09-09,4077
2015-09-10,4074
2015-09-11,4074
2015-09-12,4074
2015-09-13,3974
2015-09-14,3974
2015-09-15,3974
2015-09-16,3974
2015-09-17,4044
2015-09-18,4044
2015-09-19,4044
2015-09-20,3992
2015-09-21,3992
2015-09-22,3992
2015-09-23,4043
2015-09-24,4043
2015-09-25,4043
2015-09-27,4106
2015-09-28,4106
2015-09-29,4106
2015-09-30,4149
2015-10-05,4185
2015-10-06,4185
2015-10-07,4185
2015-10-08,4177
2015-10-09,4177
2015-10-10,4177
2015-10-11,4137
2015-10-12,4137
2015-10-13,4137
2015-10-14,4137
2015-10-15,4225
2015-10-16,4225
2015-10-17,4225
2015-10-18,4218
2015-10-19,4218
2015-10-20,4218
2015-10-22,4299
2015-10-23,4299
2015-10-24,4299
2015-10-25,4226
2015-10-26,4226
2015-10-27,4226
2015-10-29,4270
2015-10-30,4270
2015-10-31,4270
2015-11-01,4283
2015-11-02,4283
2015-11-03,4283
2015-11-04,4283
2015-11-05,4315
2015-11-06,4315
2015-11-07,4315
2015-11-08,4315
2015-11-09,4344
2015-11-10,4344
2015-11-11,4344
2015-11-12,4344
2015-11-13,4344
2015-11-14,4396
2015-11-15,4396
2015-11-16,4396
2015-11-17,4396
2015-11-18,4408
2015-11-19,4408
2015-11-20,4408
2015-11-21,4408
2015-11-22,4430
2015-11-23,4430
2015-11-24,4430
2015-11-25,4430
2015-11-26,4430
2015-11-27,4358
2015-11-28,4358
2015-11-29,4358
2015-11-30,4358
2015-12-01,4287
2015-12-02,4287
2015-12-03,4287
2015-12-04,4287
2015-12-05,4284
2015-12-06,4284
2015-12-07,4284
2015-12-08,4284
2015-12-09,4266
2015-12-10,4266
2015-12-11,4266
2015-12-12,4266
