date_obj,Lovakengj%20hood price
2016-07-06,5000000
2016-07-07,5000000
2016-07-08,5000000
2016-07-09,4761400
2016-07-10,4761400
2016-07-11,4761400
2016-07-12,4761400
2016-07-13,4761400
2016-07-14,4525703
2016-07-15,4525703
2016-07-16,4525703
2016-07-17,4525703
2016-07-18,4525703
2016-07-23,4300083
2016-07-24,4300083
2016-07-25,4300083
2016-07-26,4300083
2016-07-27,4085078
2016-07-28,4085078
2016-07-29,4085078
2016-07-30,4085078
2016-07-31,4085078
2016-08-01,4085078
2016-08-02,4085078
2016-08-03,4085078
2016-08-04,3883039
2016-08-05,3883039
2016-08-06,3883039
2016-08-07,3883039
2016-08-08,3883039
2016-08-09,3883039
2016-08-10,3883039
2016-08-11,3883039
2016-08-12,3883039
2016-08-13,3883039
2016-08-14,3691050
2016-08-15,3691050
2016-08-16,3691050
2016-08-17,3691050
2016-08-18,3691050
2016-08-19,3691050
2016-08-20,3691050
2016-08-21,3691050
2016-08-22,3691050
2016-08-23,3507055
2016-08-24,3507055
2016-08-25,3507055
2016-08-26,3507055
2016-08-28,3507055
2016-08-31,3507055
2016-09-01,3507055
2016-09-02,3507055
2016-09-03,3333492
2016-09-04,3333492
2016-09-05,3333492
2016-09-06,3333492
2016-09-07,3333492
2016-09-08,3333492
2016-09-09,3333492
2016-09-10,3333492
2016-09-11,3333492
2016-09-12,3333492
2016-09-13,3333492
2016-09-14,3168614
2016-09-15,3168614
2016-09-16,3168614
2016-09-17,3168614
2016-09-18,3168614
2016-09-19,3168614
2016-09-20,3168614
2016-09-21,3168614
2016-09-22,3168614
2016-09-23,3168614
2016-09-24,3168614
2016-09-25,3012121
2016-09-26,3012121
2016-09-27,3012121
2016-09-28,3012121
2016-09-29,3012121
2016-09-30,3012121
2016-10-01,3012121
2016-10-02,3012121
2016-10-03,3012121
2016-10-04,3012121
2016-10-05,3012121
2016-10-06,3012121
2016-10-07,3012121
2016-10-08,2863549
2016-10-09,2863549
2016-10-10,2863549
2016-10-11,2863549
2016-10-12,2863549
2016-10-13,2863549
2016-10-14,2863549
2016-10-15,2863549
2016-10-16,2863549
2016-10-17,2863549
2016-10-18,2863549
2016-10-19,2863549
2016-10-20,2863549
2016-10-21,2721396
2016-10-22,2721396
2016-10-23,2721396
2016-10-24,2721396
2016-10-25,2721396
2016-10-26,2721396
2016-10-27,2721396
2016-10-28,2721396
2016-10-29,2721396
2016-10-30,2721396
2016-10-31,2721396
2016-11-01,2721396
2016-11-02,2587028
2016-11-03,2587028
2016-11-04,2587028
2016-11-05,2587028
2016-11-06,2587028
2016-11-07,2587028
2016-11-08,2587028
2016-11-09,2587028
2016-11-10,2587028
2016-11-11,2587028
2016-11-12,2587028
2016-11-13,2587028
2016-11-14,2587028
2016-12-07,2223372
2016-12-08,2223372
2016-12-09,2223372
2016-12-10,2223372
2016-12-11,2223372
2016-12-12,2113077
2016-12-13,2113077
2016-12-14,2113077
2016-12-15,2113077
2016-12-16,2113077
2016-12-17,2113077
2016-12-18,2113077
2016-12-19,2113077
2016-12-20,2113077
2016-12-21,2009758
2016-12-22,2009758
2016-12-23,2009758
2016-12-24,2009758
2016-12-25,2009758
2016-12-26,2009758
2016-12-27,2009758
2016-12-28,2009758
2016-12-29,2009758
2016-12-30,2009758
2016-12-31,2009758
2017-01-01,2009758
2017-01-02,1914609
2017-01-03,1914609
2017-01-04,1914609
2017-01-05,1914609
2017-01-06,1914609
2017-01-07,1914609
2017-01-08,1914609
2017-01-09,1914609
2017-01-10,1914609
2017-01-11,1822984
2017-01-12,1822984
2017-01-13,1822984
2017-01-14,1822984
2017-01-15,1822984
2017-01-16,1822984
2017-01-17,1822984
2017-01-18,1732307
2017-01-19,1732307
2017-01-20,1732307
2017-01-21,1732307
2017-01-22,1732307
2017-01-27,1732307
2017-01-28,1648748
2017-01-29,1648748
2017-01-30,1648748
2017-01-31,1648748
2017-02-01,1648748
2017-02-02,1648748
2017-02-03,1648748
2017-02-04,1648748
2017-02-05,1648748
2017-02-06,1567260
2017-02-07,1567260
2017-02-08,1567260
2017-02-09,1567260
2017-02-10,1567260
2017-02-11,1567260
2017-02-12,1567260
2017-02-13,1567260
2017-02-14,1490114
2017-02-15,1490114
2017-02-16,1490114
2017-02-18,1490114
2017-02-19,1490114
2017-02-20,1490114
2017-02-21,1490114
2017-02-22,1490114
2017-02-23,1490114
2017-02-24,1417453
2017-02-25,1417453
2017-02-26,1417453
2017-02-27,1417453
2017-02-28,1417453
2017-03-01,1417453
2017-03-02,1417453
2017-03-03,1417453
2017-03-04,1348671
2017-03-05,1348671
2017-03-06,1348671
2017-03-07,1348671
2017-03-08,1348671
2017-03-09,1348671
2017-03-10,1348671
2017-03-11,1281974
2017-03-12,1281974
2017-03-13,1281974
2017-03-14,1281974
2017-03-15,1281974
2017-03-16,1281974
2017-03-17,1281974
2017-03-18,1281974
2017-03-19,1219334
2017-03-20,1219334
2017-03-21,1219334
2017-03-22,1219334
2017-03-23,1219334
2017-03-24,1219334
2017-03-25,1219334
2017-03-26,1159321
2017-03-27,1159321
2017-03-28,1159321
2017-03-29,1159321
2017-03-30,1159321
2017-03-31,1159321
2017-04-01,1159321
2017-04-02,1159321
2017-04-03,1103038
2017-04-04,1103038
2017-04-12,89547
2017-04-13,89547
2017-04-14,89547
2017-04-15,89547
2017-04-16,89547
2017-04-17,89547
2017-04-18,89547
2017-04-19,89547
2017-04-20,86891
2017-04-21,86891
2017-04-22,86891
2017-04-23,86891
2017-04-24,86891
2017-04-25,86891
2017-04-26,86891
2017-04-27,86891
2017-04-28,86891
2017-04-29,86891
2017-04-30,86891
2017-05-01,82546
2017-05-02,82546
2017-05-03,82546
2017-05-04,82546
2017-05-05,82546
2017-05-06,82546
2017-05-07,82546
2017-05-08,82546
2017-05-09,82546
2017-05-10,78472
2017-05-11,78472
2017-05-12,78472
2017-05-13,78472
2017-05-14,78472
2017-05-15,78472
2017-05-16,78472
2017-05-17,78472
2017-05-18,78472
2017-05-19,78472
2017-05-20,74669
2017-05-21,74669
2017-05-22,74669
2017-05-23,74669
2017-05-24,74669
2017-05-25,74669
2017-05-26,74669
2017-05-27,74669
2017-05-28,74669
2017-05-29,74669
2017-05-30,71027
2017-05-31,71027
2017-06-01,71027
2017-06-02,71027
2017-06-03,71027
2017-06-06,71027
2017-06-07,71027
2017-06-08,67862
2017-06-09,67862
2017-06-10,67862
2017-06-11,67862
2017-06-12,67862
2017-06-13,67862
2017-06-14,67862
2017-06-15,67862
2017-06-16,67862
2017-06-17,67862
2017-06-18,64561
2017-06-19,64561
2017-06-20,64561
2017-06-21,64561
2017-06-22,64561
2017-06-23,64561
