date_obj,Granite%20boots price
2017-09-07,39375
2017-09-08,39375
2017-09-09,41339
2017-09-10,41339
2017-09-11,43406
2017-09-12,43406
2017-09-13,45495
2017-09-14,45495
2017-09-15,47581
2017-09-16,47581
2017-09-17,49888
2017-09-18,49888
2017-09-19,49888
2017-09-20,52075
2017-09-21,52075
2017-09-22,54559
2017-09-23,54559
2017-09-24,54559
2017-09-25,57124
2017-09-26,57124
2017-09-27,57124
2017-09-28,59784
2017-09-29,59784
2017-09-30,59784
2017-10-01,62387
2017-10-02,62387
2017-10-03,62387
2017-10-04,62387
2017-10-05,65319
2017-10-06,65319
2017-10-07,65319
2017-10-08,68426
2017-10-09,68426
2017-10-10,68426
2017-10-11,68426
2017-10-12,71706
2017-10-13,71706
2017-10-14,71706
2017-10-15,71706
2017-10-16,74656
2017-10-17,74656
2017-10-18,74656
2017-10-19,74656
2017-10-20,77626
2017-10-21,77626
2017-10-22,77626
2017-10-23,80769
2017-10-24,80769
2017-10-25,84623
2017-10-26,84623
2017-10-27,88313
2017-10-28,88313
2017-10-29,88313
2017-10-30,92505
2017-10-31,92505
2017-11-01,92505
2017-11-02,96752
2017-11-03,96752
2017-11-04,100262
2017-11-05,100262
2017-11-06,100262
2017-11-07,100262
2017-11-08,99981
2017-11-09,99981
2017-11-10,99981
2017-11-11,101678
2017-11-12,101678
2017-11-13,101678
2017-11-14,106457
2017-11-15,106457
2017-11-16,106457
2017-11-17,110981
2017-11-18,110981
2017-11-19,110981
2017-11-20,110981
2017-11-21,115744
2017-11-22,115744
2017-11-23,115744
2017-11-24,115744
2017-11-25,116505
2017-11-26,116505
2017-11-27,116505
2017-11-28,116505
2017-11-29,112747
2017-11-30,112747
2017-12-01,112747
2017-12-02,112747
2017-12-03,116028
2017-12-04,116028
2017-12-05,116028
2017-12-06,121389
2017-12-10,127459
2017-12-11,127459
2017-12-12,127459
2017-12-13,127459
2017-12-14,133069
2017-12-15,133069
2017-12-16,133069
2017-12-17,139538
2017-12-18,139538
2017-12-19,139538
2017-12-20,145755
2017-12-21,145755
2017-12-22,145755
2017-12-23,151722
2017-12-24,151722
2017-12-25,151722
2017-12-26,151722
2017-12-27,158948
2017-12-28,158948
2017-12-29,158948
2017-12-30,165610
2017-12-31,165610
2018-01-01,165610
2018-01-02,165610
2018-01-03,173266
2018-01-04,173266
2018-01-05,173266
2018-01-06,178324
2018-01-07,178324
2018-01-08,178324
2018-01-09,186399
2018-01-10,186399
2018-01-11,186399
2018-01-12,186399
2018-01-13,193298
2018-01-14,193298
2018-01-15,193298
2018-01-16,191960
2018-01-17,191960
2018-01-18,191960
2018-01-19,191960
2018-01-20,191131
2018-01-21,191131
2018-01-22,191131
2018-01-23,192933
2018-01-25,192152
2018-01-26,192152
2018-01-27,194323
2018-01-28,194323
2018-01-29,194669
2018-01-30,194669
2018-01-31,193706
2018-02-01,193706
2018-02-02,193706
2018-02-03,189495
2018-02-04,189495
2018-02-05,189495
2018-02-06,185883
2018-02-07,185883
2018-02-08,187346
2018-02-09,187346
2018-02-10,185997
2018-02-11,185997
2018-02-12,179562
2018-02-13,179562
2018-02-14,171290
2018-02-15,171290
2018-02-16,174013
2018-02-17,174013
2018-02-18,178254
2018-02-19,174541
2018-02-20,174541
2018-02-21,176471
2018-02-22,176471
2018-02-23,176634
2018-02-24,176634
2018-02-25,179588
2018-02-26,179588
2018-02-27,184205
2018-02-28,184205
2018-03-01,184205
2018-03-02,184070
2018-03-03,184070
2018-03-04,182471
2018-03-05,182471
2018-03-06,181297
2018-03-07,181297
2018-03-08,179401
2018-03-09,179401
2018-03-10,183662
2018-03-11,183662
2018-03-12,185562
2018-03-13,185562
2018-03-14,183624
2018-03-15,183624
2018-03-16,183624
2018-03-17,182671
2018-03-18,182671
2018-03-19,182671
2018-03-20,179889
2018-03-21,179889
2018-03-23,178674
2018-03-24,178674
2018-03-25,178283
2018-03-26,178283
2018-03-27,181175
2018-03-28,181175
2018-03-29,182288
2018-03-30,182288
2018-03-31,177562
2018-04-01,177562
2018-04-02,173506
2018-04-03,173506
2018-04-04,169702
2018-04-05,169702
2018-04-06,169702
2018-04-07,168723
2018-04-08,168723
2018-04-09,160758
2018-04-10,160758
2018-04-11,155673
2018-04-12,155673
2018-04-13,159280
2018-04-14,159280
2018-04-15,153713
2018-04-16,153713
2018-04-17,146655
2018-04-18,146655
2018-04-19,146655
2018-04-20,141461
2018-04-21,141461
2018-04-22,138613
2018-04-23,138613
2018-04-24,136728
2018-04-25,136728
2018-04-26,136728
2018-04-27,132029
2018-04-28,132029
2018-04-29,134307
2018-04-30,134307
2018-05-01,137224
2018-05-03,137224
2018-05-04,142239
2018-05-05,142239
2018-05-06,149011
2018-05-07,149011
2018-05-08,154381
2018-05-09,154381
2018-05-10,156909
2018-05-11,156909
2018-05-12,154294
2018-05-13,154294
2018-05-14,158935
2018-05-15,158935
2018-05-16,158935
2018-05-17,161049
2018-05-18,161049
2018-05-19,161823
2018-05-20,161823
2018-05-21,161220
2018-05-22,161220
2018-05-23,168417
2018-05-24,168417
2018-05-25,168417
2018-05-26,166347
2018-05-27,166347
2018-05-28,161027
2018-05-29,161027
2018-05-30,156547
2018-05-31,156547
2018-06-01,154064
2018-06-02,154064
2018-06-03,155021
2018-06-04,155021
2018-06-05,162255
2018-06-06,162255
2018-06-07,161541
2018-06-08,161541
2018-06-09,157179
2018-06-10,157179
2018-06-11,150926
2018-06-12,150926
2018-06-13,143942
2018-06-14,143942
2018-06-15,137688
2018-06-16,137688
2018-06-17,130856
2018-06-18,130856
2018-06-19,124876
2018-06-20,124876
2018-06-21,120393
2018-06-22,120393
2018-06-23,118239
2018-06-24,118239
2018-06-25,117832
2018-06-26,117832
2018-06-27,117832
2018-06-28,115768
2018-06-29,115768
2018-06-30,110808
