date_obj,Rune%20chainbody price
2015-03-26,32205
2015-03-27,31488
2015-03-28,31521
2015-03-29,31984
2015-03-30,32499
2015-03-31,32459
2015-04-01,32280
2015-04-02,31756
2015-04-03,31614
2015-04-04,31610
2015-04-05,31015
2015-04-06,31082
2015-04-07,31656
2015-04-08,32157
2015-04-09,32365
2015-04-10,32448
2015-04-11,31858
2015-04-12,31988
2015-04-13,32379
2015-04-14,32330
2015-04-15,32793
2015-04-16,33109
2015-04-17,32762
2015-04-18,32532
2015-04-19,32564
2015-04-20,32501
2015-04-21,32303
2015-04-22,32664
2015-04-23,32671
2015-04-24,32484
2015-04-25,32529
2015-04-26,32170
2015-04-27,32461
2015-04-28,32233
2015-04-29,32219
2015-04-30,32431
2015-05-01,32110
2015-05-02,31822
2015-05-03,32102
2015-05-04,32229
2015-05-05,32475
2015-05-06,32343
2015-05-07,32147
2015-05-08,32096
2015-05-09,32131
2015-05-10,31758
2015-05-11,31302
2015-05-12,31556
2015-05-13,31911
2015-05-14,32026
2015-05-15,32129
2015-05-16,31836
2015-05-17,31736
2015-05-18,32275
2015-05-19,32304
2015-05-20,32326
2015-05-21,32548
2015-05-22,32467
2015-05-23,32509
2015-05-24,32517
2015-05-25,32555
2015-05-26,32661
2015-05-27,32550
2015-05-28,32252
2015-05-29,31828
2015-05-30,31718
2015-05-31,31376
2015-06-01,31647
2015-06-02,31678
2015-06-03,32114
2015-06-04,31831
2015-06-05,32056
2015-06-06,32139
2015-06-07,32148
2015-06-08,32265
2015-06-09,31978
2015-06-10,31863
2015-06-11,31897
2015-06-12,32126
2015-06-13,32231
2015-06-14,32505
2015-06-15,32604
2015-06-16,32521
2015-06-17,32439
2015-06-18,32368
2015-06-19,32342
2015-06-20,32225
2015-06-21,31968
2015-06-22,31407
2015-06-23,31308
2015-06-24,31745
2015-06-25,32234
2015-06-26,32649
2015-06-27,32885
2015-06-28,32887
2015-06-29,32077
2015-06-30,31663
2015-07-01,31669
2015-07-02,31898
2015-07-03,31715
2015-07-04,30972
2015-07-05,30676
2015-07-06,30989
2015-07-07,31429
2015-07-08,31925
2015-07-09,32402
2015-07-10,32805
2015-07-11,32557
2015-07-12,32718
2015-07-13,32458
2015-07-14,31975
2015-07-15,31565
2015-07-16,31749
2015-07-17,32382
2015-07-18,32549
2015-07-19,32102
2015-07-20,32291
2015-07-21,32705
2015-07-22,33034
2015-07-23,33391
2015-07-24,33434
2015-07-25,32283
2015-07-26,31615
2015-07-27,31669
2015-07-28,31152
2015-07-29,31710
2015-07-30,32152
2015-07-31,32348
2015-08-01,32798
2015-08-02,32677
2015-08-03,32492
2015-08-04,32849
2015-08-05,32901
2015-08-06,32945
2015-08-07,33054
2015-08-08,32168
2015-08-09,31365
2015-08-10,31394
2015-08-11,31809
2015-08-12,32091
2015-08-13,32125
2015-08-14,32226
2015-08-15,32531
2015-08-16,32228
2015-08-17,31818
2015-08-18,32132
2015-08-19,32467
2015-08-20,32509
2015-08-21,32386
2015-08-22,32194
2015-08-23,31800
2015-08-24,31288
2015-08-25,31408
2015-08-26,31338
2015-08-27,31448
2015-08-28,31633
2015-08-29,31700
2015-08-30,31860
2015-08-31,32167
2015-09-01,32410
2015-09-02,32661
2015-09-03,32919
2015-09-04,32903
2015-09-05,32652
2015-09-06,32015
2015-09-07,32079
2015-09-08,32484
2015-09-09,32971
2015-09-10,33058
2015-09-11,33121
2015-09-12,33114
2015-09-13,32522
2015-09-14,33165
2015-09-15,33137
2015-09-16,32974
2015-09-17,32963
2015-09-18,32781
2015-09-19,33199
2015-09-20,33044
2015-09-21,32019
2015-09-22,31931
2015-09-23,32810
2015-09-24,32961
2015-09-25,33195
2015-09-27,33504
2015-09-28,33389
2015-09-29,33219
2015-09-30,33210
2015-10-05,31817
2015-10-06,32371
2015-10-07,32452
2015-10-08,32971
2015-10-09,33236
2015-10-10,33305
2015-10-11,33109
2015-10-12,33201
2015-10-13,33270
2015-10-14,33510
2015-10-15,33520
2015-10-16,33604
2015-10-17,33903
2015-10-18,33310
2015-10-19,33129
2015-10-20,33354
2015-10-22,33235
2015-10-23,33550
2015-10-24,33163
2015-10-25,32363
2015-10-26,32992
2015-10-27,33380
2015-10-29,33679
2015-10-30,33878
2015-10-31,33831
2015-11-01,33023
2015-11-02,33319
2015-11-03,33495
2015-11-04,33651
2015-11-05,33738
2015-11-06,33422
2015-11-07,33743
2015-11-08,33648
2015-11-09,33303
