date_obj,Saradomin's%20tear price
2015-03-26,5200000
2015-03-27,5200000
2015-03-28,5200000
2015-03-29,5200000
2015-03-30,5200000
2015-03-31,5200000
2015-04-01,5200000
2015-04-02,5200000
2015-04-03,5200000
2015-04-04,5200000
2015-04-05,5200000
2015-04-06,5200000
2015-04-07,5200000
2015-04-08,5200000
2015-04-09,5200000
2015-04-10,5200000
2015-04-11,5200000
2015-04-12,5200000
2015-04-13,5328869
2015-04-14,5328869
2015-04-15,5328869
2015-04-16,5328869
2015-04-17,5328869
2015-04-18,5328869
2015-04-19,5328869
2015-04-20,5328869
2015-04-21,5328869
2015-04-22,5328869
2015-04-23,5328869
2015-04-24,5328869
2015-04-25,5328869
2015-04-26,5328869
2015-04-27,5328869
2015-04-28,5328869
2015-04-29,5328869
2015-04-30,5328869
2015-05-01,5328869
2015-05-02,5328869
2015-05-03,5328869
2015-05-04,5328869
2015-05-05,5328869
2015-05-06,5328869
2015-05-07,5328869
2015-05-08,5328869
2015-05-09,5328869
2015-05-10,5328869
2015-05-11,5328869
2015-05-12,5328869
2015-05-13,5328869
2015-05-14,5328869
2015-05-15,5328869
2015-05-16,5328869
2015-05-17,5328869
2015-05-18,5328869
2015-05-19,5328869
2015-05-20,5328869
2015-05-21,5328869
2015-05-22,5328869
2015-05-23,5328869
2015-05-24,5328869
2015-05-25,5496989
2015-05-26,5496989
2015-05-27,5496989
2015-05-28,5496989
2015-05-29,5496989
2015-05-30,5496989
2015-05-31,5496989
2015-06-01,5496989
2015-06-02,5496989
2015-06-03,5496989
2015-06-04,5496989
2015-06-05,5496989
2015-06-06,5496989
2015-06-07,5496989
2015-06-08,5496989
2015-06-09,5496989
2015-06-10,5496989
2015-06-11,5496989
2015-06-12,5496989
2015-06-13,5496989
2015-06-14,5496989
2015-06-15,5512881
2015-06-16,5512881
2015-06-17,5512881
2015-06-18,5512881
2015-06-19,5512881
2015-06-20,5512881
2015-06-21,5512881
2015-06-22,5512881
2015-06-23,5512881
2015-06-24,5512881
2015-06-25,5512881
2015-06-26,5512881
2015-06-27,5512881
2015-06-28,5512881
2015-06-29,5512881
2015-06-30,5512881
2015-07-01,5711305
2015-07-02,5711305
2015-07-03,5711305
2015-07-04,5711305
2015-07-05,5711305
2015-07-06,5711305
2015-07-07,5711305
2015-07-08,5711305
2015-07-09,5711305
2015-07-10,5711305
2015-07-11,5711305
2015-07-12,5711305
2015-07-13,5711305
2015-07-14,5711305
2015-07-15,5711305
2015-07-16,5962812
2015-07-17,5962812
2015-07-18,5962812
2015-07-19,5962812
2015-07-20,5962812
2015-07-21,5962812
2015-07-22,5962812
2015-07-23,5962812
2015-07-24,5962812
2015-07-25,5962812
2015-07-26,5962812
2015-07-27,5962812
2015-07-28,5962812
2015-07-29,5962812
2015-07-30,5962812
2015-07-31,5962812
2015-08-01,5996612
2015-08-02,5996612
2015-08-03,5996612
2015-08-04,5996612
2015-08-05,5996612
2015-08-06,5996612
2015-08-07,5996612
2015-08-08,5996612
2015-08-09,5996612
2015-08-10,5996612
2015-08-11,5996612
2015-08-12,5996612
2015-08-13,5996612
2015-08-14,5996612
